_id,_name,_trackingId,_trackingType,_value,_masterReleaseLabelId
1,USERNAME_COMPLETE,cxaf1k,1,,1
2,TUTORIAL_COMPLETE,usrdzo,2,,1
3,LOGIN_BONUS,253c9m,3,,1
4,PURCHASE,1bsthi,4,,1
5,INITIAL_PURCHASE,ydtj0o,5,,1
6,RANK_005,gd5k9i,6,5,1
7,RANK_010,32vmx1,6,10,1
8,RANK_030,o7jsyo,6,30,1
9,RANK_050,a8x3q0,6,50,1
10,RANK_100,2t4qed,6,100,1
11,RANK_200,6910uf,6,200,1
12,RANK_300,z7sc9p,6,300,1
13,STORYCLEAR_MS_01,xw39p7,7,10001001,223043005
14,STORYCLEAR_MS_02,k0e5zr,7,10001002,223043005
15,STORYCLEAR_MS_03,tbne9l,7,10001003,223043005
16,STORYCLEAR_MS_04,ydfmv4,7,10001004,223043005
17,STORYCLEAR_MS_05,v3kowc,7,10001005,223043005
18,STORYCLEAR_AQOURS_01,1y4ciq,7,20001001,223051505
19,STORYCLEAR_AQOURS_02,2x9bkp,7,20001002,223051505
20,STORYCLEAR_AQOURS_03,l0ynyt,7,20001003,223051505
21,STORYCLEAR_AQOURS_04,7fhbyg,7,20001004,223051505
22,STORYCLEAR_AQOURS_05,mxlplg,7,20001005,223051505
23,STORYCLEAR_NIJI_01,h9iti9,7,30001001,223053105
24,STORYCLEAR_NIJI_02,c2bx53,7,30001002,223053105
25,STORYCLEAR_NIJI_03,jxthtq,7,30001003,223053105
26,STORYCLEAR_NIJI_04,thehu8,7,30001004,223053105
27,STORYCLEAR_NIJI_05,g04pim,7,30001005,223053105
28,STORYCLEAR_LIELLA_01,dcov5n,7,40001001,223041904
29,STORYCLEAR_LIELLA_02,lpanui,7,40001002,223041904
30,STORYCLEAR_LIELLA_03,yt1qhl,7,40001003,223041904
31,STORYCLEAR_LIELLA_04,f74i28,7,40001004,223041904
32,STORYCLEAR_LIELLA_05,vurijk,7,40001005,223041904
