_cardId,_naviMoveX,_naviMoveY,_thumbnailName,_signedThumbnailName,_assetName,_signedAssetName,_isBgActive,_masterReleaseLabelId
1,0,0,u_normal_navi_11011001_thumbnail,,u_normal_navi_11011001,,1,1
2,0,0,u_rankup_navi_11011001_thumbnail,,u_rankup_navi_11011001,,1,1
6,0,0,u_normal_navi_12012001_thumbnail,,u_normal_navi_12012001,,1,1
7,0,0,u_rankup_navi_12012001_thumbnail,,u_rankup_navi_12012001,,1,1
11,0,0,u_normal_navi_13013001_thumbnail,,u_normal_navi_13013001,,1,1
12,0,0,u_rankup_navi_13013001_thumbnail,,u_rankup_navi_13013001,,1,1
16,-20,-3,u_normal_navi_11014001_thumbnail,,u_normal_navi_11014001,,1,1
17,-20,-3,u_rankup_navi_11014001_thumbnail,,u_rankup_navi_11014001,,1,1
21,-54,-18,u_normal_navi_12015001_thumbnail,,u_normal_navi_12015001,,1,1
22,-54,-18,u_rankup_navi_12015001_thumbnail,,u_rankup_navi_12015001,,1,1
26,0,0,u_normal_navi_13016001_thumbnail,,u_normal_navi_13016001,,1,1
27,0,0,u_rankup_navi_13016001_thumbnail,,u_rankup_navi_13016001,,1,1
31,0,0,u_normal_navi_11017001_thumbnail,,u_normal_navi_11017001,,1,1
32,0,0,u_rankup_navi_11017001_thumbnail,,u_rankup_navi_11017001,,1,1
36,0,0,u_normal_navi_12018001_thumbnail,,u_normal_navi_12018001,,1,1
37,0,0,u_rankup_navi_12018001_thumbnail,,u_rankup_navi_12018001,,1,1
41,0,0,u_normal_navi_13019001_thumbnail,,u_normal_navi_13019001,,1,1
42,0,0,u_rankup_navi_13019001_thumbnail,,u_rankup_navi_13019001,,1,1
46,0,0,u_normal_navi_11020001_thumbnail,,u_normal_navi_11020001,,1,1
47,0,0,u_rankup_navi_11020001_thumbnail,,u_rankup_navi_11020001,,1,1
51,-30,-33,u_normal_navi_12021001_thumbnail,,u_normal_navi_12021001,,1,1
52,-30,-33,u_rankup_navi_12021001_thumbnail,,u_rankup_navi_12021001,,1,1
56,0,0,u_normal_navi_13022001_thumbnail,,u_normal_navi_13022001,,1,1
57,0,0,u_rankup_navi_13022001_thumbnail,,u_rankup_navi_13022001,,1,1
61,0,0,u_normal_navi_11023001_thumbnail,,u_normal_navi_11023001,,1,1
