_multiUnitId,_unitId,_unitNumber,_eponym,_name,_multiCardName,_masterReleaseLabelId
1,2227,2227,The Power to Grant,Honoka Kosaka,still_1,1
1,2228,2228,Seeking the Shine,Chika Takami,still_1,1
2,2251,2251,Restful Vacation,Eli Ayase,still_2,1
2,2252,2252,Pressed Maple Leaves,Nozomi Tojo,still_2,1
3,2253,2253,Fallen Angel's Nap,Yoshiko Tsushima,still_3,1
3,2254,2254,A Blissful Bathtime,Hanamaru Kunikida,still_3,1
4,2387,2387,Your Natural Smile,Rin Hoshizora,still_4,1
4,2388,2388,Precious Memories,Hanayo Koizumi,still_4,1
5,2401,2401,A Sunny Smile,Chika Takami,still_5,1
5,2402,2402,A Special Wreath,You Watanabe,still_5,1
6,2415,2415,A Cute Finish,Kotori Minami,still_6,1
6,2416,2416,Perfectly Precise,Umi Sonoda,still_6,1
7,2433,2433,Shoulder to Shoulder,Dia Kurosawa,still_7,1
7,2434,2434,With My Dear Big Sis,Ruby Kurosawa,still_7,1
8,2448,2448,My True Wish,Maki Nishikino,still_8,1
8,2449,2449,Heartfelt Wish,Nico Yazawa,still_8,1
9,2464,2464,I'll Be Your Escort!,Kanan Matsuura,still_9,1
9,2465,2465,Becoming a Bride,Mari Ohara,still_9,1
10,2477,2477,Colorful Design,Honoka Kosaka,still_10,1
10,2478,2478,Time To Cool Off,Eli Ayase,still_10,1
11,2494,2494,Little Demon's Blessing,Riko Sakurauchi,still_11,1
11,2495,2495,Flames in the Night,Yoshiko Tsushima,still_11,1
12,2500,2500,Secret Dessert,Nozomi Tojo,still_12,1
12,2501,2501,Let Nico Handle It♪,Nico Yazawa,still_12,1
13,2510,2510,Making Progress♪,Dia Kurosawa,still_13,1
13,2511,2511,The SS You Float♪,You Watanabe,still_13,1
14,2518,2518,Shocking Spice,Maki Nishikino,still_14,1
14,2519,2519,Party Popper Prank,Hanayo Koizumi,still_14,1
15,2534,2534,Choosing with Me,Hanamaru Kunikida,still_15,1
15,2535,2535,Temp Tattoo Trial,Ruby Kurosawa,still_15,1
16,2542,2542,Autumn Gift,Honoka Kosaka,still_16,1
16,2543,2543,Enthusiasm for You,Kotori Minami,still_16,1
17,2557,2557,Perfect for a Walk,Chika Takami,still_17,1
17,2558,2558,Pre-Winter Wish,Kanan Matsuura,still_17,1
18,2566,2566,With You,Umi Sonoda,still_18,1
18,2567,2567,Prankster's Mindset,Rin Hoshizora,still_18,1
19,2576,2576,What I Wish For,Riko Sakurauchi,still_19,1
19,2577,2577,Our Duet,Mari Ohara,still_19,1
20,2598,2598,Holy Bells,Eli Ayase,still_20,1
20,2599,2599,"Are You There, God?",Nico Yazawa,still_20,1
21,2616,2616,Fallen Angel's Sash,Dia Kurosawa,still_21,1
21,2617,2617,Lend Me Your Power,Yoshiko Tsushima,still_21,1
22,2626,2626,Sweet Happenings,Honoka Kosaka,still_22,1
22,2627,2627,Sweet Chocolate Trap,Maki Nishikino,still_22,1
23,2647,2647,A Major Mix-Up?!,You Watanabe,still_23,1
23,2648,2648,In With Good Fortune,Ruby Kurosawa,still_23,1
24,2654,2654,Sweet Selection,Kotori Minami,still_24,1
24,2655,2655,Open Your Heart,Rin Hoshizora,still_24,1
25,2664,2664,Cherry Blossom Poems,Chika Takami,still_25,1
25,2665,2665,Pink Hair Ornaments,Hanamaru Kunikida,still_25,1
26,2673,2673,Sharing is Caring,Nozomi Tojo,still_26,1
26,2674,2674,Berry Picking,Hanayo Koizumi,still_26,1
27,2715,2715,I Wanna Take a Photo,Riko Sakurauchi,still_27,1
27,2716,2716,A Sudden Photoshoot,Kanan Matsuura,still_27,1
28,2798,2798,Take One!,Eli Ayase,still_28,1
28,2799,2799,Sweet Recharge,Umi Sonoda,still_28,1
29,2808,2808,Fish in the Sky,Dia Kurosawa,still_29,1
29,2809,2809,Shiny Days♡,Mari Ohara,still_29,1
30,2819,2819,Changing the Shot,Honoka Kosaka,still_30,1
30,2820,2820,Warm-Hearted Care,Nico Yazawa,still_30,1
31,2833,2833,Yohane's Essence,Yoshiko Tsushima,still_31,1
31,2834,2834,After the Rain,Ruby Kurosawa,still_31,1
32,2841,2841,Sea Arrangement,Kotori Minami,still_32,1
32,2842,2842,Marine Treasure,Maki Nishikino,still_32,1
33,2859,2859,Ramune Prank,Kanan Matsuura,still_33,1
33,2860,2860,Feelings Into Words,You Watanabe,still_33,1
34,2873,2873,Unrushed Shaved Ice,Rin Hoshizora,still_34,1
34,2874,2874,Sweet Snow,Nozomi Tojo,still_34,1
35,2905,2905,We've Got This,Riko Sakurauchi,still_35,1
35,2906,2906,Hanamaru’s Challenge,Hanamaru Kunikida,still_35,1
36,2942,2942,Solo Hike,Umi Sonoda,still_36,1
36,2943,2943,Honey Nighttime,Hanayo Koizumi,still_36,1
37,2981,2981,Fluffy Whipped Cream,Chika Takami,still_37,1
37,2982,2982,Mari's Snuck Snacks♡,Mari Ohara,still_37,1
38,2995,2995,Cutesy Surprise,Kotori Minami,still_38,1
