_albumSeriesId,_albumGroupId,_albumTabId,_orderNum,_name,_nameEn,_layoutType,_thumbnailPath,_masterReleaseLabelId
1,1,1,4,Akihabara,Akihabara,9,series_thumbnail_1_1,1
2,1,1,8,Solo Stage Costumes,Solo Performance,9,series_thumbnail_2_1,1
3,1,1,6,Jobs,Vocational,9,series_thumbnail_3_1,1
4,1,1,9,Animals,Animal,3,series_thumbnail_4_1,1
5,1,1,13,August (Swimsuits) Part 1,Summer Uniform (1/2),13,series_thumbnail_5_1,1
6,1,1,14,August (Swimsuits) Part 2,Summer Uniform (2/2),12,series_thumbnail_6_1,1
7,1,1,16,September (Yukata) Part 1,Yukata (1/2),13,series_thumbnail_7_1,1
8,1,1,17,September (Yukata) Part 2,Yukata (2/2),12,series_thumbnail_8_1,1
9,1,1,18,October (Cheerleaders) Part 1,Sports (1/2),13,series_thumbnail_9_1,1
10,1,1,19,October (Cheerleaders) Part 2,Sports (2/2),12,series_thumbnail_10_1,1
11,1,1,20,November (Cooking) Part 1,Cooking (1/2),13,series_thumbnail_11_1,1
12,1,1,21,November (Cooking) Part 2,Cooking (2/2),12,series_thumbnail_12_1,1
13,1,1,23,December (Santa) Part 1,Winter Holiday (1/2),13,series_thumbnail_13_1,1
14,1,1,24,December (Santa) Part 2,Winter Holiday (2/2),12,series_thumbnail_14_1,1
15,1,1,27,January (Sunday Best) Part 1,Kimono (1/2),13,series_thumbnail_15_1,1
16,1,1,28,January (Sunday Best) Part 2,Kimono (2/2),12,series_thumbnail_16_1,1
17,1,1,32,February (Valentine's) Part 1,Chocolate (1/2),13,series_thumbnail_17_1,1
18,1,1,33,February (Valentine's) Part 2,Chocolate (2/2),12,series_thumbnail_18_1,1
19,1,1,35,March (Flowers) Part 1,Blooming (1/2),13,series_thumbnail_19_1,1
20,1,1,36,March (Flowers) Part 2,Blooming (2/2),12,series_thumbnail_20_1,1
21,1,1,38,April (Fruit Stand) Part 1,Fruit Stand (1/2),13,series_thumbnail_21_1,1
22,1,1,39,April (Fruit Stand) Part 2,Fruit Stand (2/2),12,series_thumbnail_22_1,1
23,1,1,42,May (Fairy Tales) Part 1,Fairy Tale (1/2),13,series_thumbnail_23_1,1
24,1,1,43,May (Fairy Tales) Part 2,Fairy Tale (2/2),12,series_thumbnail_24_1,1
25,1,1,44,June (Dresses) Part 1,Party Dress (1/2),13,series_thumbnail_25_1,1
26,1,1,45,June (Dresses) Part 2,Party Dress (2/2),12,series_thumbnail_26_1,1
27,1,1,49,July (Mermaids) Part 1,Summer Casual (1/2),13,series_thumbnail_27_1,1
28,1,1,50,July (Mermaids) Part 2,Summer Casual (2/2),12,series_thumbnail_28_1,1
29,1,1,55,China Dresses Part 1,Kung Fu Star (1/2),13,series_thumbnail_29_1,1
30,1,1,56,China Dresses Part 2,Kung Fu Star (2/2),12,series_thumbnail_30_1,1
31,1,1,58,Café Maids Part 1,Cafe Maid (1/2),13,series_thumbnail_31_1,1
32,1,1,59,Café Maids Part 2,Cafe Maid (2/2),12,series_thumbnail_32_1,1
33,1,1,60,Halloween Part 1,Halloween (1/2),13,series_thumbnail_33_1,1
34,1,1,61,Halloween Part 2,Halloween (2/2),12,series_thumbnail_34_1,1
35,1,1,64,Constellations Part 1,Zodiac (1/2),13,series_thumbnail_35_1,1
36,1,1,65,Constellations Part 2,Zodiac (2/2),12,series_thumbnail_36_1,1
37,1,1,67,Snowy Mountain Part 1,Winter Sports (1/2),13,series_thumbnail_37_1,1
38,1,1,68,Snowy Mountain Part 2,Winter Sports (2/2),12,series_thumbnail_38_1,1
39,1,1,73,Seven Lucky Gods Part 1,Goddesses of Fortune (1/2),13,series_thumbnail_39_1,1
40,1,1,74,Seven Lucky Gods Part 2,Goddesses of Fortune (2/2),12,series_thumbnail_40_1,1
41,1,1,76,Valentine's Part 1,Valentines (1/2),13,series_thumbnail_41_1,1
42,1,1,77,Valentine's Part 2,Valentines (2/2),12,series_thumbnail_42_1,1
43,1,1,78,White Day Part 1,White Day (1/2),13,series_thumbnail_43_1,1
44,1,1,79,White Day Part 2,White Day (2/2),12,series_thumbnail_44_1,1
45,1,1,82,Work Study Part 1,Vocational Part 2 (1/2),13,series_thumbnail_45_1,1
46,1,1,83,Work Study Part 2,Vocational Part 2 (2/2),12,series_thumbnail_46_1,1
47,1,1,86,Cyber Part 1,Cyber (1/2),13,series_thumbnail_47_1,1
48,1,1,87,Cyber Part 2,Cyber (2/2),12,series_thumbnail_48_1,1
49,1,1,89,Magicians Part 1,Magician (1/2),13,series_thumbnail_49_1,1
50,1,1,90,Magicians Part 2,Magician (2/2),12,series_thumbnail_50_1,1
51,1,1,94,Mariners Part 1,Sailors (1/2),13,series_thumbnail_51_1,1
52,1,1,95,Mariners Part 2,Sailors (2/2),12,series_thumbnail_52_1,1
53,1,1,96,Poolside Part 1,Swimming Pool (1/2),13,series_thumbnail_53_1,1
54,1,1,97,Poolside Part 2,Swimming Pool (2/2),12,series_thumbnail_54_1,1
55,1,1,98,Kunoichi Part 1,Kunoichi (1/2),13,series_thumbnail_55_1,1
56,1,1,99,Kunoichi Part 2,Kunoichi (2/2),12,series_thumbnail_56_1,1
57,1,1,103,Petting Zoo Part 1,Animal Part 2 (1/2),13,series_thumbnail_57_1,1
58,1,1,104,Petting Zoo Part 2,Animal Part 2 (2/2),12,series_thumbnail_58_1,1
59,1,1,107,Formal Ball Part 1,Dance Party (1/2),13,series_thumbnail_59_1,1
60,1,1,108,Formal Ball Part 2,Dance Party (2/2),12,series_thumbnail_60_1,1
61,1,1,110,Christmas Part 1,Christmas (1/2),13,series_thumbnail_61_1,1
62,1,1,111,Christmas Part 2,Christmas (2/2),12,series_thumbnail_62_1,1
63,1,1,115,Circus Part 1,Circus (1/2),13,series_thumbnail_63_1,1
64,1,1,116,Circus Part 2,Circus (2/2),12,series_thumbnail_64_1,1
65,1,1,119,Fairyland Part 1,Fairyland (1/2),13,series_thumbnail_65_1,1
66,1,1,120,Fairyland Part 2,Fairyland (2/2),12,series_thumbnail_66_1,1
67,1,1,124,Classical Japanese Part 1,Taisho Roman (1/2),13,series_thumbnail_67_1,1
68,1,1,125,Classical Japanese Part 2,Taisho Roman (2/2),12,series_thumbnail_68_1,1
69,1,1,127,Baseball Part 1,Baseball (1/2),13,series_thumbnail_69_1,1
70,1,1,128,Baseball Part 2,Baseball (2/2),12,series_thumbnail_70_1,1
71,1,1,130,Dancers Part 1,Dancer (1/2),13,series_thumbnail_71_1,1
72,1,1,131,Dancers Part 2,Dancer (2/2),12,series_thumbnail_72_1,1
73,1,1,132,Idol Outfits Part 1,Idol Costume (1/2),13,series_thumbnail_73_1,1
74,1,1,133,Idol Outfits Part 2,Idol Costume (2/2),12,series_thumbnail_74_1,1
75,1,1,135,Little Devils Part 1,Little Devil (1/2),13,series_thumbnail_75_1,1
76,1,1,136,Little Devils Part 2,Little Devil (2/2),12,series_thumbnail_76_1,1
77,1,1,138,Pool Prep Part 1,Ready for Summer (1/2),15,series_thumbnail_77_1,1
78,1,1,139,Pool Prep Part 2,Ready for Summer (2/2),14,series_thumbnail_78_1,1
79,1,1,140,Birthstones Part 1,Birth Stones (1/2),15,series_thumbnail_79_1,1
80,1,1,141,Birthstones Part 2,Birth Stones (2/2),14,series_thumbnail_80_1,1
81,1,1,144,Slumber Party Part 1,Pajama Party (1/2),15,series_thumbnail_81_1,1
82,1,1,145,Slumber Party Part 2,Pajama Party (2/2),14,series_thumbnail_82_1,1
83,1,1,146,Bouquets Part 1,Bouquet (1/2),15,series_thumbnail_83_1,1
84,1,1,147,Bouquets Part 2,Bouquet (2/2),14,series_thumbnail_84_1,1
85,1,1,149,Tennis Part 1,Tennis (1/2),15,series_thumbnail_85_1,1
86,1,1,150,Tennis Part 2,Tennis (2/2),14,series_thumbnail_86_1,1
87,1,1,151,Ice Cream Part 1,Ice Cream (1/2),15,series_thumbnail_87_1,1
88,1,1,152,Ice Cream Part 2,Ice Cream (2/2),14,series_thumbnail_88_1,1
89,1,1,154,Pirates Part 1,Pirates (1/2),15,series_thumbnail_89_1,1
90,1,1,155,Pirates Part 2,Pirates (2/2),14,series_thumbnail_90_1,1
91,1,1,156,Crayons Part 1,Crayon (1/2),15,series_thumbnail_91_1,1
92,1,1,157,Crayons Part 2,Crayon (2/2),14,series_thumbnail_92_1,1
93,1,1,160,Instruments Part 1,Marching Band (1/2),15,series_thumbnail_93_1,1
94,1,1,161,Instruments Part 2,Marching Band (2/2),14,series_thumbnail_94_1,1
95,1,1,163,Sky Part 1,Clear Skies (1/2),15,series_thumbnail_95_1,1
96,1,1,164,Sky Part 2,Clear Skies (2/2),14,series_thumbnail_96_1,1
97,1,1,167,Wonderland Part 1,A Curious Place (1/2),15,series_thumbnail_97_1,1
98,1,1,168,Wonderland Part 2,A Curious Place (2/2),14,series_thumbnail_98_1,1
99,1,1,170,Sorceresses Part 1,Witches (1/2),15,series_thumbnail_99_1,1
100,1,1,171,Sorceresses Part 2,Witches (2/2),14,series_thumbnail_100_1,1
101,1,1,173,Fruits Part 1,Fruits (1/2),15,series_thumbnail_101_1,1
102,1,1,174,Fruits Part 2,Fruits (2/2),14,series_thumbnail_102_1,1
103,1,1,178,Universe Part 1,Universe (1/2),15,series_thumbnail_103_1,1
104,1,1,179,Universe Part 2,Universe (2/2),14,series_thumbnail_104_1,1
105,1,1,180,RPG Part 1,RPG (1/2),15,series_thumbnail_105_1,1
106,1,1,181,RPG Part 2,RPG (2/2),14,series_thumbnail_106_1,1
107,1,1,184,Tea Party Part 1,Tea Party (1/2),15,series_thumbnail_107_1,1
108,1,1,185,Tea Party Part 2,Tea Party (2/2),14,series_thumbnail_108_1,1
109,1,1,187,Spring Arrives Part 1,Welcome Spring (1/2),15,series_thumbnail_109_1,1
110,1,1,188,Spring Arrives Part 2,Welcome Spring (2/2),14,series_thumbnail_110_1,1
111,1,1,190,Marbles Part 1,Marble (1/2),15,series_thumbnail_111_1,1
112,1,1,191,Marbles Part 2,Marble (2/2),14,series_thumbnail_112_1,1
