_albumSeriesId,_thumbnailAsset,_thumbnailAssetEn,_masterReleaseLabelId
1,series_thumbnail_1_1,0,1
2,series_thumbnail_2_1,0,1
3,series_thumbnail_3_1,0,1
4,series_thumbnail_4_1,0,1
5,series_thumbnail_5_1,0,1
6,series_thumbnail_6_1,0,1
7,series_thumbnail_7_1,0,1
8,series_thumbnail_8_1,0,1
9,series_thumbnail_9_1,0,1
10,series_thumbnail_10_1,0,1
11,series_thumbnail_11_1,0,1
12,series_thumbnail_12_1,0,1
13,series_thumbnail_13_1,0,1
14,series_thumbnail_14_1,0,1
15,series_thumbnail_15_1,0,1
16,series_thumbnail_16_1,0,1
17,series_thumbnail_17_1,0,1
18,series_thumbnail_18_1,0,1
19,series_thumbnail_19_1,0,1
20,series_thumbnail_20_1,0,1
21,series_thumbnail_21_1,0,1
22,series_thumbnail_22_1,0,1
23,series_thumbnail_23_1,0,1
24,series_thumbnail_24_1,0,1
25,series_thumbnail_25_1,0,1
26,series_thumbnail_26_1,0,1
27,series_thumbnail_27_1,0,1
28,series_thumbnail_28_1,0,1
29,series_thumbnail_29_1,0,1
30,series_thumbnail_30_1,0,1
31,series_thumbnail_31_1,0,1
32,series_thumbnail_32_1,0,1
33,series_thumbnail_33_1,0,1
34,series_thumbnail_34_1,0,1
35,series_thumbnail_35_1,0,1
36,series_thumbnail_36_1,0,1
37,series_thumbnail_37_1,0,1
38,series_thumbnail_38_1,0,1
39,series_thumbnail_39_1,0,1
40,series_thumbnail_40_1,0,1
41,series_thumbnail_41_1,0,1
42,series_thumbnail_42_1,0,1
43,series_thumbnail_43_1,0,1
44,series_thumbnail_44_1,0,1
45,series_thumbnail_45_1,0,1
46,series_thumbnail_46_1,0,1
47,series_thumbnail_47_1,0,1
48,series_thumbnail_48_1,0,1
49,series_thumbnail_49_1,0,1
50,series_thumbnail_50_1,0,1
51,series_thumbnail_51_1,0,1
52,series_thumbnail_52_1,0,1
53,series_thumbnail_53_1,0,1
54,series_thumbnail_54_1,0,1
55,series_thumbnail_55_1,0,1
56,series_thumbnail_56_1,0,1
57,series_thumbnail_57_1,0,1
58,series_thumbnail_58_1,0,1
59,series_thumbnail_59_1,0,1
60,series_thumbnail_60_1,0,1
61,series_thumbnail_61_1,0,1
62,series_thumbnail_62_1,0,1
63,series_thumbnail_63_1,0,1
64,series_thumbnail_64_1,0,1
65,series_thumbnail_65_1,0,1
66,series_thumbnail_66_1,0,1
67,series_thumbnail_67_1,0,1
68,series_thumbnail_68_1,0,1
69,series_thumbnail_69_1,0,1
70,series_thumbnail_70_1,0,1
71,series_thumbnail_71_1,0,1
72,series_thumbnail_72_1,0,1
73,series_thumbnail_73_1,0,1
74,series_thumbnail_74_1,0,1
75,series_thumbnail_75_1,0,1
76,series_thumbnail_76_1,0,1
77,series_thumbnail_77_1,0,1
78,series_thumbnail_78_1,0,1
79,series_thumbnail_79_1,0,1
80,series_thumbnail_80_1,0,1
81,series_thumbnail_81_1,0,1
82,series_thumbnail_82_1,0,1
83,series_thumbnail_83_1,0,1
84,series_thumbnail_84_1,0,1
85,series_thumbnail_85_1,0,1
86,series_thumbnail_86_1,0,1
87,series_thumbnail_87_1,0,1
88,series_thumbnail_88_1,0,1
89,series_thumbnail_89_1,0,1
90,series_thumbnail_90_1,0,1
91,series_thumbnail_91_1,0,1
92,series_thumbnail_92_1,0,1
93,series_thumbnail_93_1,0,1
94,series_thumbnail_94_1,0,1
95,series_thumbnail_95_1,0,1
96,series_thumbnail_96_1,0,1
97,series_thumbnail_97_1,0,1
98,series_thumbnail_98_1,0,1
99,series_thumbnail_99_1,0,1
100,series_thumbnail_100_1,0,1
101,series_thumbnail_101_1,0,1
102,series_thumbnail_102_1,0,1
103,series_thumbnail_103_1,0,1
104,series_thumbnail_104_1,0,1
105,series_thumbnail_105_1,0,1
106,series_thumbnail_106_1,0,1
107,series_thumbnail_107_1,0,1
108,series_thumbnail_108_1,0,1
109,series_thumbnail_109_1,0,1
110,series_thumbnail_110_1,0,1
111,series_thumbnail_111_1,0,1
112,series_thumbnail_112_1,0,1
113,series_thumbnail_113_1,0,1
114,series_thumbnail_114_1,0,1
115,series_thumbnail_115_1,0,1
116,series_thumbnail_116_1,0,1
117,series_thumbnail_117_1,0,1
118,series_thumbnail_118_1,0,1
119,series_thumbnail_119_1,0,1
120,series_thumbnail_120_8,0,1
121,series_thumbnail_121_8,0,1
122,series_thumbnail_122_1,0,1
123,series_thumbnail_123_1,0,1
124,series_thumbnail_124_1,0,1
125,series_thumbnail_125_1,0,1
126,series_thumbnail_126_1,0,1
127,series_thumbnail_127_1,0,1
128,series_thumbnail_128_1,0,1
129,series_thumbnail_0_1,0,1
130,series_thumbnail_130_1,0,1
131,series_thumbnail_0_1,0,1
132,series_thumbnail_132_1,0,1
133,series_thumbnail_133_1,0,1
134,series_thumbnail_134_1,0,1
135,series_thumbnail_135_1,0,1
136,series_thumbnail_136_1,0,1
137,series_thumbnail_0_1,0,1
138,series_thumbnail_138_1,0,1
139,series_thumbnail_139_1,0,1
140,series_thumbnail_140_1,0,1
141,series_thumbnail_141_1,0,1
142,series_thumbnail_142_1,0,1
143,series_thumbnail_143_1,0,1
144,series_thumbnail_144_1,0,1
145,series_thumbnail_145_1,0,1
146,series_thumbnail_146_1,0,1
147,series_thumbnail_147_1,0,1
148,series_thumbnail_148_1,0,1
149,series_thumbnail_149_1,0,1
150,series_thumbnail_150_1,0,1
151,series_thumbnail_151_1,0,1
152,series_thumbnail_152_1,0,1
153,series_thumbnail_153_1,0,1
154,series_thumbnail_154_1,0,1
155,series_thumbnail_155_1,0,1
156,series_thumbnail_156_1,0,1
157,series_thumbnail_157_1,0,1
158,series_thumbnail_158_1,0,1
159,series_thumbnail_159_1,0,1
160,series_thumbnail_160_1,0,1
161,series_thumbnail_161_1,0,1
162,series_thumbnail_162_1,0,1
163,series_thumbnail_163_1,0,1
164,series_thumbnail_164_1,0,1
165,series_thumbnail_165_1,0,1
166,series_thumbnail_166_1,0,1
167,series_thumbnail_167_1,0,1
168,series_thumbnail_168_1,0,1
169,series_thumbnail_169_1,0,1
170,series_thumbnail_170_1,0,1
171,series_thumbnail_0_1,0,1
172,series_thumbnail_0_1,0,1
173,series_thumbnail_173_1,0,1
174,series_thumbnail_0_1,0,1
175,series_thumbnail_0_1,0,1
176,series_thumbnail_176_1,0,1
177,series_thumbnail_0_1,0,1
178,series_thumbnail_0_1,0,1
179,series_thumbnail_179_1,0,1
180,series_thumbnail_180_1,0,1
181,series_thumbnail_0_1,0,1
182,series_thumbnail_182_1,0,1
183,series_thumbnail_183_1,0,1
184,series_thumbnail_0_1,0,1
185,series_thumbnail_0_1,0,1
186,series_thumbnail_186_1,0,1
187,series_thumbnail_0_1,0,1
188,series_thumbnail_0_1,0,1
189,series_thumbnail_0_1,0,1
190,series_thumbnail_0_1,0,1
191,series_thumbnail_191_1,0,1
192,series_thumbnail_0_1,0,1
193,series_thumbnail_193_1,0,1
194,series_thumbnail_194_1,0,1
195,series_thumbnail_195_1,0,1
