_unitId,_unitTypeId,_albumSeriesId,_eponym,_eponymEn,_name,_nameEn,_normalCardId,_rankMaxCardId,_rarity,_attributeId,_masterReleaseLabelId
1,11,363,,,Shizuku Osaka,Shizuku Osaka,1,2,1,1,1
2,12,370,,,Coco Miyashita,Coco Miyashita,6,7,1,2,1
3,13,377,,,Yuu Aizawa,Yuu Aizawa,11,12,1,3,1
4,14,363,,,Marika Ichinose,Marika Ichinose,16,17,1,1,1
5,15,370,,,Sana Yuki,Sana Yuki,21,22,1,2,1
6,16,377,,,Fumie Nishimura,Fumie Nishimura,26,27,1,3,1
7,17,363,,,Minami Nagayama,Minami Nagayama,31,32,1,1,1
8,18,370,,,Christina,Christina,36,37,1,2,1
9,19,377,,,Akemi Kikuchi,Akemi Kikuchi,41,42,1,3,1
10,20,377,,,Iruka Suda,Iruka Suda,46,47,1,1,1
11,21,363,,,Aya Sugisaki,Aya Sugisaki,51,52,1,2,1
12,22,370,,,Yuri Mido,Yuri Mido,56,57,1,3,1
13,23,377,,,Reine Saeki,Reine Saeki,61,62,1,1,1
14,24,363,,,Ayumi Torii,Ayumi Torii,66,67,1,2,1
15,25,370,,,Rika Kamiya,Rika Kamiya,71,72,1,3,1
16,26,377,,,Nanaka Morishima,Nanaka Morishima,76,77,1,1,1
17,27,363,,,Seira Kujo,Seira Kujo,81,82,1,2,1
18,28,370,,,Kanata Konoe,Kanata Konoe,86,87,1,3,1
19,29,370,,,Haruka Konoe,Haruka Konoe,91,92,1,1,1
20,30,377,,,Saki Shimozono,Saki Shimozono,96,97,1,2,1
21,31,363,,,Sachiko Tanaka,Sachiko Tanaka,101,102,1,3,1
22,32,370,,,Kasane Hasekura,Kasane Hasekura,106,107,1,1,1
23,33,377,,,Ru Tatara,Ru Tatara,111,112,1,2,1
24,34,363,,,Akiru Shinomiya,Akiru Shinomiya,116,117,1,3,1
25,35,370,,,Mizuki Kikkawa,Mizuki Kikkawa,121,122,1,1,1
26,36,377,,,Nagi Shiraki,Nagi Shiraki,126,127,1,2,1
27,37,363,,,Yumi Fujishiro,Yumi Fujishiro,131,132,1,3,1
28,38,346,,,Satoko Miyama,Satoko Miyama,721,721,2,1,1
29,39,346,,,Nanako Yamauchi,Nanako Yamauchi,722,722,2,2,1
30,40,346,,,Kyoko Sasahara,Kyoko Sasahara,723,723,2,3,1
31,1,193,,,Honoka Kosaka,Honoka Kosaka,151,152,2,3,1
32,2,193,,,Eli Ayase,Eli Ayase,156,157,2,3,1
33,3,193,,,Kotori Minami,Kotori Minami,161,162,2,3,1
34,4,193,,,Umi Sonoda,Umi Sonoda,166,167,2,3,1
35,5,193,,,Rin Hoshizora,Rin Hoshizora,171,172,2,3,1
36,6,193,,,Maki Nishikino,Maki Nishikino,176,177,2,3,1
37,7,193,,,Nozomi Tojo,Nozomi Tojo,181,182,2,3,1
38,8,193,,,Hanayo Koizumi,Hanayo Koizumi,186,187,2,3,1
39,9,193,,,Nico Yazawa,Nico Yazawa,191,192,2,3,1
40,1,194,,,Honoka Kosaka,Honoka Kosaka,196,197,2,2,1
41,2,194,,,Eli Ayase,Eli Ayase,201,202,2,2,1
42,3,194,,,Kotori Minami,Kotori Minami,206,207,2,2,1
43,4,194,,,Umi Sonoda,Umi Sonoda,211,212,2,2,1
44,5,194,,,Rin Hoshizora,Rin Hoshizora,216,217,2,2,1
45,6,194,,,Maki Nishikino,Maki Nishikino,221,222,2,2,1
46,7,194,,,Nozomi Tojo,Nozomi Tojo,226,227,2,2,1
47,8,194,,,Hanayo Koizumi,Hanayo Koizumi,231,232,2,2,1
48,9,194,,,Nico Yazawa,Nico Yazawa,236,237,2,2,1
49,1,195,,,Honoka Kosaka,Honoka Kosaka,241,242,2,1,1
50,2,195,,,Eli Ayase,Eli Ayase,246,247,2,1,1
51,3,195,,,Kotori Minami,Kotori Minami,251,252,2,1,1
52,4,195,,,Umi Sonoda,Umi Sonoda,256,257,2,1,1
