_unitTypeId,_name,_nameAlpha,_age,_birthday,_bloodType,_height,_cv,_masterReleaseLabelId
1,高坂穂乃果,HONOKA KOSAKA,2,8月3日,Ｏ型,157,新田恵海,1
2,絢瀬絵里,ELI AYASE,3,10月21日,Ｂ型,162,南條愛乃,1
3,南ことり,KOTORI MINAMI,2,9月12日,Ｏ型,159,内田 彩,1
4,園田海未,UMI SONODA,2,3月15日,Ａ型,159,三森すずこ,1
5,星空凛,RIN HOSHIZORA,1,11月1日,Ａ型,155,飯田里穂,1
6,西木野真姫,MAKI NISHIKINO,1,4月19日,ＡＢ型,161,Pile,1
7,東條希,NOZOMI TOJO,3,6月9日,Ｏ型,159,楠田亜衣奈,1
8,小泉花陽,HANAYO KOIZUMI,1,1月17日,Ｂ型,156,久保ユリカ,1
9,矢澤にこ,NICO YAZAWA,3,7月22日,Ａ型,154,徳井青空,1
10,μ's,μ's,？,？月？日,？型,？,？？？？,1
11,桜坂しずく,SHIZUKU OSAKA,1,4月3日,Ａ型,157,？？？？,1
12,宮下ココ,COCO MIYASHITA,1,6月2日,Ａ型,155,？？？？,1
13,逢沢遊宇,YUU AIZAWA,1,7月7日,Ｏ型,157,？？？？,1
14,一之瀬マリカ,MARIKA ICHINOSE,2,4月20日,Ｂ型,161,？？？？,1
15,結城紗菜,SANA YUKI,2,8月20日,Ｂ型,160,？？？？,1
16,西村文絵,FUMIE NISHIMURA,2,9月20日,Ｂ型,156,？？？？,1
17,永山みなみ,MINAMI NAGAYAMA,3,8月30日,Ｏ型,163,？？？？,1
18,クリスティーナ,CHRISTINA,3,1月21日,Ａ型,161,？？？？,1
19,菊池朱美,AKEMI KIKUCHI,3,10月30日,Ｂ型,160,？？？？,1
20,須田いるか,IRUKA SUDA,1,2月18日,Ｏ型,159,？？？？,1
21,杉崎亜矢,AYA SUGISAKI,1,9月30日,Ｏ型,153,？？？？,1
22,御堂優理,YURI MIDO,1,12月24日,Ａ型,164,？？？？,1
23,佐伯麗音,REINE SAEKI,2,6月16日,Ａ型,155,？？？？,1
24,鳥居歩美,AYUMI TORII,2,3月8日,Ａ型,154,？？？？,1
25,神谷理華,RIKA KAMIYA,2,1月7日,Ａ型,159,？？？？,1
26,森嶋ななか,NANAKA MORISHIMA,3,3月7日,Ｂ型,163,？？？？,1
27,九条聖来,SEIRA KUJO,3,11月15日,Ｏ型,158,？？？？,1
28,近江彼方,KANATA KONOE,3,12月16日,Ｏ型,158,？？？？,1
29,近江遥,HARUKA KONOE,1,11月11日,Ａ型,154,？？？？,1
30,下園咲,SAKI SHIMOZONO,1,5月5日,Ａ型,158,？？？？,1
31,田中さち子,SACHIKO TANAKA,1,9月3日,ＡＢ型,156,？？？？,1
32,支倉かさね,KASANE HASEKURA,2,12月12日,Ｏ型,161,？？？？,1
33,多々良るう,RU TATARA,2,3月25日,Ａ型,152,？？？？,1
