_unitTypeId,_memberTagId,_masterReleaseLabelId
1,4,1
1,6,1
1,14,1
1,23,1
1,32,1
1,37,1
1,71,1
1,72,1
1,73,1
1,74,1
1,75,1
1,76,1
1,77,1
1,78,1
1,145,1
2,4,1
2,8,1
2,22,1
2,29,1
2,30,1
2,31,1
2,36,1
2,39,1
2,71,1
2,79,1
2,80,1
2,81,1
2,82,1
2,83,1
2,84,1
2,85,1
2,145,1
3,4,1
3,6,1
3,17,1
3,25,1
3,26,1
3,32,1
3,37,1
3,72,1
3,79,1
3,86,1
3,87,1
3,88,1
3,89,1
3,90,1
3,91,1
3,145,1
4,4,1
4,7,1
4,19,1
4,26,1
4,29,1
4,31,1
4,32,1
4,37,1
4,73,1
4,80,1
4,86,1
4,92,1
4,93,1
4,94,1
4,95,1
4,96,1
4,145,1
5,4,1
5,1,1
5,7,1
5,20,1
5,23,1
5,27,1
5,33,1
5,35,1
5,37,1
5,39,1
5,74,1
5,81,1
5,87,1
5,92,1
5,97,1
5,98,1
5,99,1
5,100,1
5,145,1
6,4,1
6,1,1
6,8,1
6,18,1
6,27,1
6,28,1
6,31,1
6,35,1
6,37,1
6,39,1
6,75,1
6,82,1
6,88,1
6,93,1
6,97,1
6,101,1
6,102,1
6,103,1
6,145,1
7,4,1
7,7,1
7,21,1
7,24,1
7,30,1
7,36,1
7,39,1
7,76,1
7,83,1
7,89,1
7,94,1
7,98,1
7,101,1
7,104,1
7,105,1
7,145,1
8,4,1
8,1,1
8,6,1
8,15,1
8,25,1
8,33,1
8,35,1
8,37,1
8,39,1
8,77,1
8,84,1
8,90,1
8,95,1
8,99,1
8,102,1
8,104,1
8,106,1
8,145,1
9,4,1
9,8,1
9,16,1
9,24,1
9,28,1
9,33,1
9,36,1
9,37,1
9,39,1
9,78,1
9,85,1
9,91,1
9,96,1
9,100,1
9,103,1
9,105,1
9,106,1
9,145,1
10,52,1
11,50,1
11,1,1
12,50,1
12,1,1
13,50,1
13,1,1
14,50,1
15,50,1
16,50,1
17,50,1
18,50,1
19,50,1
20,50,1
20,1,1
21,50,1
21,1,1
22,50,1
22,1,1
23,50,1
24,50,1
25,50,1
26,50,1
27,50,1
28,50,1
29,50,1
29,1,1
30,50,1
30,1,1
31,50,1
31,1,1
32,50,1
33,50,1
34,50,1
35,50,1
36,50,1
37,50,1
38,52,1
39,52,1
40,52,1
41,50,1
42,50,1
42,1,1
43,50,1
44,52,1
45,50,1
46,50,1
46,1,1
47,50,1
47,1,1
48,50,1
49,50,1
50,50,1
51,50,1
52,50,1
53,50,1
54,50,1
54,1,1
55,50,1
56,50,1
57,50,1
58,50,1
58,1,1
59,50,1
60,50,1
60,1,1
61,50,1
62,50,1
63,50,1
64,50,1
64,1,1
65,50,1
66,50,1
66,1,1
67,50,1
68,50,1
68,1,1
69,52,1
70,52,1
71,52,1
72,52,1
73,52,1
74,52,1
75,52,1
76,52,1
77,52,1
78,52,1
79,52,1
80,12,1
80,51,1
81,12,1
81,51,1
82,12,1
82,51,1
83,52,1
85,52,1
86,52,1
91,14,1
92,22,1
93,17,1
94,19,1
95,20,1
96,18,1
97,21,1
98,15,1
99,16,1
101,5,1
101,9,1
101,34,1
101,41,1
101,107,1
101,108,1
101,109,1
101,110,1
101,111,1
101,112,1
101,113,1
101,114,1
101,56,1
101,57,1
101,58,1
101,147,1
101,151,1
102,5,1
102,11,1
102,34,1
102,42,1
102,107,1
102,115,1
102,116,1
102,117,1
102,118,1
102,119,1
102,120,1
102,121,1
102,53,1
102,57,1
102,58,1
102,147,1
102,148,1
103,5,1
103,10,1
103,40,1
103,43,1
103,108,1
103,115,1
103,122,1
103,123,1
103,124,1
103,125,1
103,126,1
103,127,1
103,56,1
103,57,1
103,58,1
103,147,1
103,149,1
104,5,1
104,10,1
104,40,1
104,44,1
104,109,1
104,116,1
104,122,1
104,128,1
104,129,1
104,130,1
104,131,1
104,132,1
104,54,1
104,57,1
104,58,1
104,147,1
104,151,1
105,5,1
105,9,1
105,34,1
105,45,1
105,110,1
105,117,1
105,123,1
105,128,1
105,133,1
105,134,1
105,135,1
105,136,1
105,55,1
105,57,1
105,58,1
105,147,1
105,148,1
106,5,1
106,1,1
106,11,1
106,38,1
106,46,1
106,111,1
106,118,1
106,124,1
106,129,1
106,133,1
106,137,1
106,138,1
106,139,1
106,55,1
106,57,1
106,58,1
106,70,1
106,147,1
106,151,1
107,5,1
107,1,1
107,10,1
107,38,1
107,47,1
107,112,1
107,119,1
107,125,1
107,130,1
107,134,1
107,137,1
107,140,1
