_masterBeginnerMissionId,_level,_number,_masterBeginnerMissionRewardId,_masterReleaseLabelId
1,1,0,270000001,1
1,1,1,270000002,1
1,1,2,270000003,1
1,1,3,270000004,1
1,1,4,270000005,1
1,1,5,270000006,1
1,1,6,270000007,1
1,1,7,270000008,1
1,1,8,270000009,1
1,2,0,270000010,1
1,2,1,270000011,1
1,2,2,270000012,1
1,2,3,270000013,1
1,2,4,270000014,1
1,2,5,270000015,1
1,2,6,270000016,1
1,2,7,270000017,1
1,2,8,270000018,1
1,3,0,270000019,1
1,3,1,270000020,1
1,3,2,270000021,1
1,3,3,270000022,1
1,3,4,270000023,1
1,3,5,270000024,1
1,3,6,270000025,1
1,3,7,270000026,1
1,3,8,270000027,1
