_masterBillingSubscriptionLabel,_number,_subscriptionRewardType,_value,_masterReleaseLabelId
subscription_01.980,1,1,20000,1
subscription_01.980,2,2,1805001,1
subscription_01.980,3,2,1805002,1
subscription_01.980,4,2,1805003,1
subscription_01.980,5,2,1805004,1
subscription_01.980,6,2,1805005,1
subscription_01.980,7,2,1805006,1
subscription_01.980,8,2,1805007,1
subscription_01.980,9,2,1805008,1
subscription_01.980,10,2,1805009,1
subscription_01.980,11,2,1805010,1
subscription_01.980,12,2,1805011,1
subscription_01.980,13,2,1805012,1
subscription_01.980,14,2,1805013,1
subscription_01.980,15,2,1805014,1
subscription_01.980,16,2,1805015,1
subscription_01.980,17,2,1805016,1
subscription_01.980,18,2,1805017,1
subscription_01.980,19,2,1805018,1
subscription_01.980,20,2,1805019,1
subscription_01.980,21,2,1805020,1
subscription_01.980,22,2,1805021,223101513
subscription_01.980,23,2,1805022,223101513
subscription_01.980,24,2,1805023,223101513
subscription_01.980,25,2,1805024,223101513
subscription_01.980,26,2,1805025,223101513
subscription_01.980,27,2,1805026,223101513
subscription_01.980,28,2,1805027,223101513
subscription_01.980,29,2,1805028,223101513
subscription_01.980,30,2,1805029,223101513
subscription_01.980,31,2,1805030,223101513
subscription_01.980,32,2,1805031,223101513
subscription_01.980,33,2,1805032,223101513
subscription_01.980,34,2,1805033,223101513
subscription_01.980,35,2,1805034,223101513
subscription_01.980,36,2,1805035,223101513
