_id,_masterCharacterId,_name,_type,_masterSkillCenterId,_masterSkillId,_rarity,_hp,_smile,_cool,_pure,_illustId,_evolveIllustId,_masterCardLevelId,_uniqueBackgroundFileName,_evolveUniqueBackgroundFileName,_getCategory,_masterCardSysVoiceId,_albumUnitMId,_priority,_masterReleaseLabelId
10010001,1001,Originator,1,100001,10010001,1,2,3767,2968,3265,01001_0001_00,01001_0001_01,1,,,1,0,0,1,1
10010002,1001,Full Speed Ahead!,2,200001,10010002,1,2,3102,2899,3999,01001_0002_00,01001_0002_01,1,,,1,0,0,1,1
10010003,1001,Positive,3,300001,10010003,1,2,3235,3774,2991,01001_0003_00,01001_0003_01,1,,,1,0,0,1,1
10010004,1001,Pep is Paramount,2,200001,10010004,1,2,3005,3085,3910,01001_0004_00,01001_0004_01,1,,,1,0,0,1,1
10010005,1001,Prep for Practice!,3,300001,10010005,1,2,3130,3634,3236,01001_0005_00,01001_0005_01,1,,,1,0,0,1,1
10010006,1001,Let's Sing Together,1,100001,10010006,1,2,3600,3113,3287,01001_0006_00,01001_0006_01,1,,,1,0,0,1,1
10010007,1001,Goodnight Smiles,2,200001,10010007,1,2,3224,3035,3741,01001_0007_00,01001_0007_01,1,,,1,0,0,1,1
10010008,1001,Out and About Smiles,1,100001,10010008,1,2,3720,3337,2943,01001_0008_00,01001_0008_01,1,,,1,0,0,1,1
10010009,1001,Prepare to Be Smashed,3,300001,10010009,1,2,2992,4077,2931,01001_0009_00,01001_0009_01,1,,,1,0,0,1,1
10010010,1001,Ear-to-Ear Smiles!,1,100002,10010010,2,3,4599,3417,3484,01001_0010_00,01001_0010_01,2,b_card_0001,b_card_0074,1,0,0,1,1
10010011,1001,Hearts Aflame,2,200002,10010011,2,3,3344,3471,4685,01001_0011_00,01001_0011_01,2,b_adv_0022,b_card_0031,1,0,0,1,1
10010012,1001,I'll Eat You Up!,3,300002,10010012,2,3,3665,4185,3650,01001_0012_00,01001_0012_01,2,b_card_0002,b_card_0039,1,0,0,1,1
10010013,1001,Blossoms in Bloom,1,100005,10010013,3,4,4769,3962,4269,01001_0013_00,01001_0013_01,3,,,1,10010013,0,1,1
10010014,1001,Rice Fruit?!,3,300003,10010014,3,4,4263,4693,4044,01001_0014_00,01001_0014_01,3,,,4,0,2051,1,1
10020001,1002,Quarter,1,100001,10020001,1,2,3867,3108,3025,01002_0001_00,01002_0001_01,1,,,1,0,0,1,1
10020002,1002,Clearheaded,2,200001,10020002,1,2,3196,2943,3861,01002_0002_00,01002_0002_01,1,,,1,0,0,1,1
10020003,1002,Universally Popular,3,300001,10020003,1,2,2962,3805,3233,01002_0003_00,01002_0003_01,1,,,1,0,0,1,1
10020004,1002,Exceptional Athlete,2,200001,10020004,1,2,3166,2807,4027,01002_0004_00,01002_0004_01,1,,,1,0,0,1,1
10020005,1002,Sense of Duty,3,300001,10020005,1,2,3063,3608,3329,01002_0005_00,01002_0005_01,1,,,1,0,0,1,1
10020006,1002,Student Council Prez,1,100001,10020006,1,2,3926,2840,3234,01002_0006_00,01002_0006_01,1,,,1,0,0,1,1
10020007,1002,Before Falling Asleep,2,200001,10020007,1,2,3083,3008,3909,01002_0007_00,01002_0007_01,1,,,1,0,0,1,1
10020008,1002,I'm Going Out!,1,100001,10020008,1,2,4015,2866,3119,01002_0008_00,01002_0008_01,1,,,1,0,0,1,1
10020009,1002,Let's Be Supportive!,3,300001,10020009,1,2,3195,4009,2796,01002_0009_00,01002_0009_01,1,,,1,0,0,1,1
10020010,1002,Harasho!,1,100002,10020010,2,3,4487,3621,3392,01002_0010_00,01002_0010_01,2,b_card_0001,b_card_0074,1,0,0,1,1
10020011,1002,Eli's Confessional,2,200002,10020011,2,3,3783,3385,4332,01002_0011_00,01002_0011_01,2,b_card_0008,b_card_0033,1,0,0,1,1
10020012,1002,Sun Shower,3,300002,10020012,2,3,3656,4281,3563,01002_0012_00,01002_0012_01,2,b_card_0011,b_card_0039,1,0,0,1,1
10020013,1002,Evening Student Council Room,3,300004,10020013,3,4,3954,5270,3776,01002_0013_00,01002_0013_01,3,,,1,10020013,0,1,1
10020014,1002,Arisa's Prank?,2,200003,10020014,3,4,3958,4091,4951,01002_0014_00,01002_0014_01,3,,,4,0,1987,1,1
10030001,1003,Soft and Gentle,1,100001,10030001,1,2,3940,2872,3188,01003_0001_00,01003_0001_01,1,,,1,0,0,1,1
10030002,1003,Actually a Maid,2,200001,10030002,1,2,2938,3073,3989,01003_0002_00,01003_0002_01,1,,,1,0,0,1,1
10030003,1003,Come Play with Kotori!,3,300001,10030003,1,2,3202,3717,3081,01003_0003_00,01003_0003_01,1,,,1,0,0,1,1
10030004,1003,I'm Ready to Roll!,2,200001,10030004,1,2,3200,3042,3758,01003_0004_00,01003_0004_01,1,,,1,0,0,1,1
10030005,1003,Here Goes!,3,300001,10030005,1,2,3209,3635,3156,01003_0005_00,01003_0005_01,1,,,1,0,0,1,1
10030006,1003,Heart Sign,1,100001,10030006,1,2,3764,2937,3299,01003_0006_00,01003_0006_01,1,,,1,0,0,1,1
10030007,1003,Sleepy Time,2,200001,10030007,1,2,2987,2914,4099,01003_0007_00,01003_0007_01,1,,,1,0,0,1,1
