_masterCardId,_index,_getCategory,_value,_masterReleaseLabelId
10010013,1,1,1110001,1
10020013,1,1,1110001,1
10030013,1,1,1110001,1
10040013,1,1,1110001,1
10050013,1,1,1110001,1
10060013,1,1,1110001,1
10070013,1,1,1110001,1
10080013,1,1,1110001,1
10090013,1,1,1110001,1
20010011,1,1,1110001,1
20020011,1,1,1110001,1
20030011,1,1,1110001,1
20040011,1,1,1110001,1
20050011,1,1,1110001,1
20060011,1,1,1110001,1
20070011,1,1,1110001,1
20080011,1,1,1110001,1
20090011,1,1,1110001,1
30010007,1,1,1110001,1
30020007,1,1,1110001,1
30030007,1,1,1110001,1
30040007,1,1,1110001,1
30050007,1,1,1110001,1
30060007,1,1,1110001,1
30070007,1,1,1110001,1
30080007,1,1,1110001,1
30090007,1,1,1110001,1
30100007,1,1,1110001,1
30110007,1,1,1110001,1
30120007,1,1,1110001,1
40010007,1,1,1110001,1
40020007,1,1,1110001,1
40030007,1,1,1110001,1
40040007,1,1,1110001,1
40050007,1,1,1110001,1
40060007,1,1,1110001,1
40070007,1,1,1110001,1
40080007,1,1,1110001,1
40090007,1,1,1110001,1
10010010,1,1,1110001,1
10010011,1,1,1110001,1
10010012,1,1,1110001,1
10020010,1,1,1110001,1
10020011,1,1,1110001,1
10020012,1,1,1110001,1
10030010,1,1,1110001,1
10030011,1,1,1110001,1
10030012,1,1,1110001,1
10040010,1,1,1110001,1
10040011,1,1,1110001,1
10040012,1,1,1110001,1
10050010,1,1,1110001,1
10050011,1,1,1110001,1
10050012,1,1,1110001,1
10060010,1,1,1110001,1
10060011,1,1,1110001,1
10060012,1,1,1110001,1
10070010,1,1,1110001,1
10070011,1,1,1110001,1
10070012,1,1,1110001,1
10080010,1,1,1110001,1
10080011,1,1,1110001,1
10080012,1,1,1110001,1
10090010,1,1,1110001,1
10090011,1,1,1110001,1
10090012,1,1,1110001,1
20010008,1,1,1110001,1
20010009,1,1,1110001,1
20010010,1,1,1110001,1
20020008,1,1,1110001,1
20020009,1,1,1110001,1
20020010,1,1,1110001,1
20030008,1,1,1110001,1
20030009,1,1,1110001,1
20030010,1,1,1110001,1
20040008,1,1,1110001,1
20040009,1,1,1110001,1
20040010,1,1,1110001,1
20050008,1,1,1110001,1
20050009,1,1,1110001,1
20050010,1,1,1110001,1
20060008,1,1,1110001,1
20060009,1,1,1110001,1
20060010,1,1,1110001,1
20070008,1,1,1110001,1
20070009,1,1,1110001,1
20070010,1,1,1110001,1
20080008,1,1,1110001,1
20080009,1,1,1110001,1
20080010,1,1,1110001,1
20090008,1,1,1110001,1
20090009,1,1,1110001,1
20090010,1,1,1110001,1
30010004,1,1,1110001,1
30010005,1,1,1110001,1
30010006,1,1,1110001,1
30020004,1,1,1110001,1
30020005,1,1,1110001,1
30020006,1,1,1110001,1
30030004,1,1,1110001,1
30030005,1,1,1110001,1
30030006,1,1,1110001,1
