_id,_level,_exp,_hpRatio,_smileRatio,_pureRatio,_coolRatio,_masterReleaseLabelId
1,1,0,10000,7830,7830,7830,1
1,2,100,10000,7860,7860,7860,1
1,3,300,10000,7890,7890,7890,1
1,4,600,10000,7920,7920,7920,1
1,5,1025,10000,7950,7950,7950,1
1,6,1454,10000,7980,7980,7980,1
1,7,1889,10000,8010,8010,8010,1
1,8,2332,10000,8040,8040,8040,1
1,9,2787,10000,8070,8070,8070,1
1,10,3254,10000,8100,8100,8100,1
1,11,3739,10000,8130,8130,8130,1
1,12,4244,10000,8160,8160,8160,1
1,13,4773,10000,8190,8190,8190,1
1,14,5330,10000,8220,8220,8220,1
1,15,5920,10000,8250,8250,8250,1
1,16,6549,10000,8280,8280,8280,1
1,17,7220,10000,8310,8310,8310,1
1,18,7939,10000,8340,8340,8340,1
1,19,8714,10000,8370,8370,8370,1
1,20,9548,10000,8400,8400,8400,1
1,21,10450,10000,8430,8430,8430,1
1,22,11426,10000,8460,8460,8460,1
1,23,12484,10000,8490,8490,8490,1
1,24,13630,10000,8520,8520,8520,1
1,25,14873,10000,8550,8550,8550,1
1,26,16221,10000,8580,8580,8580,1
1,27,17683,10000,8610,8610,8610,1
1,28,19267,10000,8640,8640,8640,1
1,29,20983,10000,8670,8670,8670,1
1,30,22840,10000,8700,8700,8700,1
1,31,24848,10000,8730,8730,8730,1
1,32,27018,10000,8760,8760,8760,1
1,33,29359,10000,8790,8790,8790,1
1,34,31884,10000,8820,8820,8820,1
1,35,34603,10000,8850,8850,8850,1
1,36,37528,10000,8880,8880,8880,1
1,37,40670,10000,8910,8910,8910,1
1,38,44043,10000,8940,8940,8940,1
1,39,47658,10000,8970,8970,8970,1
1,40,51528,10000,9000,9000,9000,1
1,41,55668,10000,9050,9050,9050,1
1,42,60089,10000,9100,9100,9100,1
1,43,64807,10000,9150,9150,9150,1
1,44,69836,10000,9200,9200,9200,1
1,45,75190,10000,9250,9250,9250,1
1,46,80884,10000,9300,9300,9300,1
1,47,86934,10000,9350,9350,9350,1
1,48,93355,10000,9400,9400,9400,1
1,49,100163,10000,9450,9450,9450,1
1,50,107374,10000,9500,9500,9500,1
1,51,115005,10000,9550,9550,9550,1
1,52,123073,10000,9600,9600,9600,1
1,53,131596,10000,9650,9650,9650,1
1,54,140590,10000,9700,9700,9700,1
1,55,150074,10000,9750,9750,9750,1
1,56,160067,10000,9800,9800,9800,1
1,57,170586,10000,9850,9850,9850,1
1,58,181651,10000,9900,9900,9900,1
1,59,193282,10000,9950,9950,9950,1
1,60,205497,10000,10000,10000,10000,1
2,1,0,10000,7230,7230,7230,1
2,2,100,10000,7260,7260,7260,1
2,3,300,10000,7290,7290,7290,1
2,4,600,10000,7320,7320,7320,1
2,5,1025,10000,7350,7350,7350,1
2,6,1454,10000,7380,7380,7380,1
2,7,1889,10000,7410,7410,7410,1
2,8,2332,10000,7440,7440,7440,1
2,9,2787,10000,7470,7470,7470,1
2,10,3254,10000,7500,7500,7500,1
2,11,3739,10000,7530,7530,7530,1
2,12,4244,10000,7560,7560,7560,1
2,13,4773,10000,7590,7590,7590,1
2,14,5330,10000,7620,7620,7620,1
2,15,5920,10000,7650,7650,7650,1
2,16,6549,10000,7680,7680,7680,1
2,17,7220,10000,7710,7710,7710,1
2,18,7939,10000,7740,7740,7740,1
2,19,8714,10000,7770,7770,7770,1
2,20,9548,10000,7800,7800,7800,1
2,21,10450,10000,7830,7830,7830,1
2,22,11426,10000,7860,7860,7860,1
2,23,12484,10000,7890,7890,7890,1
2,24,13630,10000,7920,7920,7920,1
2,25,14873,10000,7950,7950,7950,1
2,26,16221,10000,7980,7980,7980,1
2,27,17683,10000,8010,8010,8010,1
2,28,19267,10000,8040,8040,8040,1
2,29,20983,10000,8070,8070,8070,1
2,30,22840,10000,8100,8100,8100,1
2,31,24848,10000,8130,8130,8130,1
2,32,27018,10000,8160,8160,8160,1
2,33,29359,10000,8190,8190,8190,1
2,34,31884,10000,8220,8220,8220,1
2,35,34603,10000,8250,8250,8250,1
2,36,37528,10000,8280,8280,8280,1
2,37,40670,10000,8310,8310,8310,1
2,38,44043,10000,8340,8340,8340,1
2,39,47658,10000,8370,8370,8370,1
2,40,51528,10000,8400,8400,8400,1
2,41,55668,10000,8430,8430,8430,1
2,42,60089,10000,8460,8460,8460,1
2,43,64807,10000,8490,8490,8490,1
2,44,69836,10000,8520,8520,8520,1
2,45,75190,10000,8550,8550,8550,1
2,46,80884,10000,8580,8580,8580,1
2,47,86934,10000,8610,8610,8610,1
2,48,93355,10000,8640,8640,8640,1
2,49,100163,10000,8670,8670,8670,1
2,50,107374,10000,8700,8700,8700,1
2,51,115005,10000,8730,8730,8730,1
2,52,123073,10000,8760,8760,8760,1
2,53,131596,10000,8790,8790,8790,1
2,54,140590,10000,8820,8820,8820,1
2,55,150074,10000,8850,8850,8850,1
2,56,160067,10000,8880,8880,8880,1
2,57,170586,10000,8910,8910,8910,1
2,58,181651,10000,8940,8940,8940,1
2,59,193282,10000,8970,8970,8970,1
2,60,205497,10000,9000,9000,9000,1
2,61,218317,10000,9050,9050,9050,1
2,62,231762,10000,9100,9100,9100,1
2,63,245853,10000,9150,9150,9150,1
2,64,260610,10000,9200,9200,9200,1
2,65,276056,10000,9250,9250,9250,1
2,66,292212,10000,9300,9300,9300,1
2,67,309099,10000,9350,9350,9350,1
2,68,326740,10000,9400,9400,9400,1
2,69,345159,10000,9450,9450,9450,1
2,70,364377,10000,9500,9500,9500,1
2,71,384418,10000,9550,9550,9550,1
2,72,405307,10000,9600,9600,9600,1
2,73,427066,10000,9650,9650,9650,1
2,74,449720,10000,9700,9700,9700,1
2,75,473295,10000,9750,9750,9750,1
2,76,497814,10000,9800,9800,9800,1
2,77,523304,10000,9850,9850,9850,1
2,78,549790,10000,9900,9900,9900,1
2,79,577298,10000,9950,9950,9950,1
2,80,605854,10000,10000,10000,10000,1
3,1,0,10000,6630,6630,6630,1
3,2,100,10000,6660,6660,6660,1
3,3,300,10000,6690,6690,6690,1
3,4,600,10000,6720,6720,6720,1
3,5,1025,10000,6750,6750,6750,1
3,6,1454,10000,6780,6780,6780,1
3,7,1889,10000,6810,6810,6810,1
3,8,2332,10000,6840,6840,6840,1
3,9,2787,10000,6870,6870,6870,1
3,10,3254,10000,6900,6900,6900,1
3,11,3739,10000,6930,6930,6930,1
3,12,4244,10000,6960,6960,6960,1
3,13,4773,10000,6990,6990,6990,1
3,14,5330,10000,7020,7020,7020,1
3,15,5920,10000,7050,7050,7050,1
3,16,6549,10000,7080,7080,7080,1
3,17,7220,10000,7110,7110,7110,1
3,18,7939,10000,7140,7140,7140,1
3,19,8714,10000,7170,7170,7170,1
3,20,9548,10000,7200,7200,7200,1
3,21,10450,10000,7230,7230,7230,1
3,22,11426,10000,7260,7260,7260,1
3,23,12484,10000,7290,7290,7290,1
3,24,13630,10000,7320,7320,7320,1
3,25,14873,10000,7350,7350,7350,1
3,26,16221,10000,7380,7380,7380,1
3,27,17683,10000,7410,7410,7410,1
3,28,19267,10000,7440,7440,7440,1
3,29,20983,10000,7470,7470,7470,1
3,30,22840,10000,7500,7500,7500,1
3,31,24848,10000,7530,7530,7530,1
3,32,27018,10000,7560,7560,7560,1
3,33,29359,10000,7590,7590,7590,1
3,34,31884,10000,7620,7620,7620,1
3,35,34603,10000,7650,7650,7650,1
3,36,37528,10000,7680,7680,7680,1
3,37,40670,10000,7710,7710,7710,1
3,38,44043,10000,7740,7740,7740,1
3,39,47658,10000,7770,7770,7770,1
3,40,51528,10000,7800,7800,7800,1
3,41,55668,10000,7830,7830,7830,1
3,42,60089,10000,7860,7860,7860,1
3,43,64807,10000,7890,7890,7890,1
3,44,69836,10000,7920,7920,7920,1
3,45,75190,10000,7950,7950,7950,1
3,46,80884,10000,7980,7980,7980,1
3,47,86934,10000,8010,8010,8010,1
3,48,93355,10000,8040,8040,8040,1
3,49,100163,10000,8070,8070,8070,1
3,50,107374,10000,8100,8100,8100,1
3,51,115005,10000,8130,8130,8130,1
3,52,123073,10000,8160,8160,8160,1
3,53,131596,10000,8190,8190,8190,1
3,54,140590,10000,8220,8220,8220,1
3,55,150074,10000,8250,8250,8250,1
3,56,160067,10000,8280,8280,8280,1
3,57,170586,10000,8310,8310,8310,1
3,58,181651,10000,8340,8340,8340,1
3,59,193282,10000,8370,8370,8370,1
3,60,205497,10000,8400,8400,8400,1
3,61,218317,10000,8430,8430,8430,1
3,62,231762,10000,8460,8460,8460,1
3,63,245853,10000,8490,8490,8490,1
3,64,260610,10000,8520,8520,8520,1
3,65,276056,10000,8550,8550,8550,1
3,66,292212,10000,8580,8580,8580,1
3,67,309099,10000,8610,8610,8610,1
3,68,326740,10000,8640,8640,8640,1
3,69,345159,10000,8670,8670,8670,1
3,70,364377,10000,8700,8700,8700,1
3,71,384418,10000,8730,8730,8730,1
3,72,405307,10000,8760,8760,8760,1
3,73,427066,10000,8790,8790,8790,1
3,74,449720,10000,8820,8820,8820,1
3,75,473295,10000,8850,8850,8850,1
3,76,497814,10000,8880,8880,8880,1
3,77,523304,10000,8910,8910,8910,1
3,78,549790,10000,8940,8940,8940,1
3,79,577298,10000,8970,8970,8970,1
3,80,605854,10000,9000,9000,9000,1
3,81,635486,10000,9050,9050,9050,1
3,82,666220,10000,9100,9100,9100,1
3,83,698083,10000,9150,9150,9150,1
3,84,731104,10000,9200,9200,9200,1
3,85,765311,10000,9250,9250,9250,1
3,86,800731,10000,9300,9300,9300,1
3,87,837393,10000,9350,9350,9350,1
3,88,875328,10000,9400,9400,9400,1
3,89,914563,10000,9450,9450,9450,1
3,90,955129,10000,9500,9500,9500,1
3,91,997056,10000,9550,9550,9550,1
3,92,1040374,10000,9600,9600,9600,1
3,93,1085113,10000,9650,9650,9650,1
3,94,1131306,10000,9700,9700,9700,1
3,95,1178984,10000,9750,9750,9750,1
3,96,1228177,10000,9800,9800,9800,1
3,97,1278919,10000,9850,9850,9850,1
3,98,1331242,10000,9900,9900,9900,1
3,99,1385178,10000,9950,9950,9950,1
3,100,1440761,10000,10000,10000,10000,1
