_id,_num,_masterVoiceId,_systemVoiceType,_value,_textJa,_textEn,_masterReleaseLabelId
10010013,1,51010131,52,0,"Both of you, look at this!<br>The cherry blossom is sooo pretty!",test,1
10010013,2,51010132,53,0,"Ready, set!<br>Go for it!",test,1
10020013,1,51020131,52,0,Oh? It's already this late…<br>Nozomi is gonna scold me,test,1
10020013,2,51020132,53,0,Let me hear an even louder cheer!,test,1
10030013,1,51030131,52,0,"Please come and play, master♪",test,1
10030013,2,51030132,53,0,I'm gonna make my snack-!,test,1
10040013,1,51040131,52,0,Controlling the Spirit…<br>Concentrate on the bow…,test,1
10040013,2,51040132,53,0,I'll aim for everyone's heart-!<br>Love Arrow Shoot!,test,1
10050013,1,51050131,52,0,"The rain fiiinally cleared up, meow!<br>Let's hurry and practice, meow♪",test,1
10050013,2,51050132,53,0,All together now~!<br>Meow-meow-meow~!,test,1
10060013,1,51060131,52,0,"Hey, hey!<br>Don't take pictures so suddenly!",test,1
10060013,2,51060132,53,0,"Everyone!<br>You're having a good time,<br>aren't you?",test,1
10070013,1,51070131,52,0,The sun is in a good mood today~,test,1
10070013,2,51070132,53,0,Over there!<br>I'll share my<br>spiritual power with you♪,test,1
10080013,1,51080131,52,0,I'm really glad I mustered up<br>the courage back then…,test,1
10080013,2,51080132,53,0,Everyone~!<br>Are you enjoying<br>our live show?,test,1
10090013,1,51090131,52,0,Idols should always<br>be aware that they're being<br>watched! Got it?!,test,1
10090013,2,51090132,53,0,"All together now, everyone~,<br>Nico-Nico-Ni~!",test,1
20010011,1,52010111,52,0,"Hee, hee, hee.<br>The sea of Uchiura is<br>really pretty, isn't it♪",test,1
20010011,2,52010112,53,0,"Every-one, Hello-Chika-! Let's all get<br>fired up today♪",test,1
20020011,1,52020111,52,0,Chika and You… Singing<br>with the two of them is so fun and<br>I love it!,test,1
20020011,2,52020112,53,0,I'll hit everyone with Aqours'<br>passionate feelings!<br>Riko Beam!,test,1
20030011,1,52030111,52,0,To be able to see this scenery<br>everyday... What a luxury!,test,1
20030011,2,52030112,53,0,"Everyone, are you having a great<br>time! Let's hug♪",test,1
20040011,1,52040111,52,0,"Ruby, it's morning-! Good Grief,<br>I can't wake you up when I see<br>your pleasant face…",test,1
20040011,2,52040112,53,0,"Everyone! If you don't keep up with<br>us closely, that's a buu, buu!",test,1
20050011,1,52050111,52,0,Score-!<br>I've best my personal record!,test,1
20050011,2,52050112,53,0,Full speed ahead~ Yosoro!<br>Followed by~ Bow!,test,1
20060011,1,52060111,52,0,I will gather the power of darkness<br>into this hand... Behold the power of<br>the fallen angel!,test,1
20060011,2,52060112,53,0,"Mwahaha…<br>Fallen angel Yohane, descending ☆ !!",test,1
20070011,1,52070111,52,0,"*Yawwwwn....* The Sun's so nice and<br>warm, it's making me sleepy, zura......",test,1
20070011,2,52070112,53,0,"Everyone - ! Let's go, zura-!<br>Ohana~? Maru-!!",test,1
20080011,1,52080111,52,0,"There are so many superb views in<br>this world, but the landscape at<br>Awashima is special♪",test,1
20080011,2,52080112,53,0,"Eveeeryone, Shiny- ♪<br>and... Lock-on!",test,1
20090011,1,52090111,52,0,"Urn.... *Yaaawwwwn*... mmhm...<br>Morning, Dia.",test,1
20090011,2,52090112,53,0,Everyone with me~... Ganbaruby♡,test,1
30010007,1,53010071,52,0,Morning! Let's do our best today too!,test,1
30010007,2,53010072,53,0,"I'll deliver a big voice that the whole<br>universe can hear, please listen to it!",test,1
30020007,1,53020071,52,0,"Yu Senpai♪ Here, Say, Aa~h♡",test,1
30020007,2,53020072,53,0,"It's Kasumin, everyone's princess♪",test,1
30030007,1,53030071,52,0,Do not be afraid!<br>I am... By your side!,test,1
30030007,2,53030072,53,0,Please look at the real me!,test,1
30040007,1,53040071,52,0,Shall I twist my hips a little bit more<br>in this pose?,test,1
30040007,2,53040072,53,0,Today's target is gonna be y-o-u!,test,1
30050007,1,53050071,52,0,I'mma break through this fence by<br>going on the OFFENSIVE! ――<br>Just kidding!!,test,1
30050007,2,53050072,53,0,Let's all get high with friends through<br>HIGH fives♪<br>Just Kidding♪,test,1
30060007,1,53060071,52,0,"Haruka-chan,<br>have as much as you want~♪",test,1
30060007,2,53060072,53,0,"I had a great dream today, too~",test,1
30070007,1,53070071,52,0,The battle scenes of the Princess of<br>the Crimson Sword never fail to put<br>me in breathless suspense!,test,1
30070007,2,53070072,53,0,Setsuna☆Scarlet Storm!!,test,1
30080007,1,53080071,52,0,Eek!? What energetic fishes♪<br>Hello~!,test,1
30080007,2,53080072,53,0,"Negative Ion, Release~!",test,1
30090007,1,53090071,52,0,… Shall we play together?,test,1
30090007,2,53090072,53,0,Rina-chan board: Ehehehe,test,1
30100007,1,53100071,52,0,I have to work hard to not lose to<br>anyone!,test,1
30100007,2,53100072,53,0,I will deliver a fun live show befitting<br>of your enjoyment with everything<br>I have!,test,1
30110007,1,53110071,52,0,Wanna hear the song I've just<br>finished composing? It's very cool!,test,1
30110007,2,53110072,53,0,"Excellent! Great performance,<br>little baby!",test,1
30120007,1,53120071,52,0,Everyone's amazing! But Lanzhu's<br>performance is of course the best♪,test,1
30120007,2,53120072,53,0,"Let me introduce you to Lanzhu's<br>friend! Yes, it's you!",test,1
40010007,1,54010071,52,0,Let's all sing together!<br>Ready~? Let's go!,test,1
40010007,2,54010072,53,0,Please enjoy Liella!'s<br>performance as much as<br>you can today~!,test,1
40020007,1,54020071,52,0,"Heheh,<br>I'll show you how masterful<br>my handiwork is!",test,1
40020007,2,54020072,53,0,Are you enjoying<br>Liella!'s live show~!?,test,1
40030007,1,54030071,52,0,"1, 2, 3, 4... Jump!!",test,1
40030007,2,54030072,53,0,Hey~!<br>Make sure to enjoy<br>Liella!'s live show today!,test,1
40040007,1,54040071,52,0,You're still looking around!?<br>...Take a look at all these bags and<br>say that again!,test,1
40040007,2,54040072,53,0,"I'm gonna do it, so let's do it, okay?<br>Galaxy~~~~!!",test,1
40050007,1,54050071,52,0,"Mother, Yuigaoka's cherry blossoms <br>are blooming in their full, <br>splendid glory.",test,1
40050007,2,54050072,53,0,"Everyone, <br>Liella! will send you so many <br>wonderful songs today!",test,1
40060007,1,54060071,52,0,It's so much fun to be<br>with Kanon-senpai~!<br>I'm so moved~!,test,1
40060007,2,54060072,53,0,Being able to sing on such<br>a big stage<br>is like a dream!,test,1
40070007,1,54070071,52,0,"Yes, yes, yes, yes!<br>There we go, there we go!!<br>I got Kanon-senpai~~~!!",test,1
40070007,2,54070072,53,0,"Cheer for us, everyone~!",test,1
40080007,1,54080071,52,0,"Those school idols are cute,<br>but Mei is cuter.",test,1
40080007,2,54080072,53,0,"Forget about me, look at Mei.<br>She's so cute.",test,1
40090007,1,54090071,52,0,"Today Liella! is training stylishly in<br>Harajuku♪<br>I'll snap shots of our senpais on<br>break, yes~!",test,1
40090007,2,54090072,53,0,"I'll give it my all again today, yes!<br>ONINUTS~!!",test,1
10010015,2,51010152,53,0,Everyone -! Let's get heated up at this<br>live show together with µ's!,test,1
20010013,2,52010132,53,0,I can feel everyone's burning<br>excitement! I'll make Aqours even<br>mooore special in today's live show!,test,1
