_id,_name,_nameRuby,_detailText,_category,_schoolGrade,_charaCategory,_masterGroupId,_spriteName,_displayOrder,_height,_bloodType,_birsday,_voiceActor,_imageColor,_imageColorDark,_nameRichtextGacha,_masterReleaseLabelId
1001,Honoka Kosaka,Honoka Kosaka,The founder of μ's. Honoka always has a smile on her face and a spring in her step. Her unshakably positive outlook carries her through any hardships she may face.,1,2,1,101,1001,1001,157 cm,O,Aug 3,Emi Nitta,FF9210,FF9210,<size=100>H<size=80>onoka<size=100>K<size=80>osaka,1
1002,Eli Ayase,Eli Ayase,"Eli is one-quarter Russian. She's an intelligent, athletic, naturally gifted girl who quickly masters anything she puts her mind to. Her strong sense of responsibility and popularity at school make Eli a natural fit as student council president.",1,3,1,103,1002,1002,162 cm,B,Oct 21,Yoshino Nanjo,47C3FB,47C3FB,<size=100>E<size=80>li<size=100>A<size=80>yase,1
1003,Kotori Minami,Kotori Minami,"Kotori is a gentle, laid-back girl and also an excellent student. Though she has an easygoing personality, Kotori has a strong backbone and never lets herself be intimidated. She and Honoka are best friends.",1,2,1,101,1003,1003,159 cm,O,Sep 12,Aya Uchida,BAB3B3,BAB3B3,<size=100>K<size=80>otori<size=100>M<size=80>inami,1
1004,Umi Sonoda,Umi Sonoda,"An elegant young lady with impeccable manners. Umi has practiced archery since she was a young girl. She detests wrongdoing and laziness. Umi, Honoka, and Kotori have been friends since they were little.",1,2,1,102,1004,1004,159 cm,A,Mar 15,Suzuko Mimori,226BF1,226BF1,<size=100>U<size=80>mi<size=100>S<size=80>onoda,1
1005,Rin Hoshizora,Rin Hoshizora,"Rin is a cheerful and athletic girl who's more the type to get up and get a move on rather than sit around worrying about things. She's caring and always looks out for Hanayo, her childhood friend.",1,1,1,102,1005,1005,155 cm,A,Nov 1,Riho Iida,FCD500,CEAE00,<size=100>R<size=80>in<size=100>H<size=80>oshizora,1
1006,Maki Nishikino,Maki Nishikino,"Maki is prideful, a bit overbearing, and struggles to show her true feelings. She's not afraid to stand up for herself or others, even when dealing with older students. Despite her tough exterior, she sometimes feels a bit lonely.",1,1,1,103,1006,1006,161 cm,AB,Apr 19,Pile,F14747,F14747,<size=100>M<size=80>aki<size=100>N<size=80>ishikino,1
1007,Nozomi Tojo,Nozomi Tojo,"A free spirit, her Kansai dialect gives her a somewhat unique way of speaking. Nozomi is quite easygoing but often comes across as the most mature member of μ's.",1,3,1,102,1007,1007,159 cm,O,June 9,Aina Kusuda,C355E8,C355E8,<size=100>N<size=80>ozomi<size=100>T<size=80>ojo,1
1008,Hanayo Koizumi,Hanayo Koizumi,Hanayo is a quiet girl who rarely stands out in class. She lacks self-confidence and tends to give up easily. White rice is Hanayo's favorite food.,1,1,1,101,1008,1008,156 cm,B,Jan 17,Yurika Kubo,44CF72,44CF72,<size=100>H<size=80>anayo<size=100>K<size=80>oizumi,1
1009,Nico Yazawa,Nico Yazawa,"Nico is a true-blue idol fanatic who strives morning, noon, and night to become a full-fledged idol herself. Her catchphrase is ""Nico-Nico-Ni!""",1,3,1,103,1009,1009,154 cm,A,Jul 22,Sora Tokui,FF548F,FF548F,<size=100>N<size=80>ico<size=100>Y<size=80>azawa,1
2001,Chika Takami,Chika Takami,"The founder of Aqours. Chika is cheerful and friendly, but also extremely competitive. Her bold personality tends to get her and her friends wrapped up in all sorts of interesting situations.",2,2,1,201,2001,2001,157 cm,B,Aug 1,Anju Inami,FF700F,FF700F,<size=100>C<size=80>hika<size=100>T<size=80>akami,1
2002,Riko Sakurauchi,Riko Sakurauchi,"At first glance, Riko seems like a calm, cool, and collected young lady. However, she gets flustered easily and is prone to misreading situations.",2,2,1,203,2002,2002,160 cm,A,Sep 19,Rikako Aida,FB697E,FB697E,<size=100>R<size=80>iko<size=100>S<size=80>akurauchi,1
2003,Kanan Matsuura,Kanan Matsuura,"Kanan is a frank, mature girl who doesn't sweat the small stuff. She's calm under pressure and always has a cool, collected air about her.",2,3,1,202,2003,2003,162 cm,O,Feb 10,Nanaka Suwa,02D09D,02D09D,<size=100>K<size=80>anan<size=100>M<size=80>atsuura,1
2004,Dia Kurosawa,Dia Kurosawa,"Dia is the daughter of a well-known fishing family. She's also the student council president. A perfectionist and proud of it, Dia doesn't abide by half-hearted efforts or slipshod results.",2,3,1,202,2004,2004,162 cm,A,Jan 1,Arisa Komiya,E0083B,E0083B,<size=100>D<size=80>ia<size=100>K<size=80>urosawa,1
2005,You Watanabe,You Watanabe,"You's first instinct is always to act first and ask questions later. Her father is the captain of a ferryboat, and she hopes to follow in his footsteps and captain her own boat someday.",2,2,1,201,2005,2005,157 cm,AB,Apr 17,Shuka Saito,07B0E8,07B0E8,<size=100>Y<size=80>ou<size=100>W<size=80>atanabe,1
2006,Yoshiko Tsushima,Yoshiko Tsushima,"Perpetually garbed in devilish attire, Yoshiko refers to herself as ""Yohane, the Fallen Angel."" Her hometown is Numazu City. She's peppy and brash, but also smart and witty. Unfortunately, Yoshiko has very bad luck and trouble seems to follow her.",2,1,1,203,2006,2006,156 cm,O,Jul 13,Aika Kobayashi,A9ACB2,A9ACB2,<size=100>Y<size=80>oshiko<size=100>T<size=80>sushima,1
2007,Hanamaru Kunikida,Hanamaru Kunikida,A bookworm with an affinity for Japanese literature. Hanamaru is a gifted singer and performs in a choir. She's an astute girl who's attentive and considerate of others.,2,1,1,202,2007,2007,152 cm,O,Mar 4,Kanako Takatsuki,FFC000,FFC000,<size=100>H<size=80>anamaru<size=100>K<size=80>unikida,1
2008,Mari Ohara,Mari Ohara,"Mari is motivated, and energetic, and often acts independently. She is fearless and never backs down from a challenge. Her father is Italian-American and runs a world-class hotel chain.",2,3,1,203,2008,2008,163 cm,AB,Jun 13,Aina Suzuki,A132D9,A132D9,<size=100>M<size=80>ari<size=100>O<size=80>hara,1
2009,Ruby Kurosawa,Ruby Kurosawa,"Though timid and somewhat of a crybaby, Ruby is the daughter of a prestigious family, which has imbued her with strong core values. She has always admired idols. Ruby's one major point of pride is her skill with a needle and thread.",2,1,1,201,2009,2009,154 cm,A,Sep 21,Ai Furihata,F143B4,F143B4,<size=100>R<size=80>uby<size=100>K<size=80>urosawa,1
3001,Ayumu Uehara,Ayumu Uehara,Ayumu is diligent and hardworking. A certain event from her past set her on the path to becoming a school idol.,3,2,1,302,3001,3001,159 cm,A,Mar 1,Aguri Onishi,F48099,F48099,<size=100>A<size=80>yumu<size=100>U<size=80>ehara,1
3002,Kasumi Nakasu,Kasumi Nakasu,"Lover of all things cute, Kasumi adores school idols more than just about anyone. She's fiercely competitive, and gets angry when people call her by the nickname ""Kasukasu.""",3,1,1,303,3002,3002,155 cm,B,Jan 23,Mayu Sagara,EDDC00,D5C500,<size=100>K<size=80>asumi<size=100>N<size=80>akasu,1
3003,Shizuku Osaka,Shizuku Osaka,"Highly responsible, Shizuku maintains her excellent grades despite being a member of both the drama club and the school idol club.",3,1,1,302,3003,3003,157 cm,A,Apr 3,Kaori Maeda,2CAED5,2CAED5,<size=100>S<size=80>hizuku<size=100>O<size=80>saka,1
3004,Karin Asaka,Karin Asaka,"A magazine model in her free time, Karin appears much older and more mature than a typical high schooler. Though she may look and often act like an adult, there's a surprisingly innocent side to her personality too.",3,3,1,301,3004,3004,167 cm,AB,Jun 29,Miyu Kubota,4A62D2,4A62D2,<size=100>K<size=80>arin<size=100>A<size=80>saka,1
