_characterId,_groupId,_masterReleaseLabelId
1001,100,1
1001,101,1
1002,100,1
1002,103,1
1003,100,1
1003,101,1
1004,100,1
1004,102,1
1005,100,1
1005,102,1
1006,100,1
1006,103,1
1007,100,1
1007,102,1
1008,100,1
1008,101,1
1009,100,1
1009,103,1
2001,200,1
2001,201,1
2002,200,1
2002,203,1
2003,200,1
2003,202,1
2004,200,1
2004,202,1
2005,200,1
2005,201,1
2006,200,1
2006,203,1
2007,200,1
2007,202,1
2008,200,1
2008,203,1
2009,200,1
2009,201,1
3001,300,1
3001,302,1
3002,300,1
3002,303,1
3003,300,1
3003,302,1
3004,300,1
3004,301,1
3005,300,1
3005,301,1
3006,300,1
3006,303,1
3007,300,1
3007,302,1
3008,300,1
3008,303,1
3009,300,1
3009,303,1
3010,300,1
3010,304,1
3011,300,1
3011,304,1
3012,300,1
3012,304,1
4001,400,1
4002,400,1
4003,400,1
4004,400,1
4005,400,1
4006,400,1
4007,400,1
4008,400,1
4009,400,1
4001,403,223101004
4002,404,223101004
4003,405,223101004
4004,403,223101004
4005,404,223101004
4006,405,223101004
4007,403,223101004
4008,405,223101004
4009,405,223101004
4010,400,223121502
4010,404,223121502
4011,400,223121502
4011,405,223121502
6001,9901,223121403
6001,9999,223121403
6002,9901,223121403
6002,9999,223121403
6003,9901,223121403
6003,9999,223121403
6004,9901,223121403
6004,9999,223121403
6005,9901,223121403
6005,9999,223121403
6006,9901,223121403
6006,9999,223121403
6007,9901,223121403
6007,9999,223121403
6008,9901,223121403
6008,9999,223121403
6009,9901,223121403
6009,9999,223121403
