_id,_num,_masterVoiceId,_masterCharacterId,_systemVoiceType,_value,_textJa,_textEn,_masterReleaseLabelId
1,1,40001001,1001,0,0,My family sells manju out of our house♪ You should come over and check it out sometime!,,1
1,2,40001002,1001,1,0,This outfit's super easy to move in!,,1
1,3,40001003,1001,0,0,"U-Umm, just between you and me... I really don't like bell peppers...",,1
1,4,40001004,1001,1,0,I'll share my heart and soul with everyone♪,,1
1,5,40001005,1001,0,0,"I'm actually pretty lucky, you know? ...But Nozomi might be even luckier...",,1
1,6,40001006,1001,1,0,"Alright, let's keep moving forward!",,1
1,7,40001007,1001,2,0,I hope my smile will be able to reach everyone.,,1
1,8,40001008,1001,3,0,I wanna practice more so that I can become a splendid school idol♪,,1
1,9,40001009,1001,4,0,I wonder what I can do to make all of our fans happy...,,1
1,10,40001010,1001,5,0,"This outfit looks super idol-like! Well, I'm already a school idol, so...",,1
1,11,40001011,1001,6,0,I feel like I've grown a lot as a school idol...and it's all thanks to you♪,,1
1,12,40001012,1001,7,0,I need to stay true to myself. I don't want to end up lying to you.,,1
1,13,40001013,1001,8,0,I've been thinking about you for a while now... How do I properly convey these feelings?,,1
1,14,40001014,1001,9,0,"As long as you're with me, I feel like I can do anything! It's time for me to spread my wings and fly♪",,1
1,15,40001015,1001,10,0,Even though you've done so much for me already...I hope you never leave me...,,1
1,16,40001016,1001,11,0,"Alright, let's do our best out there!",,1
1,17,40001017,1001,12,0,"Alright everyone, let's sing together!",,1
1,18,40001018,1001,13,0,Good work out there!!!,,1
1,19,40001019,1001,14,0,Morning! Let's do our best today!,,1
1,20,40001020,1001,15,0,How are you feeling? Make sure not to push yourself too hard.,,1
1,21,40001021,1001,16,0,"Are you feeling exhausted? Don't worry, I'll give you a massage!",,1
1,22,40001022,1001,17,0,I had a great time today! Good night!,,1
1,23,40001023,1001,19,0,*yawn* Ah...spring always makes me feel sleepy.,,1
1,24,40001024,1001,20,0,"Practicing in the heat can be really hard, huh?",,1
1,25,40001025,1001,21,0,Autumn food is always so delicious.,,1
1,26,40001026,1001,22,0,It's been getting cold lately. Are you making sure to keep warm?,,1
1,27,40001027,1001,18,0,"Don't worry, Honoka will support you!",,1
1,28,40001028,1001,18,0,Did you call?,,1
1,29,40001029,1001,18,0,Is something wrong?,,1
1,30,40001030,1001,18,0,Aah! That tickles!,,1
1,31,40001031,1001,18,0,Wha— What is it?,,1
1,32,40001032,1001,18,0,Eh? What???,,1
1,33,40001033,1001,18,0,"Hey, stop that! Where do you think you're touching?!",,1
1,34,40001034,1001,18,0,"Hey! If you keep doing that, I'm going to be upset with you!",,1
1,35,40001035,1001,18,0,"F-Fine, but only for a little bit, okay...?",,1
1,36,40001036,1001,18,0,"If you keep doing that, I'm going to blush...",,1
1,37,40001037,1001,18,0,"No, no, no! You're not allowed to touch me there!",,1
1,38,40001038,1001,24,0,Let's go watch the next chapter of the story!,,1
1,39,40001039,1001,25,0,Let's keep going until we reach our goals!,,1
1,40,40001040,1001,26,0,Let's do a live show! I'm ready to give it my best!,,1
1,41,40001041,1001,27,0,I really wanna do a live show!,,1
1,42,40001042,1001,28,0,I wanna dance! I'm ready whenever!,,1
1,43,40001043,1001,29,0,Ooh? I think you can keep going! Let's do our best!,,1
1,44,40001044,1001,30,0,Looks like it's time for some special practice!,,1
1,45,40001045,1001,31,0,"Look, a present! Yaay! I wonder what's inside!",,1
1,46,40001046,1001,32,0,Let's do a scout!,,1
1,47,40001047,1001,33,0,Seems like there's some new info! Let's check it out!,,1
1,48,40001048,1001,34,0,"Hey, I heard there's an event going on! Let's participate together!",,1
1,49,40001049,1001,35,0,What kinda story will this one be?,,1
1,50,40001050,1001,36,0,I wonder how my friends are doing.,,1
1,51,40001051,1001,37,0,How are your club members doing?,,1
1,52,40001052,1001,46,0,Welcome! My name's Honoka Kosaka. It's nice to meet you!,,1
1,53,40001053,1001,46,0,Smiling and energetic throughout Japan!,,1
1,54,40001054,1001,46,0,My name's Honoka Kosaka♪,,1
1,55,40001055,1001,47,0,Here I go!,,1
1,56,40001056,1001,48,0,Haa!,,1
1,57,40001057,1001,49,0,Now's my chance!,,1
1,58,40001058,1001,40,0,Here Goes!,,1
1,59,40001059,1001,40,0,I'll Give It My All!,,1
1,60,40001060,1001,40,0,I can do this!,,1
1,61,40001061,1001,38,0,The live show was a success♪,,1
1,62,40001062,1001,38,0,This was all thanks to you♪,,1
1,63,40001063,1001,38,0,This is the fruits of our hard work!,,1
1,64,40001064,1001,38,0,"Alright, what's next?!",,1
1,65,40001065,1001,38,0,That felt amazing♪,,1
1,66,40001066,1001,39,0,We messed up...,,1
1,67,40001067,1001,39,0,How disappointing! But I won't give up!,,1
1,68,40001068,1001,41,0,Amazing!,,1
