_id,_characterId,_group,_name,_masterReleaseLabelId
1001,1001,100,Honoka,1
1002,1002,100,Eli,1
1003,1003,100,Kotori,1
1004,1004,100,Umi,1
1005,1005,100,Rin,1
1006,1006,100,Maki,1
1007,1007,100,Nozomi,1
1008,1008,100,Hanayo,1
1009,1009,100,Nico,1
2001,2001,200,Chika,1
2002,2002,200,Riko,1
2003,2003,200,Kanan,1
2004,2004,200,Dia,1
2005,2005,200,You,1
2006,2006,200,Yoshiko,1
2007,2007,200,Hanamaru,1
2008,2008,200,Mari,1
2009,2009,200,Ruby,1
3001,3001,300,Ayumu,1
3002,3002,300,Kasumi,1
3003,3003,300,Shizuku,1
3004,3004,300,Karin,1
3005,3005,300,Ai,1
3006,3006,300,Kanata,1
3007,3007,300,Setsuna,1
3008,3008,300,Emma,1
3009,3009,300,Rina,1
3010,3010,300,Shioriko,1
3011,3011,300,Mia,1
3012,3012,300,Lanzhu,1
3099,0,300,Yu,1
4001,4001,400,Kanon,1
4002,4002,400,Keke,1
4003,4003,400,Chisato,1
4004,4004,400,Sumire,1
4005,4005,400,Ren,1
4006,4006,400,Kinako,1
4007,4007,400,Mei,1
4008,4008,400,Shiki,1
4009,4009,400,Natsumi,1
4010,0,400,Margarete,223121502
4011,0,400,Tomari,223121502
