_id,_masterChatId,_roomId,_hashTag,_firstLineValue,_iconPath,_appearCharaIdList,_masterReleaseLabelId
1001001,1001,1,Honoka (DM),Honoka: Hey hey!,profile_01001_0000,1001,1
1001002,1001,2,Honoka (Birthday 2023),Honoka is online,profile_01001_0000,1001,123080302
1001003,1001,3,Honoka (Birthday 2023),Honoka: HAPPY BIRTHDAY!,profile_01001_0000,1001,1
1001004,1001,16,Honoka (New Year's 2024),Honoka: Happy New Year!,profile_01001_0000,1001,324010140
1001005,1001,17,Honoka Valentine 2024,"Honoka: Listen, listen..!",profile_01001_0000,1001,324021434
1001007,1001,7,Honoka (April 2023),Eri: Thanks for the Valentine's Day chocolates today!,profile_01001_0000,1001,1
1001008,1001,8,Honoka (May 2023),Kotori: Happy Valentine's Day!,profile_01001_0000,1001,1
1001009,1001,9,Honoka (June 2023),Umi: Thank you for the Valentine's Day chocolates today!,profile_01001_0000,1001,323061304
1001010,1001,10,Honoka (July 2023),Honoka: Summer vacation is finally here!,profile_01001_0000,1001,323072107
1001011,1001,11,Honoka (Summer Vacation 2023),Honoka: Hey heyyy.,profile_01001_0000,1001,323082003
1001012,1001,12,Honoka (September 2023),"Honoka: Hey, got a minute?",profile_01001_0000,1001,323092104
1001013,1001,13,Honoka (Halloween 2023),Honoka: Trick or treat!,profile_01001_0000,1001,323103132
1001014,1001,14,Honoka (November 2023),Honoka: Hey there.,profile_01001_0000,1001,323111603
1001015,1001,15,Honoka (Christmas 2023),Honoka: Merry Christmas!,profile_01001_0000,1001,323122413
1001018,1001,18,Honoka (White Day 2024),Honoka: Today's White Day!,profile_01001_0000,1001,324031435
1002001,1002,1,Eli (DM),Eli is online,profile_01002_0000,1002,1
1002002,1002,2,Eli (Birthday 2023),Eli is online,profile_01002_0000,1002,123102102
1002003,1002,3,Eli (Birthday 2023),Eli: Happy birthday!,profile_01002_0000,1002,1
1002004,1002,16,Eli: (New Year's 2024),Eli: Happy New Year,profile_01002_0000,1002,324010141
1002005,1002,17,Eri Valentine 2024,Eri: Thanks for the Valentine's Day chocolates today!,profile_01002_0000,1002,324021435
1002007,1002,7,Kotori Valentine 2024,Eli is online,profile_01002_0000,1002,1
1002008,1002,8,Umi Valentine 2024,"Eli: Oh, listen to this!",profile_01002_0000,1002,1
1002009,1002,9,Rin Valentine 2024,Eli is online,profile_01002_0000,1002,323060804
1002010,1002,10,Maki Valentine2 024,Eli: It's been really hot lately—are you feeling okay?,profile_01002_0000,1002,323072405
