_id,_value,_masterReleaseLabelId
MIN_STAMINA,0,1
MAX_STAMINA,300,1
EXCESS_STAMINA,999,1
LIMIT_STAMINA,9999,1
STAMINA_RECOVER_VALUE,1,1
STAMINA_RECOVER_TIME,300,1
MIN_GEM,0,1
MAX_GEM,9999999,1
MIN_COIN,0,1
MAX_COIN,999999999,1
MIN_CARD_AMOUNT,0,1
MAX_CARD_AMOUNT,9999999,1
MIN_SEAL,0,1
MAX_SEAL,9999999,1
MIN_ITEM_AMOUNT,0,1
MAX_ITEM_AMOUNT,9999999,1
ONE_MEGA_BYTE_TO_BYTE,1048576,1
DEFAULT_USER_NAME,Tutorial in progress,1
DEFAULT_USER_COMMENT,Lean and Play!,1
DEFAULT_MASTER_TITLE_ID,0,1
ADV_BGM_VOLUME_COEFFICIENT,1,1
ADV_SE_VOLUME_COEFFICIENT,1,1
ADV_VOICE_VOLUME_COEFFICIENT,1,1
MOVIE_HISTORY_NUM,5,1
MOVIE_EXPIRY_DAY,60,1
MOVIE_DELETE_NUM,4,1
TUTORIAL_MIN_LOTTERY_ID,9000000,1
TUTORIAL_GUEST_USER_NAME,A Nice Guest,1
TUTORIAL_GUEST_USER_RANK,10,1
TUTORIAL_GUEST_USER_MASTER_CARD_ID,10010013,1
TUTORIAL_GUEST_USER_CARD_LEVEL,5,1
TUTORIAL_GUEST_USER_COMMENT,Enjoy the first live show!,1
TUTORIAL_GUEST_USER_TITLE_ID,3000001,1
TUTORIAL_MASTER_STORY_PART_ID,11000101,1
TUTORIAL_MASTER_TALK_ID,90000001,1
TUTORIAL_SPEECH_BUBBLE_MISSION_1,1605001,1
TUTORIAL_SPEECH_BUBBLE_MISSION_2,1663001,1
TUTORIAL_SPEECH_BUBBLE_MISSION_3,1614001,1
COMEBACK_LOGIN_BONUS_REQUIRE_DAYS,14,1
BANNER_MOVE_SECOND,5,1
MIN_GIFT,0,1
MAX_GIFT,100000,1
GIFT_EXPIRE_DAY,30,1
MAX_GIFT_HISTORY,30,1
PRESENT_BOX_EXPIRE_NOTIFY_HOUR,24,1
MAX_FRIEND_REQUEST,40,1
MAX_FRIEND_PENDING,40,1
MAX_FRIEND_SEARCH,20,1
SCORE_TOTAL_POWER_COEFFICIENT,3,1
SCORE_DECK_POWER_COEFFICIENT,0.0125,1
SCORE_LEVEL_ADJUST_COEFFICIENT,0.01,1
SCORE_LEVEL_MIN_COEFFICIENT,1,1
LIVESCENE_SKILLNAME_MAX_LENGTH,80,1
LOCAL_P3_SERVICE_END,2024/5/31 6:00:00,224031103
LOCAL_P4_REFUND_START,2024/5/31 6:00:00,224031103
LOCAL_P5_REFUND_END,2024/5/31 6:00:00,224031103
LIVESCENE_SKILLNAME_ELLIPSIS,...,1
HIGH_SCORE_RATE_COEFFICIENT,5000,1
HIGH_SCORE_RATE_LIST_MAX,10,1
MIN_MUSIC_LEVEL_NUMBER,5,1
LIVE_CONTINUE_USE_GEM,100,1
MULTI_REGION,jp,223061503
MULTI_LIVE_TIME_OUT,15,223061503
MULTI_PRIVATE_ROOM_PASS,0123456789,223061503
MULTI_PRIVATE_ROOM_PASS_COUNT,6,223061503
LIVE_ERORR_TIME,5,1
EVENT_POINT_SCORE_BONUS_NUMERATOR,1,1
EVENT_POINT_SCORE_BONUS_DENOMINATOR,2,1
EVENT_POINT_ADJUST_NUMBER,0.25,1
MAX_EVENT_POINT,999999999,1
MULTI_ROOM_MIN_ID,1000000,1
MULTI_ROOM_MAX_ID,99999999,1
MULTI_PRIVATE_ROOM_MIN_ID,0,1
MULTI_PRIVATE_ROOM_MAX_ID,999999,1
MULTI_PRIVATE_ROOM_ID_FORMAT,000000,1
MULTI_COMMENT_MAX_NUM,10,1
MULTI_MUSIC_SELECT_TIME,20,1
MULTI_LEVEL_SELECT_TIME,15,1
MULTI_LAST_CONFIRM_TIME,20,1
MULTI_PENALTY_DEFAULT_ID,1,1
MULTI_PENALTY_NO_PLAY_MISS_RATIO,5000,1
MULTI_EVENT_LIVE_GREAT_PERFECT_NOTES_MIN_RATIO,50,1
MULTI_PENALTY_MISS_RATIO,70,1
LIVE_POWER_ZERO_SCORE_COEFFICIENT,0.1,1
STAMP_ONE_PAGE_NUM,16,1
COUNT_BADGE_MAX,99,1
MUSIC_CHANGE_PRICE,50000,223111506
DAILY_FREE_MUSIC_CHANGE_LIMIT,1,223111506
STAR_ASSIST_SKILL_PROBABILITY,20000,223111506
STAR_EVENT_BONUS_MAX_DAILY_COUNT,5,223111506
STAR_EVENT_BONUS_COEFFICIENT,50,223111506
STAR_BONUS_COEFFICIENT,2,223111506
STAR_ASSIST_CARD_BONUS_COEFFICIENT,10000,223111506
STAR_ASSIST_CARD_COEFFICIENT,90000,223111506
STAR_ASSIST_SKILL_COEFFICIENT_1,9,223111506
STAR_ASSIST_SKILL_COEFFICIENT_2,15,223111506
MIN_SKILL_LEVEL,0,1
MAX_SKILL_LEVEL,9,1
SKILL_REINFORCE_SAME_CARD_RATIO,30000,1
CHARACTER_FRIENDSHIP_MAX,500000,1
CHARACTER_FRIENDSHIP_REWARD_BASE,1,1
CHARACTER_FRIENDSHIP_CENTER_BONUS,5,1
CHARACTER_FRIENDSHIP_FRONT_BONUS,2,1
CARD_EPISODE_REWARD_GEM,50,1
LOTTERY_SINGLE_TICKET,15010001,1
LOTTERY_MULTI_TICKET,15010003,1
COMMON_LOTTERY_EXCHANGE_MASTER_ITEM_ID,17001002,1
EXCHANGE_CARD_LOTTERY_EFF_STEP_MOVIE_MASTER_ID,1,1
EXCHANGE_CARD_LOTTERY_EFF_EXPECTED_MASTER_ID,1,1
EXCHANGE_CARD_LOTTERY_EFF_ARTIST_MOVIE_MASTER_ID,1,1
PLAYER_RANKS_TRACKING_LIST,[5/10/30/50/100/200/300/],1
MUSE_STORY_TRACKING_LIST,story_part MASTER id LIST (CHAPTER 1~5),1
AQOURS_STORY_TRACKING_LIST,story_part MASTER id LIST (CHAPTER 1~5),1
NIGIGASAKI_STORY_TRACKING_LIST,story_part MASTER id LIST (CHAPTER 1~5),1
