_id,_title,_message,_buttonId,_masterReleaseLabelId
ErrorStay,Error,An error has occurred.<br><br>{0},CloseButton,1
ErrorTitle,Error,An error has occurred. You will be returned to the title screen.<br><br>{0},CloseButton,1
Free,{0},{0},CloseButton,1
NetworkError_Retry,Connection Error,Could not connect.<br>Please try again when you have better reception.,"CloseButton,RetryButton",1
NetworkError_Title,Connection Error,A connection error occurred.<br>You will be returned to the title screen.<br><br>{0},CloseButton,1
NetworkError_ResourceUpdated,Connection Error,You need to download an update.<br>You will be returned to the title screen.,CloseButton,1
ApplicationQuitConfirm,Confirm,This will end the game.<br>Are you sure you want to continue?,"CancelButton,OkButton",1
AreaUnlock,Area Unlocked,{0}<br>You unlocked a new area!,CloseOkButton,1
AreaUnlockDetail_StoryRead,Unlock Conditions,Unlocked by viewing<br>{0}<br>in story mode.,CloseButton,1
AreaUnlockDetail_UserRank,Unlock Conditions,Unlocked by reaching Player Rank {0}.,CloseButton,1
ChatTalkSkip,Skip,Skip and end this conversation?,"CancelButton,OkButton",1
Chat_EncountStoryPlayback,Play How We Met,Play How We Met for {0}.,CloseOkButton,1
OrnamentLevelRelease,Equipment Level Limit Increased,You can now level up {0}<br>to level {1}!,CloseButton,1
DeckNameChangeSuccess,Change Unit Name,Unit name changed.,CloseButton,1
DeckNameChangeEmpty,Input Error,This field cannot be left blank.,CloseButton,1
DeckNameChangeNg,Error,This contains inappropriate language.<br>Please enter something else.,CloseButton,1
MainDeckChangeSuccess,Change Main Unit,Main unit changed.,CloseButton,1
PracticeConfirm,Confirm,These Lesson Notebooks and {0} Gold<br>will be used to level up.<br>Would you like to continue?,"CancelButton,OkButton",1
SkillPracticeConfirmByItem,Confirm,These Skill Notebooks and {0} Gold<br>will be used to level up.<br>Would you like to continue?,"CancelButton,OkButton",1
SkillPracticeConfirmCanAlsoTraining,Confirm,This member can be Idolized.<br>Do you want to quit material selection<br>and go to Idolizing?,"CancelButton,OkButton",1
SkillPracticeConfirmByPhoto,Confirm,The selected member will disappear from your waiting room.<br>Do you want to power up this skill?<br>*They will still appear on your member list.,"CancelButton,OkButton",1
TrainingConfirm,Confirm,These Light Sticks will be used to Idolize.<br>Would you like to continue?,"CancelButton,OkButton",1
StaminaChargeConfirm,Restore LP,Your LP will be restored.<br><br>Would you like to continue?,"CancelButton,OkButton",1
StaminaChargeSuccess,Restore LP,Restored {0} LP!,CloseButton,1
StaminaChargeOver,LP Limit Reached,You have more than the maximum LP limit.<br><br>LP restoration is not possible.,CloseButton,1
ShopBuySuccess,Purchase Items,{0} purchased!,CloseButton,1
GachaExec,Confirm,{1} {0} will be used to Scout [{2}].<br>Would you like to continue?,"CancelButton,OkButton",1
GachaLackMedal,Not Enough {0},You do not have enough {0}. Purchase with Love Gems?,"CancelButton,BuyGemButton",1
GachaLackItem,Not Enough {0},You do not have enough {0}.,CloseButton,1
GachaResultGetBonus,Freebie Received,You earned a free Scout!,CloseButton,1
GachaResultGetMovie,Club Member Acquired,{0}<br>{1},CloseButton,1
GachaErrorExpired,Error,This has expired.,CloseOkButton,1
GachaTicketExpired,Error,This Ticket has expired and can no longer be used.,CloseOkButton,1
GameClose_Announce,Notice of Termination of Service,"""chool Idol Festival 2 MIRACLE LIVE!"" </br> ended its service on March 31, 2024(Sunday).</br>Thank you very much for your patronage. ",CloseOkButton,224031103
GameClose_AnnounceNoPayback,Notice of Termination of Service,"""CHOOL IDOL FESTIVAL 2 MIRACLE LIVE!"" ended its service on March 31, 2024(Sunday).</br>There are no refunds for paid Love Cards.</br>If you have any questions,please contact us from the link below.</br>Thank you very much for your patronage. </br>",CloseOkButton,224031103
GameClose_AnnouncePayback,Notice of Refund of Paid LoveCard ,"School Idol Festival 2 MIRACLE LIVE!""</br> ended its service on Sunday, March 31, 2024 (Sunday).</br>If you would like to receive a refund for the unused balance of your ""Paid Love Card"", the currency used exclusively for the app, please contact us using the ""Refund"" form.</br>　Issuer of the prepaid means of payment to be refunded: Bushiroad Inc.</br>Refund Period: Monday, April 1, 2024 00:00 - Monday, June 17, 2024 15:00. </br> ※If you do not apply for a refund during this period, you will be excluded from this refund procedure.",CloseOkButton,224031103
GameClose_AnnouncePaybackNotice,Notice of Termination of Service,"SCHOOL IDOL FESTIVAL 2 MIRACLE LIVE!"" ended its service as of March 31, 2024 (Sunday).</br>Refund period: Monday, April 1, 2024 00:00 - Monday, June 17, 2024 14:59.</br>Thank you very much for your patronage. ",CloseOkButton,224031103
