_id,_name,_type,_memberRankingType,_resultClosedDate,_aggregationDate,_rewardMemberMasterCardIdList,_masterEventPointSettingsId,_openingObjName,_openingGroupBg,_favoriteMemberSettingCharacterIds,_masterReleaseLabelId
101,Operation: Slump Escape!,1,1,2023/05/01 4:59:59,2023/04/30 4:59:59,40030009,101,,0,,223041903
102,Take a Look at Our Town,1,1,2023/05/12 4:59:59,2023/05/11 4:59:59,10090015,102,,0,,223043004
103,Free Tour,2,0,2023/05/16 4:59:59,2023/05/15 4:59:59,,103,,0,,223051101
104,Come Have Fun in Numazu,1,1,2023/05/27 4:59:59,2023/05/26 4:59:59,20070013,104,,0,,223051504
105,Free Tour,2,0,2023/06/01 4:59:59,2023/05/31 4:59:59,,105,,0,,223052601
106,"Imagine, Connect, Network!",1,1,2023/06/12 4:59:59,2023/06/11 4:59:59,30090009,106,,0,,223053104
107,Free Tour,2,0,2023/06/20 4:59:59,2023/06/19 4:59:59,,107,,0,,223061101
108,Teamup Live Show,3,0,2023/06/30 4:59:59,2023/06/29 4:59:59,20090013,108,MultiOpRoot,2,,223061504
109,Seagull Mayhem Delivery,1,1,2023/07/12 4:59:59,2023/07/11 4:59:59,40060010,109,,0,,223063004
110,Free Tour,2,0,2023/07/16 4:59:59,2023/07/15 4:59:59,,110,,0,,223071101
111,Teamup Live Show,3,0,2023/07/27 4:59:59,2023/07/26 4:59:59,30020009,111,MultiOpRoot,3,,223071505
112,Free Tour,2,0,2023/08/01 4:59:59,2023/07/31 4:59:59,,112,,0,,223072601
113,Beach Flag Racing,1,1,2023/08/12 4:59:59,2023/08/11 4:59:59,10040016,113,,0,,223073104
114,Free Tour,2,0,2023/08/16 4:59:59,2023/08/15 4:59:59,,114,,0,,223081101
115,Teamup Live Show,3,0,2023/08/27 4:59:59,2023/08/26 4:59:59,40010011,115,MultiOpRoot,4,,223081504
116,Free Tour,2,0,2023/09/01 4:59:59,2023/08/31 4:59:59,,116,,0,,223082601
117,Silver Moon to Shining Knoll,1,1,2023/09/12 4:59:59,2023/09/11 4:59:59,20050014,117,,0,,223083104
118,Free Tour,2,0,2023/09/16 4:59:59,2023/09/15 4:59:59,,118,,0,,223091101
119,Teamup Live Show,3,0,2023/09/27 4:59:59,2023/09/26 4:59:59,10080016,119,MultiOpRoot,1,,223091504
120,Free Tour,2,0,2023/09/30 4:59:59,2023/09/29 4:59:59,,120,,0,,223092601
121,Halloween: What's Gonna Jump out at Me?!,1,1,2023/10/12 4:59:59,2023/10/11 4:59:59,30030010,121,,0,,223093004
122,Free Tour,2,0,2023/10/15 4:59:59,2023/10/14 4:59:59,,122,,0,,223101101
123,Half Anniversary,1,1,2023/10/27 4:59:59,2023/10/26 4:59:59,20030015,123,,0,,223101508
124,Free Tour,2,0,2023/10/31 4:59:59,2023/10/30 4:59:59,,124,,0,,223102601
125,Pit-a-pat School Information Session,1,1,2024/02/22 7:59:59,2024/02/21 7:59:59,40090011,125,,0,,223103104
126,Free Tour,2,0,2024/02/25 7:59:59,2024/02/24 7:59:59,,126,,0,,223111101
127,Star Challenge,4,0,2024/03/14 7:59:59,2024/03/13 7:59:59,30040012,127,StarEventOpRoot,0,,223111504
128,Free Tour,2,0,2024/03/17 4:59:59,2024/03/16 4:59:59,,128,,0,,223112601
129,Christmas Parties Are The Best!,1,1,2024/03/27 7:59:59,2024/03/26 7:59:59,10010020,129,,0,,223113004
130,Free Tour,2,0,2024/03/31 7:59:59,2024/03/30 7:59:59,,130,,0,,223121102
131,Teamup Live Show,3,0,2024/04/11 7:59:59,2024/04/10 7:59:59,40080011,131,MultiOpRoot,4,,223121507
132,Free Tour,2,0,2024/04/16 7:59:59,2024/04/15 7:59:59,,132,,0,,223122603
133,"Awashima Isle,HAPPY NEW YEAR!",1,1,2024/04/27 7:59:59,2024/04/26 7:59:59,20010019,133,,0,,223123104
134,Free Tour,2,0,2024/05/01 7:59:59,2024/04/30 7:59:59,,134,,0,,224011106
135,Star Challenge,4,0,2024/05/12 7:59:59,2024/05/11 7:59:59,10050018,135,StarEventOpRoot,0,,224011504
136,Free Tour,2,0,2024/05/16 7:59:59,2024/05/15 7:59:59,,136,,0,,224012702
137,Who Will Get the Chocolate?!,1,0,2024/05/26 7:59:59,2024/05/24 9:59:59,30010017,137,,0,,224013104
138,Free Tour,2,0,2024/05/30 7:59:59,2024/05/29 7:59:59,,138,,0,,224021006
139,Star Challenge,4,0,2024/06/10 7:59:59,2024/06/09 7:59:59,20080016,139,StarEventOpRoot,0,,224021404
140,Free Tour,2,0,2024/06/14 7:59:59,2024/06/13 7:59:59,,140,,0,,224022305
141,Feelings Come Across on White Day,1,1,2024/06/25 7:59:59,2024/06/24 7:59:59,40040013,141,,0,,224030104
