_masterEventId,_targetId,_pointBonusRatioList,_eventTicketBonusAmountList,_masterReleaseLabelId
101,40090009,"1000,2000,0,0,0","250,500,0,0,0",223041903
101,40020009,"1000,2000,0,0,0","250,500,0,0,0",223041903
101,40030009,"1000,2000,0,0,0","250,500,0,0,0",223041903
102,10010016,"1000,2000,0,0,0","250,500,0,0,0",223043004
102,10020015,"1000,2000,0,0,0","250,500,0,0,0",223043004
102,10090015,"1000,2000,0,0,0","250,500,0,0,0",223043004
102,40090009,"0,0,0,0,0","250,500,0,0,0",223043004
102,40020009,"0,0,0,0,0","250,500,0,0,0",223043004
102,40030009,"0,0,0,0,0","250,500,0,0,0",223043004
104,20010014,"1000,2000,0,0,0","250,500,0,0,0",223051504
104,20020013,"1000,2000,0,0,0","250,500,0,0,0",223051504
104,20070013,"1000,2000,0,0,0","250,500,0,0,0",223051504
104,10010016,"0,0,0,0,0","250,500,0,0,0",223051504
104,10020015,"0,0,0,0,0","250,500,0,0,0",223051504
104,10090015,"0,0,0,0,0","250,500,0,0,0",223051504
106,30060009,"1000,2000,0,0,0","250,500,0,0,0",223053104
106,30080009,"1000,2000,0,0,0","250,500,0,0,0",223053104
106,30090009,"1000,2000,0,0,0","250,500,0,0,0",223053104
106,20010014,"0,0,0,0,0","250,500,0,0,0",223053104
106,20020013,"0,0,0,0,0","250,500,0,0,0",223053104
106,20070013,"0,0,0,0,0","250,500,0,0,0",223053104
109,40040009,"1000,2000,0,0,0","250,500,0,0,0",223063004
109,40050009,"1000,2000,0,0,0","250,500,0,0,0",223063004
109,40060010,"1000,2000,0,0,0","250,500,0,0,0",223063004
109,30060009,"0,0,0,0,0","250,500,0,0,0",223063004
109,30080009,"0,0,0,0,0","250,500,0,0,0",223063004
109,30090009,"0,0,0,0,0","250,500,0,0,0",223063004
113,10030016,"1000,2000,0,0,0","250,500,0,0,0",223073104
113,10050015,"1000,2000,0,0,0","250,500,0,0,0",223073104
113,10040016,"1000,2000,0,0,0","250,500,0,0,0",223073104
113,40040009,"0,0,0,0,0","250,500,0,0,0",223073104
113,40050009,"0,0,0,0,0","250,500,0,0,0",223073104
113,40060010,"0,0,0,0,0","250,500,0,0,0",223073104
117,20060015,"1000,2000,0,0,0","250,500,0,0,0",223083104
117,20080014,"1000,2000,0,0,0","250,500,0,0,0",223083104
117,20050014,"1000,2000,0,0,0","250,500,0,0,0",223083104
117,10030016,"0,0,0,0,0","250,500,0,0,0",223083104
117,10050015,"0,0,0,0,0","250,500,0,0,0",223083104
117,10040016,"0,0,0,0,0","250,500,0,0,0",223083104
121,30120010,"1000,2000,0,0,0","250,500,0,0,0",223093004
121,30110010,"1000,2000,0,0,0","250,500,0,0,0",223093004
121,30030010,"1000,2000,0,0,0","250,500,0,0,0",223093004
121,20060015,"0,0,0,0,0","250,500,0,0,0",223093004
121,20080014,"0,0,0,0,0","250,500,0,0,0",223093004
121,20050014,"0,0,0,0,0","250,500,0,0,0",223093004
123,20070015,"1000,2000,0,0,0","250,500,0,0,0",223101508
123,20040015,"1000,2000,0,0,0","250,500,0,0,0",223101508
123,20030015,"1000,2000,0,0,0","250,500,0,0,0",223101508
123,10060015,"0,0,0,0,0","250,500,0,0,0",223101508
123,10070017,"0,0,0,0,0","250,500,0,0,0",223101508
123,10080016,"0,0,0,0,0","250,500,0,0,0",223101508
125,40030012,"1000,2000,0,0,0","250,500,0,0,0",223103104
125,40060011,"1000,2000,0,0,0","250,500,0,0,0",223103104
125,40090011,"1000,2000,0,0,0","250,500,0,0,0",223103104
125,30120010,"0,0,0,0,0","250,500,0,0,0",223103104
125,30110010,"0,0,0,0,0","250,500,0,0,0",223103104
125,30030010,"0,0,0,0,0","250,500,0,0,0",223103104
129,10040019,"1000,2000,0,0,0","250,500,0,0,0",223113004
129,10090018,"1000,2000,0,0,0","250,500,0,0,0",223113004
129,10010020,"1000,2000,0,0,0","250,500,0,0,0",223113004
129,40030012,"0,0,0,0,0","250,500,0,0,0",223113004
129,40060011,"0,0,0,0,0","250,500,0,0,0",223113004
129,40090011,"0,0,0,0,0","250,500,0,0,0",223113004
133,20050017,"1000,2000,0,0,0","250,500,0,0,0",223123104
133,20090016,"1000,2000,0,0,0","250,500,0,0,0",223123104
133,20010019,"1000,2000,0,0,0","250,500,0,0,0",223123104
133,10040019,"0,0,0,0,0","250,500,0,0,0",223123104
133,10090018,"0,0,0,0,0","250,500,0,0,0",223123104
133,10010020,"0,0,0,0,0","250,500,0,0,0",223123104
137,30030014,"1000,2000,0,0,0","250,500,0,0,0",224013104
137,30040014,"1000,2000,0,0,0","250,500,0,0,0",224013104
137,30010017,"1000,2000,0,0,0","250,500,0,0,0",224013104
137,20050017,"0,0,0,0,0","250,500,0,0,0",224013104
137,20090016,"0,0,0,0,0","250,500,0,0,0",224013104
137,20010019,"0,0,0,0,0","250,500,0,0,0",224013104
141,40050013,"1000,2000,0,0,0","250,500,0,0,0",224030104
141,40070013,"1000,2000,0,0,0","250,500,0,0,0",224030104
141,40040013,"1000,2000,0,0,0","250,500,0,0,0",224030104
141,30030014,"0,0,0,0,0","250,500,0,0,0",224030104
141,30040014,"0,0,0,0,0","250,500,0,0,0",224030104
141,30010017,"0,0,0,0,0","250,500,0,0,0",224030104
