_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
290101001,1,8,1,4000001,0,1,223041903
290101002,1,8,1,4000002,0,1,223041903
290101003,1,8,1,4000003,0,1,223041903
290101004,1,8,1,4000004,0,1,223041903
290101005,1,8,1,4000005,0,1,223041903
290101006,1,8,1,4000006,0,1,223041903
290101007,1,8,1,4000007,0,1,223041903
290101008,1,8,1,4000008,0,1,223041903
290101009,1,8,1,4000009,0,1,223041903
290101010,1,8,1,4000010,0,1,223041903
290101011,1,8,1,4000011,0,1,223041903
290101012,1,8,1,4000012,0,1,223041903
290101013,1,8,1,4000013,0,1,223041903
290101014,1,8,1,4000014,0,1,223041903
290101015,1,8,1,4000015,0,1,223041903
290101016,1,8,1,4000016,0,1,223041903
290101017,1,8,1,4000017,0,1,223041903
290101018,1,8,1,4000018,0,1,223041903
290101019,1,8,1,4000019,0,1,223041903
290101020,1,8,1,4000020,0,1,223041903
290101021,1,8,1,4000021,0,1,223041903
290101022,1,8,1,4000022,0,1,223041903
290101023,1,8,1,4000023,0,1,223041903
290101024,1,8,1,4000024,0,1,223041903
290101025,1,8,1,4000025,0,1,223041903
290101026,1,8,1,4000026,0,1,223041903
290101027,1,8,1,4000027,0,1,223041903
290101028,1,8,1,4000028,0,1,223041903
290101029,1,8,1,4000029,0,1,223041903
290101030,1,8,1,4000030,0,1,223041903
290101031,1,8,1,4000031,0,1,223041903
290101032,1,8,1,4000032,0,1,223041903
290101033,1,8,1,4000033,0,1,223041903
290101034,1,8,1,4000034,0,1,223041903
290101035,1,8,1,4000035,0,1,223041903
290101036,1,8,1,4000036,0,1,223041903
290101037,1,8,1,4000037,0,1,223041903
290101038,1,8,1,4000038,0,1,223041903
290101039,1,8,1,4000039,0,1,223041903
290101040,1,8,1,4000040,0,1,223041903
290101041,1,8,1,4000041,0,1,223041903
290101042,1,8,1,4000042,0,1,223041903
290101043,1,8,1,4000043,0,1,223041903
290101044,1,8,1,4000044,0,1,223041903
290101045,1,8,1,4000045,0,1,223041903
290101046,1,8,1,4000046,0,1,223041903
290101047,1,8,1,4000047,0,1,223041903
290101048,1,8,1,4000048,0,1,223041903
290101049,1,8,1,4000049,0,1,223041903
290101050,1,8,1,4000050,0,1,223041903
290101051,1,8,1,4000051,0,1,223041903
290101052,1,8,1,4000052,0,1,223041903
290101053,1,8,1,4000053,0,1,223041903
290101054,1,8,1,4000054,0,1,223041903
290101055,1,8,1,4000055,0,1,223041903
290101056,1,8,1,4000056,0,1,223041903
290101057,1,8,1,4000057,0,1,223041903
290101058,1,8,1,4000058,0,1,223041903
290101059,1,8,1,4000059,0,1,223041903
290101060,1,8,1,4000060,0,1,223041903
290101061,1,8,1,4000061,0,1,223041903
290101062,1,8,1,4000062,0,1,223041903
290101063,1,8,1,4000063,0,1,223041903
290101064,1,8,1,4000064,0,1,223041903
290101065,1,8,1,4000065,0,1,223041903
290101066,1,8,1,4000066,0,1,223041903
290101067,1,8,1,4000067,0,1,223041903
290101068,1,8,1,4000068,0,1,223041903
290101069,1,8,1,4000069,0,1,223041903
290101070,1,8,1,4000070,0,1,223041903
290101071,1,8,1,4000071,0,1,223041903
290101072,1,8,1,4000072,0,1,223041903
