_masterEventId,_groupId,_number,_highRank,_lowRank,_masterEventPointRankingRewardId,_masterReleaseLabelId
101,0,1,1,500,280010101,223041903
101,0,2,501,3000,280010102,223041903
101,0,3,3001,10000,280010103,223041903
101,0,4,10001,20000,280010104,223041903
101,0,5,20001,50000,280010105,223041903
101,0,6,50001,100000,280010106,223041903
101,0,7,100001,150000,280010107,223041903
101,0,8,150001,250000,280010108,223041903
101,0,9,250001,500000,280010109,223041903
101,0,10,500001,1000000,280010110,223041903
102,0,1,1,500,280010201,223043004
102,0,2,501,3000,280010202,223043004
102,0,3,3001,10000,280010203,223043004
102,0,4,10001,20000,280010204,223043004
102,0,5,20001,50000,280010205,223043004
102,0,6,50001,100000,280010206,223043004
102,0,7,100001,150000,280010207,223043004
102,0,8,150001,250000,280010208,223043004
102,0,9,250001,500000,280010209,223043004
102,0,10,500001,1000000,280010210,223043004
104,0,1,1,500,280010401,223051504
104,0,2,501,3000,280010402,223051504
104,0,3,3001,10000,280010403,223051504
104,0,4,10001,20000,280010404,223051504
104,0,5,20001,50000,280010405,223051504
104,0,6,50001,100000,280010406,223051504
104,0,7,100001,150000,280010407,223051504
104,0,8,150001,250000,280010408,223051504
104,0,9,250001,500000,280010409,223051504
104,0,10,500001,1000000,280010410,223051504
106,0,1,1,500,280010601,223053104
106,0,2,501,3000,280010602,223053104
106,0,3,3001,10000,280010603,223053104
106,0,4,10001,20000,280010604,223053104
106,0,5,20001,50000,280010605,223053104
106,0,6,50001,100000,280010606,223053104
106,0,7,100001,150000,280010607,223053104
106,0,8,150001,250000,280010608,223053104
106,0,9,250001,500000,280010609,223053104
106,0,10,500001,1000000,280010610,223053104
109,0,1,1,500,280010901,223063004
109,0,2,501,1500,280010902,223063004
109,0,3,1501,3000,280010903,223063004
109,0,4,3001,5000,280010904,223063004
109,0,5,5001,10000,280010905,223063004
109,0,6,10001,20000,280010906,223063004
109,0,7,20001,35000,280010907,223063004
109,0,8,35001,50000,280010908,223063004
109,0,9,50001,100000,280010909,223063004
109,0,10,100001,1000000,280010910,223063004
108,0,1,1,500,280010801,223061504
108,0,2,501,3000,280010802,223061504
108,0,3,3001,10000,280010803,223061504
108,0,4,10001,20000,280010804,223061504
108,0,5,20001,50000,280010805,223061504
108,0,6,50001,100000,280010806,223061504
108,0,7,100001,150000,280010807,223061504
108,0,8,150001,250000,280010808,223061504
108,0,9,250001,500000,280010809,223061504
108,0,10,500001,1000000,280010810,223061504
111,0,1,1,500,280011101,223071505
111,0,2,501,1500,280011102,223071505
111,0,3,1501,3000,280011103,223071505
111,0,4,3001,5000,280011104,223071505
111,0,5,5001,10000,280011105,223071505
111,0,6,10001,20000,280011106,223071505
111,0,7,20001,35000,280011107,223071505
111,0,8,35001,50000,280011108,223071505
111,0,9,50001,100000,280011109,223071505
111,0,10,100001,1000000,280011110,223071505
113,0,1,1,500,280011301,223073104
113,0,2,501,1500,280011302,223073104
113,0,3,1501,3000,280011303,223073104
113,0,4,3001,5000,280011304,223073104
113,0,5,5001,10000,280011305,223073104
113,0,6,10001,20000,280011306,223073104
113,0,7,20001,35000,280011307,223073104
113,0,8,35001,50000,280011308,223073104
113,0,9,50001,100000,280011309,223073104
113,0,10,100001,1000000,280011310,223073104
115,0,1,1,500,280011501,223081504
115,0,2,501,1500,280011502,223081504
115,0,3,1501,3000,280011503,223081504
115,0,4,3001,5000,280011504,223081504
115,0,5,5001,10000,280011505,223081504
115,0,6,10001,20000,280011506,223081504
115,0,7,20001,35000,280011507,223081504
115,0,8,35001,50000,280011508,223081504
115,0,9,50001,100000,280011509,223081504
115,0,10,100001,1000000,280011510,223081504
117,0,1,1,500,280011701,223083104
117,0,2,501,1500,280011702,223083104
117,0,3,1501,3000,280011703,223083104
117,0,4,3001,5000,280011704,223083104
117,0,5,5001,10000,280011705,223083104
117,0,6,10001,20000,280011706,223083104
117,0,7,20001,35000,280011707,223083104
117,0,8,35001,50000,280011708,223083104
117,0,9,50001,100000,280011709,223083104
117,0,10,100001,1000000,280011710,223083104
119,0,1,1,500,280011901,223091504
119,0,2,501,1500,280011902,223091504
