_id,_name,_masterReleaseLabelId
101,Miracle Star,223041903
102,Miracle Star,223043004
103,Icon,223051101
104,Miracle Star,223051504
105,Icon,223052601
106,Miracle Star,223053104
107,Icon,223061101
109,Miracle Star,223063004
110,Icon,223071101
112,Icon,223072601
113,Miracle Star,223073104
114,Icon,223081101
116,Icon,223082601
117,Miracle Star,223083104
118,Icon,223091101
120,Icon,223092601
121,Miracle Star,223093004
122,Icon,223101101
123,Miracle Star,223101508
124,Icon,223102601
125,Miracle Star,223103104
126,Icon,223111101
127,Star Points,223111504
128,Icon,223112601
129,Miracle Star,223113004
130,Icon,223121102
132,Icon,223122603
133,Miracle Star,223123104
134,Icon,224011106
135,Star Points,224011504
136,Icon,224012702
137,Miracle Star,224013104
138,Icon,224021006
139,Star Points,224021404
140,Icon,224022305
141,Miracle Star,224030104
