_masterEventId,_eventLivePointBase,_eventPointRatio,_eventBoostRatio,_masterReleaseLabelId
101,10,10000,35000,223041903
102,10,10000,35000,223043004
103,10,10000,35000,223051101
104,10,10000,350000,223051504
105,10,10000,35000,223052601
106,10,10000,350000,223053104
107,10,10000,35000,223061101
108,10,10000,35000,223061504
109,10,10000,350000,223063004
110,10,10000,35000,223071101
111,10,10000,35000,223071505
112,10,10000,35000,223072601
113,10,10000,350000,223073104
114,10,10000,35000,223081101
115,10,10000,35000,223081504
116,10,10000,35000,223082601
117,10,10000,350000,223083104
118,10,10000,35000,223091101
119,10,10000,35000,223091504
120,10,10000,35000,223092601
121,10,10000,350000,223093004
122,10,10000,35000,223101101
123,10,10000,350000,223101508
124,10,10000,35000,223102601
125,10,10000,350000,223103104
126,10,10000,35000,223111101
127,10,1000,35000,223111504
128,10,10000,35000,223112601
129,10,10000,350000,223113004
130,10,10000,35000,223121102
131,10,10000,35000,223121507
132,10,10000,35000,223122603
133,10,10000,350000,223123104
134,10,10000,35000,224011106
135,10,1000,35000,224011504
136,10,10000,35000,224012702
137,10,10000,350000,224013104
138,10,10000,35000,224021006
139,10,1000,35000,224021404
140,10,10000,35000,224022305
141,10,10000,350000,224030104
991,10,1000,35000,170
992,10,1000,35000,171
993,10,10000,350000,195
994,10,10000,35000,172
