_masterEventId,_groupCount,_number,_highRank,_lowRank,_masterEventScoreRankingRewardId,_masterReleaseLabelId
101,0,1,1,10000,190010101,223041903
101,0,2,10001,30000,190010102,223041903
101,0,3,30001,50000,190010103,223041903
101,0,4,50001,75000,190010104,223041903
101,0,5,75001,120000,190010105,223041903
101,0,6,120001,250000,190010106,223041903
101,0,7,250001,450000,190010107,223041903
101,0,8,450001,750000,190010108,223041903
101,0,9,750001,1000000,190010109,223041903
102,0,1,1,10000,190010201,223043004
102,0,2,10001,30000,190010202,223043004
102,0,3,30001,50000,190010203,223043004
102,0,4,50001,75000,190010204,223043004
102,0,5,75001,120000,190010205,223043004
102,0,6,120001,250000,190010206,223043004
102,0,7,250001,450000,190010207,223043004
102,0,8,450001,750000,190010208,223043004
102,0,9,750001,1000000,190010209,223043004
104,0,1,1,10000,190010401,223051504
104,0,2,10001,30000,190010402,223051504
104,0,3,30001,50000,190010403,223051504
104,0,4,50001,75000,190010404,223051504
104,0,5,75001,120000,190010405,223051504
104,0,6,120001,250000,190010406,223051504
104,0,7,250001,450000,190010407,223051504
104,0,8,450001,750000,190010408,223051504
104,0,9,750001,1000000,190010409,223051504
106,0,1,1,10000,190010601,223053104
106,0,2,10001,30000,190010602,223053104
106,0,3,30001,50000,190010603,223053104
106,0,4,50001,75000,190010604,223053104
106,0,5,75001,120000,190010605,223053104
106,0,6,120001,250000,190010606,223053104
106,0,7,250001,450000,190010607,223053104
106,0,8,450001,750000,190010608,223053104
106,0,9,750001,1000000,190010609,223053104
109,0,1,1,10000,190010901,223063004
109,0,2,10001,30000,190010902,223063004
109,0,3,30001,50000,190010903,223063004
109,0,4,50001,75000,190010904,223063004
109,0,5,75001,120000,190010905,223063004
109,0,6,120001,250000,190010906,223063004
109,0,7,250001,450000,190010907,223063004
109,0,8,450001,750000,190010908,223063004
109,0,9,750001,1000000,190010909,223063004
113,0,1,1,10000,190011301,223073104
113,0,2,10001,30000,190011302,223073104
113,0,3,30001,50000,190011303,223073104
113,0,4,50001,75000,190011304,223073104
113,0,5,75001,120000,190011305,223073104
113,0,6,120001,250000,190011306,223073104
113,0,7,250001,450000,190011307,223073104
113,0,8,450001,750000,190011308,223073104
113,0,9,750001,1000000,190011309,223073104
117,0,1,1,10000,190011701,223083104
117,0,2,10001,30000,190011702,223083104
117,0,3,30001,50000,190011703,223083104
117,0,4,50001,75000,190011704,223083104
117,0,5,75001,120000,190011705,223083104
117,0,6,120001,250000,190011706,223083104
117,0,7,250001,450000,190011707,223083104
117,0,8,450001,750000,190011708,223083104
117,0,9,750001,1000000,190011709,223083104
121,0,1,1,10000,190012101,223093004
121,0,2,10001,30000,190012102,223093004
121,0,3,30001,50000,190012103,223093004
121,0,4,50001,75000,190012104,223093004
121,0,5,75001,120000,190012105,223093004
121,0,6,120001,250000,190012106,223093004
121,0,7,250001,450000,190012107,223093004
121,0,8,450001,750000,190012108,223093004
121,0,9,750001,1000000,190012109,223093004
123,0,1,1,10000,190012301,223101508
123,0,2,10001,30000,190012302,223101508
123,0,3,30001,50000,190012303,223101508
123,0,4,50001,75000,190012304,223101508
123,0,5,75001,120000,190012305,223101508
123,0,6,120001,250000,190012306,223101508
123,0,7,250001,450000,190012307,223101508
123,0,8,450001,750000,190012308,223101508
123,0,9,750001,1000000,190012309,223101508
125,0,1,1,10000,190012501,223103104
125,0,2,10001,30000,190012502,223103104
125,0,3,30001,50000,190012503,223103104
125,0,4,50001,75000,190012504,223103104
125,0,5,75001,120000,190012505,223103104
125,0,6,120001,250000,190012506,223103104
125,0,7,250001,450000,190012507,223103104
125,0,8,450001,750000,190012508,223103104
125,0,9,750001,1000000,190012509,223103104
129,0,1,1,10000,190012901,223113004
129,0,2,10001,30000,190012902,223113004
129,0,3,30001,50000,190012903,223113004
129,0,4,50001,75000,190012904,223113004
129,0,5,75001,120000,190012905,223113004
129,0,6,120001,250000,190012906,223113004
129,0,7,250001,450000,190012907,223113004
129,0,8,450001,750000,190012908,223113004
129,0,9,750001,1000000,190012909,223113004
133,0,1,1,10000,190013301,223123104
133,0,2,10001,30000,190013302,223123104
133,0,3,30001,50000,190013303,223123104
133,0,4,50001,75000,190013304,223123104
133,0,5,75001,120000,190013305,223123104
133,0,6,120001,250000,190013306,223123104
133,0,7,250001,450000,190013307,223123104
133,0,8,450001,750000,190013308,223123104
133,0,9,750001,1000000,190013309,223123104
137,0,1,1,10000,190013701,224013104
137,0,2,10001,30000,190013702,224013104
137,0,3,30001,50000,190013703,224013104
137,0,4,50001,75000,190013704,224013104
137,0,5,75001,120000,190013705,224013104
137,0,6,120001,250000,190013706,224013104
137,0,7,250001,450000,190013707,224013104
137,0,8,450001,750000,190013708,224013104
137,0,9,750001,1000000,190013709,224013104
141,0,1,1,10000,190014101,224030104
141,0,2,10001,30000,190014102,224030104
141,0,3,30001,50000,190014103,224030104
141,0,4,50001,75000,190014104,224030104
141,0,5,75001,120000,190014105,224030104
141,0,6,120001,250000,190014106,224030104
141,0,7,250001,450000,190014107,224030104
141,0,8,450001,750000,190014108,224030104
141,0,9,750001,1000000,190014109,224030104
