_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
190010101,1,1,1,0,0,300,223041903
190010101,2,3,1,16005003,0,150,223041903
190010101,3,4,1,1,0,1000000,223041903
190010102,1,1,1,0,0,200,223041903
190010102,2,3,1,16005003,0,75,223041903
190010102,3,4,1,1,0,500000,223041903
190010103,1,1,1,0,0,100,223041903
190010103,2,3,1,16005003,0,50,223041903
190010103,3,4,1,1,0,300000,223041903
190010104,1,1,1,0,0,75,223041903
190010104,2,3,1,16005003,0,30,223041903
190010104,3,4,1,1,0,200000,223041903
190010105,1,1,1,0,0,50,223041903
190010105,2,3,1,16005003,0,10,223041903
190010105,3,4,1,1,0,100000,223041903
190010106,1,1,1,0,0,40,223041903
190010107,1,1,1,0,0,30,223041903
190010108,1,1,1,0,0,20,223041903
190010109,1,1,1,0,0,10,223041903
190010201,1,1,1,0,0,300,223043004
190010201,2,3,1,16005003,0,150,223043004
190010201,3,4,1,1,0,1000000,223043004
190010202,1,1,1,0,0,200,223043004
190010202,2,3,1,16005003,0,75,223043004
190010202,3,4,1,1,0,500000,223043004
190010203,1,1,1,0,0,100,223043004
190010203,2,3,1,16005003,0,50,223043004
190010203,3,4,1,1,0,300000,223043004
190010204,1,1,1,0,0,75,223043004
190010204,2,3,1,16005003,0,30,223043004
190010204,3,4,1,1,0,200000,223043004
190010205,1,1,1,0,0,50,223043004
190010205,2,3,1,16005003,0,10,223043004
190010205,3,4,1,1,0,100000,223043004
190010206,1,1,1,0,0,40,223043004
190010207,1,1,1,0,0,30,223043004
190010208,1,1,1,0,0,20,223043004
190010209,1,1,1,0,0,10,223043004
190010401,1,1,1,0,0,300,223051504
190010401,2,3,1,16005003,0,150,223051504
190010401,3,4,1,1,0,1000000,223051504
190010402,1,1,1,0,0,200,223051504
190010402,2,3,1,16005003,0,75,223051504
190010402,3,4,1,1,0,500000,223051504
190010403,1,1,1,0,0,100,223051504
190010403,2,3,1,16005003,0,50,223051504
190010403,3,4,1,1,0,300000,223051504
190010404,1,1,1,0,0,75,223051504
190010404,2,3,1,16005003,0,30,223051504
190010404,3,4,1,1,0,200000,223051504
190010405,1,1,1,0,0,50,223051504
190010405,2,3,1,16005003,0,10,223051504
190010405,3,4,1,1,0,100000,223051504
190010406,1,1,1,0,0,40,223051504
190010407,1,1,1,0,0,30,223051504
190010408,1,1,1,0,0,20,223051504
190010409,1,1,1,0,0,10,223051504
190010601,1,1,1,0,0,300,223053104
190010601,2,3,1,16005003,0,150,223053104
190010601,3,4,1,1,0,1000000,223053104
190010602,1,1,1,0,0,200,223053104
190010602,2,3,1,16005003,0,75,223053104
190010602,3,4,1,1,0,500000,223053104
190010603,1,1,1,0,0,100,223053104
190010603,2,3,1,16005003,0,50,223053104
190010603,3,4,1,1,0,300000,223053104
190010604,1,1,1,0,0,75,223053104
190010604,2,3,1,16005003,0,30,223053104
190010604,3,4,1,1,0,200000,223053104
190010605,1,1,1,0,0,50,223053104
190010605,2,3,1,16005003,0,10,223053104
190010605,3,4,1,1,0,100000,223053104
190010606,1,1,1,0,0,40,223053104
190010607,1,1,1,0,0,30,223053104
190010608,1,1,1,0,0,20,223053104
190010609,1,1,1,0,0,10,223053104
190010901,1,1,1,0,0,300,223063004
190010901,2,3,1,16005003,0,150,223063004
190010901,3,4,1,1,0,1000000,223063004
