_masterEventId,_title,_rootPath,_masterReleaseLabelId
101,Operation: Slump Escape!,common,223041903
102,Take a Look at Our Town,common,223043004
103,Free Tour,common,223051101
104,Come Have Fun in Numazu,common,223051504
105,Free Tour,common,223052601
106,"Imagine, Connect, Network!",common,223053104
107,Free Tour,common,223061101
108,Teamup Live Show,common,223061504
109,Seagull Mayhem Delivery,common,223063004
110,Free Tour,common,223071101
111,Teamup Live Show,common,223071505
112,Free Tour,common,223072601
113,Beach Flag Racing,common,223073104
114,Free Tour,common,223081101
115,Teamup Live Show,common,223081504
116,Free Tour,common,223082601
117,Silver Moon to Shining Knoll,common,223083104
118,Free Tour,common,223091101
119,Teamup Live Show,common,223091504
120,Free Tour,common,223092601
121,Halloween: What's Gonna Jump out at Me?!,common,223093004
122,Free Tour,common,223101101
123,Half Anniversary,common,223101508
124,Free Tour,common,223102601
125,Pit-a-pat School Information Session,common,223103104
126,Free Tour,common,223111101
127,Star Challenge,common,223111504
128,Free Tour,common,223112601
129,Christmas Parties Are The Best!,common,223113004
130,Free Tour,common,223121102
131,Teamup Live Show,common,223121507
132,Free Tour,common,223122603
133,Awa Isle HAPPY NEW YEAR!,common,223123104
134,Free Tour,common,224011106
135,Star Challenge,common,224011504
136,Free Tour,common,224012702
137,Who Will Get the Chocolate?!,common,224013104
138,Free Tour,common,224021006
139,Star Challenge,common,224021404
140,Free Tour,common,224022305
141,Feelings Come Across on White Day,common,224030104
