_masterEventId,_spriteName,_message,_category,_masterReleaseLabelId
101,SubTutorial_miraclecollection_01,Receive various rewards by collecting event pts during Miracle Collection!<br>You can receive even more fabulous rewards<br>by achieving a high rank during the event!,,223041903
101,SubTutorial_miraclecollection_02,You will receive Miracle Stars as you play through standard songs!<br>You can then use these Miracle Stars to take on event songs!<br>Event songs reward a lot more event points than standard songs!,,223041903
101,SubTutorial_miraclecollection_03,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223041903
101,SubTutorial_miraclecollection_04,Create teams consisting of specially-selected members with event point bonuses<br>to gain more event points when clearing live shows!<br>Idolizing these members will cause their bonuses to be further increased!,,223041903
101,SubTutorial_miraclecollection_05,Specially-selected members with a Miracle Star bonus<br>increase the amount of Miracle Stars obtained from the event login bonus!<br>Idolizing these members will cause their bonuses to be further increased!,,223041903
101,SubTutorial_miraclecollection_06,"You can obtain various rewards by clearing event goals!<br>Once you have achieved a certain amount of event points, new event stories will be unlocked!",,223041903
102,SubTutorial_miraclecollection_01,Receive various rewards by collecting event pts during Miracle Collection!<br>You can receive even more fabulous rewards<br>by achieving a high rank during the event!,,223043004
102,SubTutorial_miraclecollection_02,You will receive Miracle Stars as you play through standard songs!<br>You can then use these Miracle Stars to take on event songs!<br>Event songs reward a lot more event points than standard songs!,,223043004
102,SubTutorial_miraclecollection_03,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223043004
102,SubTutorial_miraclecollection_04,Create teams consisting of specially-selected members with event point bonuses<br>to gain more event points when clearing live shows!<br>Idolizing these members will cause their bonuses to be further increased!,,223043004
102,SubTutorial_miraclecollection_05,Specially-selected members with a Miracle Star bonus<br>increase the amount of Miracle Stars obtained from the event login bonus!<br>Idolizing these members will cause their bonuses to be further increased!,,223043004
102,SubTutorial_miraclecollection_06,"You can obtain various rewards by clearing event goals!<br>Once you have achieved a certain amount of event points, new event stories will be unlocked!",,223043004
103,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223051101
103,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223051101
104,SubTutorial_miraclecollection_01,Receive various rewards by collecting event pts during Miracle Collection!<br>You can receive even more fabulous rewards<br>by achieving a high rank during the event!,,223051504
104,SubTutorial_miraclecollection_02,You will receive Miracle Stars as you play through standard songs!<br>You can then use these Miracle Stars to take on event songs!<br>Event songs reward a lot more event points than standard songs!,,223051504
104,SubTutorial_miraclecollection_03,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223051504
104,SubTutorial_miraclecollection_04,Create teams consisting of specially-selected members with event point bonuses<br>to gain more event points when clearing live shows!<br>Idolizing these members will cause their bonuses to be further increased!,,223051504
104,SubTutorial_miraclecollection_05,Specially-selected members with a Miracle Star bonus<br>increase the amount of Miracle Stars obtained from the event login bonus!<br>Idolizing these members will cause their bonuses to be further increased!,,223051504
104,SubTutorial_miraclecollection_06,"You can obtain various rewards by clearing event goals!<br>Once you have achieved a certain amount of event points, new event stories will be unlocked!",,223051504
105,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223052601
105,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223052601
106,SubTutorial_miraclecollection_01,Receive various rewards by collecting event pts during Miracle Collection!<br>You can receive even more fabulous rewards<br>by achieving a high rank during the event!,,223053104
106,SubTutorial_miraclecollection_02,You will receive Miracle Stars as you play through standard songs!<br>You can then use these Miracle Stars to take on event songs!<br>Event songs reward a lot more event points than standard songs!,,223053104
106,SubTutorial_miraclecollection_03,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223053104
106,SubTutorial_miraclecollection_04,Create teams consisting of specially-selected members with event point bonuses<br>to gain more event points when clearing live shows!<br>Idolizing these members will cause their bonuses to be further increased!,,223053104
106,SubTutorial_miraclecollection_05,Specially-selected members with a Miracle Star bonus<br>increase the amount of Miracle Stars obtained from the event login bonus!<br>Idolizing these members will cause their bonuses to be further increased!,,223053104
106,SubTutorial_miraclecollection_06,"You can obtain various rewards by clearing event goals!<br>Once you have achieved a certain amount of event points, new event stories will be unlocked!",,223053104
107,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223061101
107,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223061101
108,SubTutorial_multievent_01,"In a Teamup Live Show, you can collaborate with up to three other players!<br>Aim for a higher Total Score to obtain more Event pts!",,223061504
108,SubTutorial_multievent_02,Receive various rewards by collecting Event pts during a Teamup Live Show!<br>You can receive even more amazing rewards<br>by achieving a high rank during the event!,,223061504
108,SubTutorial_multievent_03,Create teams with specially-selected members for a higher score in Live Shows!<br>Idolize these members for an even bigger bonus effect!,,223061504
108,SubTutorial_multievent_04,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223061504
108,SubTutorial_multievent_05,"In certain conditions during a Teamup Live Show,<br>you can help other players as a Backup member!<br>You will receive rewards based on your number of appearances.",,223061504
109,SubTutorial_miraclecollection_01,Receive various rewards by collecting event pts during Miracle Collection!<br>You can receive even more fabulous rewards<br>by achieving a high rank during the event!,,223063004
109,SubTutorial_miraclecollection_02,You will receive Miracle Stars as you play through standard songs!<br>You can then use these Miracle Stars to take on event songs!<br>Event songs reward a lot more event points than standard songs!,,223063004
109,SubTutorial_miraclecollection_03,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223063004
109,SubTutorial_miraclecollection_04,Create teams consisting of specially-selected members with event point bonuses<br>to gain more event points when clearing live shows!<br>Idolizing these members will cause their bonuses to be further increased!,,223063004
109,SubTutorial_miraclecollection_05,Specially-selected members with a Miracle Star bonus<br>increase the amount of Miracle Stars obtained from the event login bonus!<br>Idolizing these members will cause their bonuses to be further increased!,,223063004
109,SubTutorial_miraclecollection_06,"You can obtain various rewards by clearing event goals!<br>Once you have achieved a certain amount of event points, new event stories will be unlocked!",,223063004
110,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223071101
110,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223071101
111,SubTutorial_multievent_01,"In a Teamup Live Show, you can collaborate with up to three other players!<br>Aim for a higher Total Score to obtain more Event pts!",,223071505
111,SubTutorial_multievent_02,Receive various rewards by collecting Event pts during a Teamup Live Show!<br>You can receive even more amazing rewards<br>by achieving a high rank during the event!,,223071505
111,SubTutorial_multievent_03,Create teams with specially-selected members for a higher score in Live Shows!<br>Idolize these members for an even bigger bonus effect!,,223071505
111,SubTutorial_multievent_04,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223071505
111,SubTutorial_multievent_05,"In certain conditions during a Teamup Live Show,<br>you can help other players as a Backup member!<br>You will receive rewards based on your number of appearances.",,223071505
112,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223072601
112,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223072601
113,SubTutorial_miraclecollection_01,Receive various rewards by collecting event pts during Miracle Collection!<br>You can receive even more fabulous rewards<br>by achieving a high rank during the event!,,223073104
113,SubTutorial_miraclecollection_02,You will receive Miracle Stars as you play through standard songs!<br>You can then use these Miracle Stars to take on event songs!<br>Event songs reward a lot more event points than standard songs!,,223073104
113,SubTutorial_miraclecollection_03,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223073104
113,SubTutorial_miraclecollection_04,Create teams consisting of specially-selected members with event point bonuses<br>to gain more event points when clearing live shows!<br>Idolizing these members will cause their bonuses to be further increased!,,223073104
113,SubTutorial_miraclecollection_05,Specially-selected members with a Miracle Star bonus<br>increase the amount of Miracle Stars obtained from the event login bonus!<br>Idolizing these members will cause their bonuses to be further increased!,,223073104
113,SubTutorial_miraclecollection_06,"You can obtain various rewards by clearing event goals!<br>Once you have achieved a certain amount of event points, new event stories will be unlocked!",,223073104
115,SubTutorial_multievent_01,"In a Teamup Live Show, you can collaborate with up to three other players!<br>Aim for a higher Total Score to obtain more Event pts!",,223081504
115,SubTutorial_multievent_02,Receive various rewards by collecting Event pts during a Teamup Live Show!<br>You can receive even more amazing rewards<br>by achieving a high rank during the event!,,223081504
115,SubTutorial_multievent_03,Create teams with specially-selected members for a higher score in Live Shows!<br>Idolize these members for an even bigger bonus effect!,,223081504
115,SubTutorial_multievent_06,Specially-selected members with a Login Item Bonus<br>increase the amount of LP Candy (S) obtained from the event login bonus!<br>Idolize these members for an even bigger bonus effect!,,223081504
115,SubTutorial_multievent_04,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223081504
115,SubTutorial_multievent_05,"In certain conditions during a Teamup Live Show,<br>you can help other players as a Backup member!<br>You will receive rewards based on your number of appearances.",,223081504
114,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223081101
114,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223081101
116,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223082601
116,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223082601
117,SubTutorial_miraclecollection_01,Receive various rewards by collecting event pts during Miracle Collection!<br>You can receive even more fabulous rewards<br>by achieving a high rank during the event!,,223083104
117,SubTutorial_miraclecollection_02,You will receive Miracle Stars as you play through standard songs!<br>You can then use these Miracle Stars to take on event songs!<br>Event songs reward a lot more event points than standard songs!,,223083104
117,SubTutorial_miraclecollection_03,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223083104
117,SubTutorial_miraclecollection_04,Create teams consisting of specially-selected members with event point bonuses<br>to gain more event points when clearing live shows!<br>Idolizing these members will cause their bonuses to be further increased!,,223083104
117,SubTutorial_miraclecollection_05,Specially-selected members with a Miracle Star bonus<br>increase the amount of Miracle Stars obtained from the event login bonus!<br>Idolizing these members will cause their bonuses to be further increased!,,223083104
117,SubTutorial_miraclecollection_06,"You can obtain various rewards by clearing event goals!<br>Once you have achieved a certain amount of event points, new event stories will be unlocked!",,223083104
118,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223091101
118,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223091101
119,SubTutorial_multievent_01,"In a Teamup Live Show, you can collaborate with up to three other players!<br>Aim for a higher Total Score to obtain more Event pts!",,223091504
119,SubTutorial_multievent_02,Receive various rewards by collecting Event pts during a Teamup Live Show!<br>You can receive even more amazing rewards<br>by achieving a high rank during the event!,,223091504
119,SubTutorial_multievent_03,Create teams with specially-selected members for a higher score in Live Shows!<br>Idolize these members for an even bigger bonus effect!,,223091504
119,SubTutorial_multievent_06,Specially-selected members with a Login Item Bonus<br>increase the amount of LP Candy (S) obtained from the event login bonus!<br>Idolize these members for an even bigger bonus effect!,,223091504
119,SubTutorial_multievent_04,Create teams with the specially-selected members of each event<br>to more effectively progress through events!,,223091504
119,SubTutorial_multievent_05,"In certain conditions during a Teamup Live Show,<br>you can help other players as a Backup member!<br>You will receive rewards based on your number of appearances.",,223091504
120,SubTutorial_freetour_01,You can obtain Total Event pt Rewards by collecting Event pts.<br>Complete Live Shows to obtain Event pts.,,223092601
120,SubTutorial_freetour_02,You can obtain amazing items by completing event challenges.,,223092601
