_id,_exchangeType,_consumeType,_value,_bannerSpriteName,_name,_exchangeTab,_priority,_displayControlFlag,_masterReleaseLabelId
1110001,4,4,15500001,thumbnail_1110001,Release Celebration Scout Exchange Shop,1,100,0,223041501
1110003,4,4,15500002,thumbnail_1110003,Harajuku Liella! After School ♡ Exchange Shop,1,100,0,223041901
2110001,4,4,15520001,thumbnail_2110001,Exchange shop: Out on the Town,1,100,0,223043002
2110002,4,4,15520002,thumbnail_2110002,Exchange shop: Shopping Streets,1,100,0,223051502
2110003,4,4,15520003,thumbnail_2110003,Exchange shop: Live in Nature,1,100,0,223053102
2110004,4,4,15520004,gacha_banner_2110004,Exchange shop: Glittering Dancers,1,100,0,223061502
2110006,4,4,15520005,gacha_banner_2110006,Exchange shop: Sunny Summer Camp,1,100,0,223063002
2110008,4,4,15520006,gacha_banner_2110008,Exchange shop: Midsummer Mermaid,1,100,0,223071503
2110010,4,4,15520007,gacha_banner_2110010,Exchange shop: Summer Beach Run,1,100,0,223073102
2110012,4,4,15520008,gacha_banner_2110012,Exchange shop: Flowers Bloom in the Summer Night,1,100,0,223081502
2110014,4,4,15520009,gacha_banner_2110014,Exchange shop: Moonlight Silvergrass,1,100,0,223083102
2110016,4,4,15520010,gacha_banner_2110016,Exchange shop: Wandering Yukata,1,100,0,223091502
2110018,4,4,15520011,gacha_banner_2110018,Exchange shop: Trick or Treat!,1,100,0,223093002
2110022,4,4,15520012,gacha_banner_2110022,Exchange Shop: Sunny Marching Band,1,100,0,223103108
2110024,4,4,15520013,gacha_banner_2110024,Exchange Shop: Kitty Cat 🐾 Maids,1,100,0,223111502
2110026,4,4,15520014,gacha_banner_2110026,Exchange Shop: Merry Christmas!Everyone!,1,100,0,223113009
2110028,4,4,15520015,gacha_banner_2110028,Exchange Shop: Santa Claus at the Snow Festival,1,100,0,223121505
2110030,4,4,15520016,gacha_banner_2110030,Exchange Shop: Happy New Year to You!,1,100,0,223123102
2110032,4,4,15520017,gacha_banner_2110032,Exchange Shop: Ice Fairy,1,100,0,224011502
2110034,4,4,15520018,gacha_banner_2110034,Exchange Shop: Maidens Locked in Love,1,100,0,224013102
2110036,4,4,15520019,gacha_banner_2110036,Exchange Shop: Pandemonic Night,1,100,0,224021402
2110038,4,4,15520020,gacha_banner_2110038,Exchange Shop: Y2K♡GALS,1,100,0,224030102
1110004,4,4,15510004,thumbnail_normal_1,Exchange shop: Normal Scout,1,90,0,223043001
1110005,4,4,15510005,thumbnail_normal_1,Exchange shop: Normal Scout,1,90,0,223051501
1110006,4,4,15510006,thumbnail_normal_1,Exchange shop: Normal Scout,1,90,0,223053101
1110007,4,4,15510007,thumbnail_normal_1,Exchange shop: Normal Scout,1,90,0,223061501
1110008,4,4,15510008,thumbnail_normal_1,Exchange shop: Normal Scout,1,90,0,223063001
1110009,4,4,15510009,thumbnail_normal_1,Exchange shop: Normal Scout,1,90,0,223071502
