_id,_name,_category,_effectType,_effectConditionValue,_effectValue,_extraEffectValue,_effectDetail,_wayToUse,_wayToGet,_price,_spriteName,_itemTab,_priority,_expireDate,_itemExpireType,_masterReleaseLabelId
15010001,1x Scout Ticket,9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once.,用途ダミー,入手先ダミー,0,15010001,3,1,,0,1
15010002,10x Scout Ticket,9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times.,用途ダミー,入手先ダミー,0,15010002,3,2,,0,1
15010003,10x Limited-Time Scout Ticket,9,6,0,0,0,A ticket used to Scout (for a limited time only).<br>Allows you to Scout 10 times.,用途ダミー,入手先ダミー,0,15010003,3,3,,2,1
15010004,10x Scout Ticket (SIF Data Link Bonus),9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times from a specific Scout pool.,用途ダミー,入手先ダミー,0,15010002,3,4,,0,1
15010005,10x Scout Ticket (SIFAS Data Link Bonus),9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times from a specific Scout pool.,用途ダミー,入手先ダミー,0,15010002,3,5,,0,223071202
15010006,"1x Normal Scout Ticket (Available until 11:59AM on July 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,6,,0,223063001
15010007,"10x Normal Scout Ticket (Available until 11:59AM on July 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,7,,0,223063001
15010008,"1x Normal Scout Ticket (Available until 11:59AM on July 31st, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,8,,0,223071502
15010009,"10x Normal Scout Ticket (Available until 11:59AM on July 31st, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,9,,0,223071502
15010010,"1x Normal Scout Ticket (Available until 11:59AM on August 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,10,,0,223073101
15010011,"10x Normal Scout Ticket (Available until 11:59AM on August 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,11,,0,223073101
15010012,"1x Normal Scout Ticket (Available until 11:59AM on August 31st, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,12,,0,223081501
