_id,_masterLiveId,_type,_value,_amount,_priority,_getableCount,_masterReleaseLabelId
1,1100101,1,1,60,0,1,1
2,1100201,1,1,60,0,1,1
3,1100301,1,1,60,0,1,1
4,1100401,1,1,60,0,1,1
5,1100501,1,1,60,0,1,1
6,1100601,1,1,60,0,1,1
7,1100701,1,1,60,0,1,1
8,1100801,1,1,60,0,1,1
9,1100901,1,1,60,0,1,1
10,1101001,1,1,60,0,1,1
11,1101101,1,1,60,0,1,1
12,1101201,1,1,60,0,1,1
13,1101401,1,1,60,0,1,1
14,1101501,1,1,60,0,1,1
15,1101601,1,1,60,0,1,1
16,1101701,1,1,60,0,1,1
17,1101901,1,1,60,0,1,1
18,1102001,1,1,60,0,1,1
19,1102101,1,1,60,0,1,1
20,1102201,1,1,60,0,1,1
21,1102301,1,1,60,0,1,1
22,1102401,1,1,60,0,1,1
23,1102501,1,1,60,0,1,1
24,1102601,1,1,60,0,1,1
25,1102701,1,1,60,0,1,1
26,1102801,1,1,60,0,1,1
27,1102901,1,1,60,0,1,1
28,1103001,1,1,60,0,1,1
29,1103101,1,1,60,0,1,1
30,1103201,1,1,60,0,1,1
31,1103301,1,1,60,0,1,1
32,1103501,1,1,60,0,1,1
33,1103701,1,1,60,0,1,1
34,1103801,1,1,60,0,1,1
35,1103901,1,1,60,0,1,1
36,1104001,1,1,60,0,1,1
37,1104101,1,1,60,0,1,1
38,1104201,1,1,60,0,1,1
39,1104401,1,1,60,0,1,1
40,1104501,1,1,60,0,1,1
41,1104601,1,1,60,0,1,1
42,1104701,1,1,60,0,1,1
43,1104801,1,1,60,0,1,1
44,1104901,1,1,60,0,1,1
45,1105001,1,1,60,0,1,1
46,1105401,1,1,60,0,1,1
47,1105501,1,1,60,0,1,1
48,1105701,1,1,60,0,1,1
49,1105801,1,1,60,0,1,1
50,1105901,1,1,60,0,1,1
51,1106001,1,1,60,0,1,1
52,1106101,1,1,60,0,1,1
53,1106201,1,1,60,0,1,1
54,1106301,1,1,60,0,1,1
55,1106401,1,1,60,0,1,1
56,1106601,1,1,60,0,1,1
57,1106701,1,1,60,0,1,1
58,1106801,1,1,60,0,1,1
59,1106901,1,1,60,0,1,1
60,1107001,1,1,60,0,1,1
61,1107101,1,1,60,0,1,1
62,1107201,1,1,60,0,1,1
63,1107301,1,1,60,0,1,1
64,1107401,1,1,60,0,1,1
65,1107501,1,1,60,0,1,1
66,1107601,1,1,60,0,1,1
67,1107701,1,1,60,0,1,1
68,1107801,1,1,60,0,1,1
69,1107901,1,1,60,0,1,1
70,1108001,1,1,60,0,1,1
71,1108101,1,1,60,0,1,1
72,1108201,1,1,60,0,1,1
73,1108301,1,1,60,0,1,1
74,1108401,1,1,60,0,1,1
75,1108501,1,1,60,0,1,1
76,1108601,1,1,60,0,1,1
77,1108701,1,1,60,0,1,1
78,1108801,1,1,60,0,1,1
79,1108901,1,1,60,0,1,1
80,1109001,1,1,60,0,1,1
81,1109101,1,1,60,0,1,1
82,1109201,1,1,60,0,1,1
83,1109301,1,1,60,0,1,1
84,1109401,1,1,60,0,1,1
85,1109501,1,1,60,0,1,1
86,1109601,1,1,60,0,1,1
87,1109701,1,1,60,0,1,1
88,1109801,1,1,60,0,1,1
89,1109901,1,1,60,0,1,1
90,1110001,1,1,60,0,1,1
91,1110101,1,1,60,0,1,1
92,1110201,1,1,60,0,1,1
93,1110301,1,1,60,0,1,1
94,1110401,1,1,60,0,1,1
95,1110501,1,1,60,0,1,1
96,1110601,1,1,60,0,1,1
97,1110701,1,1,60,0,1,1
98,1110801,1,1,60,0,1,1
99,1110901,1,1,60,0,1,1
100,1111001,1,1,60,0,1,1
101,1111101,1,1,60,0,1,1
102,1111201,1,1,60,0,1,1
103,1111301,1,1,60,0,1,1
104,1111401,1,1,60,0,1,1
105,1111501,1,1,60,0,1,1
106,1111601,1,1,60,0,1,1
107,1111701,1,1,60,0,1,1
108,1111801,1,1,60,0,1,1
109,1111901,1,1,60,0,1,1
110,1112001,1,1,60,0,1,1
111,1112101,1,1,60,0,1,1
112,1112301,1,1,60,0,1,1
113,1112401,1,1,60,0,1,1
114,1112601,1,1,60,0,1,1
115,1112701,1,1,60,0,1,1
116,1112801,1,1,60,0,1,1
117,1112901,1,1,60,0,1,1
118,1113001,1,1,60,0,1,1
119,1113101,1,1,60,0,1,1
120,1200101,1,1,60,0,1,1
121,1200201,1,1,60,0,1,1
122,1200301,1,1,60,0,1,1
123,1200401,1,1,60,0,1,1
124,1200501,1,1,60,0,1,1
125,1200601,1,1,60,0,1,1
126,1200701,1,1,60,0,1,1
127,1200801,1,1,60,0,1,1
128,1200901,1,1,60,0,1,1
129,1201001,1,1,60,0,1,1
130,1201101,1,1,60,0,1,1
131,1201201,1,1,60,0,1,1
132,1201301,1,1,60,0,1,1
133,1201401,1,1,60,0,1,1
134,1201501,1,1,60,0,1,1
135,1201601,1,1,60,0,1,1
136,1201701,1,1,60,0,1,1
137,1201801,1,1,60,0,1,1
138,1201901,1,1,60,0,1,1
139,1202001,1,1,60,0,1,1
140,1202101,1,1,60,0,1,1
141,1202201,1,1,60,0,1,1
142,1202301,1,1,60,0,1,1
143,1202401,1,1,60,0,1,1
144,1202501,1,1,60,0,1,1
145,1202601,1,1,60,0,1,1
146,1202701,1,1,60,0,1,1
147,1202801,1,1,60,0,1,1
148,1202901,1,1,60,0,1,1
149,1203001,1,1,60,0,1,1
150,1203101,1,1,60,0,1,1
151,1203201,1,1,60,0,1,1
152,1203301,1,1,60,0,1,1
153,1203401,1,1,60,0,1,1
154,1203501,1,1,60,0,1,1
155,1203601,1,1,60,0,1,1
156,1203701,1,1,60,0,1,1
157,1203801,1,1,60,0,1,1
158,1203901,1,1,60,0,1,1
159,1204001,1,1,60,0,1,1
160,1204101,1,1,60,0,1,1
161,1204201,1,1,60,0,1,1
162,1204301,1,1,60,0,1,1
163,1204401,1,1,60,0,1,1
164,1204501,1,1,60,0,1,1
165,1204601,1,1,60,0,1,1
166,1204701,1,1,60,0,1,1
167,1204801,1,1,60,0,1,1
168,1204901,1,1,60,0,1,1
169,1205001,1,1,60,0,1,1
170,1205101,1,1,60,0,1,1
171,1205201,1,1,60,0,1,1
172,1205301,1,1,60,0,1,1
173,1205401,1,1,60,0,1,1
174,1205501,1,1,60,0,1,1
175,1205601,1,1,60,0,1,1
176,1205701,1,1,60,0,1,1
177,1205801,1,1,60,0,1,1
178,1205901,1,1,60,0,1,1
179,1206001,1,1,60,0,1,1
180,1206101,1,1,60,0,1,1
181,1206201,1,1,60,0,1,1
182,1206301,1,1,60,0,1,1
183,1206401,1,1,60,0,1,1
184,1206501,1,1,60,0,1,1
185,1206601,1,1,60,0,1,1
186,1206701,1,1,60,0,1,1
187,1206801,1,1,60,0,1,1
188,1206901,1,1,60,0,1,1
189,1207001,1,1,60,0,1,1
190,1207101,1,1,60,0,1,1
191,1207201,1,1,60,0,1,1
192,1207301,1,1,60,0,1,1
193,1207401,1,1,60,0,1,1
194,1207501,1,1,60,0,1,1
195,1207601,1,1,60,0,1,1
196,1207701,1,1,60,0,1,1
197,1207801,1,1,60,0,1,1
198,1207901,1,1,60,0,1,1
199,1208001,1,1,60,0,1,1
200,1208101,1,1,60,0,1,1
201,1208201,1,1,60,0,1,1
202,1208301,1,1,60,0,1,1
203,1208401,1,1,60,0,1,1
204,1208601,1,1,60,0,1,1
205,1208701,1,1,60,0,1,1
206,1208801,1,1,60,0,1,1
207,1208901,1,1,60,0,1,1
208,1209001,1,1,60,0,1,1
209,1209101,1,1,60,0,1,1
210,1209201,1,1,60,0,1,1
211,1209301,1,1,60,0,1,1
212,1209401,1,1,60,0,1,1
213,1209501,1,1,60,0,1,1
214,1209601,1,1,60,0,1,1
215,1209701,1,1,60,0,1,1
216,1209801,1,1,60,0,1,1
217,1209901,1,1,60,0,1,1
218,1210001,1,1,60,0,1,1
219,1210101,1,1,60,0,1,1
220,1210201,1,1,60,0,1,1
221,1210301,1,1,60,0,1,1
222,1210401,1,1,60,0,1,1
223,1210501,1,1,60,0,1,1
224,1210601,1,1,60,0,1,1
225,1210701,1,1,60,0,1,1
226,1210801,1,1,60,0,1,1
227,1210901,1,1,60,0,1,1
228,1211101,1,1,60,0,1,1
229,1211201,1,1,60,0,1,1
230,1211301,1,1,60,0,1,1
231,1211401,1,1,60,0,1,1
232,1211501,1,1,60,0,1,1
233,1211601,1,1,60,0,1,1
234,1211701,1,1,60,0,1,1
235,1211801,1,1,60,0,1,1
236,1211901,1,1,60,0,1,1
237,1212001,1,1,60,0,1,1
238,1212101,1,1,60,0,1,1
239,1212201,1,1,60,0,1,1
240,1212301,1,1,60,0,1,1
241,1212401,1,1,60,0,1,1
242,1212501,1,1,60,0,1,1
243,1212601,1,1,60,0,1,1
244,1212701,1,1,60,0,1,1
245,1212801,1,1,60,0,1,1
246,1212901,1,1,60,0,1,1
247,1213001,1,1,60,0,1,1
248,1213101,1,1,60,0,1,1
249,1213201,1,1,60,0,1,1
250,1213301,1,1,60,0,1,1
251,1213401,1,1,60,0,1,1
252,1213501,1,1,60,0,1,1
253,1213601,1,1,60,0,1,1
254,1213701,1,1,60,0,1,1
255,1213801,1,1,60,0,1,1
256,1214201,1,1,60,0,1,1
257,1214301,1,1,60,0,1,1
258,1214401,1,1,60,0,1,1
259,1214501,1,1,60,0,1,1
260,1214601,1,1,60,0,1,1
261,1214701,1,1,60,0,1,1
262,1214801,1,1,60,0,1,1
263,1214901,1,1,60,0,1,1
264,1215001,1,1,60,0,1,1
265,1215101,1,1,60,0,1,1
266,1215201,1,1,60,0,1,1
267,1215301,1,1,60,0,1,1
268,1215401,1,1,60,0,1,1
269,1215601,1,1,60,0,1,1
270,1215701,1,1,60,0,1,1
271,1215801,1,1,60,0,1,1
272,1215901,1,1,60,0,1,1
273,1216001,1,1,60,0,1,1
274,1216101,1,1,60,0,1,1
275,1216201,1,1,60,0,1,1
276,1216301,1,1,60,0,1,1
277,1216401,1,1,60,0,1,1
278,1216501,1,1,60,0,1,1
279,1217201,1,1,60,0,1,1
280,1217301,1,1,60,0,1,1
281,1217401,1,1,60,0,1,1
282,1300101,1,1,60,0,1,1
283,1300201,1,1,60,0,1,1
284,1300301,1,1,60,0,1,1
285,1300401,1,1,60,0,1,1
286,1300501,1,1,60,0,1,1
287,1300601,1,1,60,0,1,1
288,1300701,1,1,60,0,1,1
289,1300801,1,1,60,0,1,1
290,1300901,1,1,60,0,1,1
291,1301001,1,1,60,0,1,1
292,1301101,1,1,60,0,1,1
293,1301201,1,1,60,0,1,1
294,1301301,1,1,60,0,1,1
295,1301401,1,1,60,0,1,1
296,1301501,1,1,60,0,1,1
297,1301601,1,1,60,0,1,1
298,1301701,1,1,60,0,1,1
299,1301801,1,1,60,0,1,1
300,1301901,1,1,60,0,1,1
301,1302001,1,1,60,0,1,1
302,1302101,1,1,60,0,1,1
303,1302201,1,1,60,0,1,1
304,1302301,1,1,60,0,1,1
305,1302401,1,1,60,0,1,1
306,1302501,1,1,60,0,1,1
307,1302601,1,1,60,0,1,1
308,1302701,1,1,60,0,1,1
309,1302801,1,1,60,0,1,1
310,1302901,1,1,60,0,1,1
311,1303001,1,1,60,0,1,1
312,1303101,1,1,60,0,1,1
313,1303201,1,1,60,0,1,1
314,1303401,1,1,60,0,1,1
315,1303501,1,1,60,0,1,1
316,1303601,1,1,60,0,1,1
317,1303701,1,1,60,0,1,1
318,1303801,1,1,60,0,1,1
319,1303901,1,1,60,0,1,1
320,1304001,1,1,60,0,1,1
321,1304101,1,1,60,0,1,1
322,1304201,1,1,60,0,1,1
323,1304301,1,1,60,0,1,1
324,1304401,1,1,60,0,1,1
325,1304501,1,1,60,0,1,1
326,1304601,1,1,60,0,1,1
327,1304701,1,1,60,0,1,1
328,1304801,1,1,60,0,1,1
329,1304901,1,1,60,0,1,1
330,1305001,1,1,60,0,1,1
331,1305101,1,1,60,0,1,1
332,1305201,1,1,60,0,1,1
333,1305301,1,1,60,0,1,1
334,1305401,1,1,60,0,1,1
335,1305501,1,1,60,0,1,1
336,1305601,1,1,60,0,1,1
337,1305701,1,1,60,0,1,1
338,1305801,1,1,60,0,1,1
339,1305901,1,1,60,0,1,1
340,1306001,1,1,60,0,1,1
341,1306101,1,1,60,0,1,1
342,1306201,1,1,60,0,1,1
343,1306301,1,1,60,0,1,1
344,1306401,1,1,60,0,1,1
345,1306501,1,1,60,0,1,1
346,1306601,1,1,60,0,1,1
347,1306701,1,1,60,0,1,1
348,1306801,1,1,60,0,1,1
349,1306901,1,1,60,0,1,1
350,1307001,1,1,60,0,1,1
351,1307101,1,1,60,0,1,1
352,1307201,1,1,60,0,1,1
353,1307301,1,1,60,0,1,1
354,1307401,1,1,60,0,1,1
355,1307501,1,1,60,0,1,1
356,1307601,1,1,60,0,1,1
357,1307701,1,1,60,0,1,1
358,1307801,1,1,60,0,1,1
359,1307901,1,1,60,0,1,1
360,1308001,1,1,60,0,1,1
361,1308101,1,1,60,0,1,1
362,1308201,1,1,60,0,1,1
363,1308301,1,1,60,0,1,1
364,1308401,1,1,60,0,1,1
365,1308501,1,1,60,0,1,1
366,1308601,1,1,60,0,1,1
367,1308701,1,1,60,0,1,1
368,1308801,1,1,60,0,1,1
369,1308901,1,1,60,0,1,1
370,1309001,1,1,60,0,1,1
371,1309101,1,1,60,0,1,1
372,1309201,1,1,60,0,1,1
373,1309401,1,1,60,0,1,1
374,1309501,1,1,60,0,1,1
375,1309601,1,1,60,0,1,1
376,1309701,1,1,60,0,1,1
377,1309801,1,1,60,0,1,1
