_masterMusicId,_valueList,_masterReleaseLabelId
1001,"139,279,418,558",1
1002,"171,341,512,682",1
1003,"173,346,519,692",1
1004,"125,249,374,498",1
1005,"146,293,439,586",1
1006,"130,259,389,518",1
1007,"166,332,499,665",1
1008,"136,272,409,545",1
1009,"170,340,511,681",1
1010,"134,268,403,537",1
1011,"175,351,526,702",1
1012,"160,320,480,640",1
1014,"140,280,421,561",1
1015,"122,244,365,487",1
1016,"142,284,427,569",1
1017,"142,283,425,566",1
1019,"128,256,384,512",1
1020,"185,370,554,739",1
1021,"192,384,576,768",1
1022,"131,263,394,526",1
1023,"151,302,452,603",1
1024,"149,298,447,596",1
1025,"151,302,453,604",1
1026,"138,276,415,553",1
1027,"123,246,370,493",1
1028,"154,308,463,617",1
1029,"144,289,433,578",1
1030,"161,321,482,642",1
1031,"158,317,475,634",1
1032,"134,268,402,536",1
1033,"160,321,481,642",1
1035,"123,246,370,493",1
1037,"158,317,475,634",1
1038,"132,263,395,526",1
1039,"152,304,457,609",1
1040,"109,217,326,434",1
1041,"199,398,596,795",1
1042,"162,323,485,646",1
1044,"110,219,329,438",1
1045,"138,275,413,550",1
1046,"89,179,268,358",1
1047,"90,181,271,362",1
1048,"110,220,331,441",1
1049,"139,278,418,557",1
1050,"129,258,387,516",1
1054,"139,278,417,556",1
1055,"136,271,407,542",1
1057,"198,396,595,793",1
1058,"150,300,450,600",1
1059,"173,346,518,691",1
1060,"139,279,418,558",1
1061,"190,381,571,762",1
1062,"144,288,431,575",1
1063,"131,262,392,523",1
1064,"123,246,370,493",1
1066,"122,243,365,486",1
1067,"88,176,263,351",1
1068,"127,253,380,506",1
1069,"118,236,353,471",1
1070,"158,316,474,632",1
1071,"101,202,303,404",1
1072,"136,271,407,542",1
1073,"158,316,475,633",1
1074,"122,244,365,487",1
1075,"138,276,414,552",1
1076,"135,270,405,540",1
1077,"180,360,541,721",1
1078,"169,337,506,674",1
1079,"127,254,380,507",1
1080,"112,224,337,449",1
