_id,_name,_priority,_masterReleaseLabelId
10001,Animated TV Series Theme Songs,5000,1
10002,Birthday Selection: April Edition,4990,223041504
10003,"Animated TV Series 10th Anniversary Celebration: Love Live! Season 1, Season 2 & Movie Insert Songs",4880,1
10004,Nijigasaki High School Idol Club 5th Live! Where the Rainbow Blooms: Next TOKIMEKI Concert Day 2 Set List,4850,1
10005,Birthday Selection: May Edition,4990,223050103
10006,Birthday Selection: June Edition,5010,223060101
10007,Birthday Selection: July Edition,5060,223070101
10008,Birthday Selection: August Edition,5080,223080104
10009,Birthday Selection: August Edition,5080,223081404
10010,Birthday Selection: September Edition,5100,223090101
10011,Birthday Selection: October Edition,5120,223100101
10013,Aqours EXTRA LoveLive! 2023 - It's a Mugendai☆WORLD: Valentine's Day Concert Day 2 Set List,4870,1
10015,Liella! 3rd LoveLive! Tour - WE WILL!!: Saitama Concert Day 2 Set List,4840,223041505
10020,Songs signaling the coming of SPRING,4995,223041905
10021,Love Live! Hasunosora Girls' High School Idol Club OPENING LIVE EVENT ~Bloom the Dream~ (Night Stage) Set List,5020,223060802
10022,10th Anniversary Celebration: μ's 3rd Anniversary Love Live! Concert Set List,5030,223061601
10023,Love Live! Nijigasaki High School Idol Club Anime Seasons 1 & 2 Soundtrack,5040,223062304
10024,Love Live! Sunshine!! Anime Seasons 1 & 2 and Movie Soundtrack,5050,223062503
10025,Summer Vibes,5070,223070102
10026,Rock Festival Jams,5090,223081403
10027,"Liella! 4th Love Live! Tour ~Brand New Sparkle~ Tokyo Concert Set List (5yncri5e! Edition, Day 2)",5110,223091507
10028,Recommended Championships: Songs that Take You Through 10 Years of History,5300,223102404
10029,Birthday Selection: November Edition,5130,223110104
10030,Birthday Selection: December Edition,5140,223120101
10031,Songs for Christmas,5150,223120109
10032,Great for Love Live! First-timers!,5290,223120604
10033,Birthday Selection: January Edition,5160,224010102
10034,Birthday Selection: February Edition,5170,224020103
10035,Birthday Selection: March Edition,5180,224030110
