_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
150000101,1,3,1,16005003,0,15,1
150000102,1,3,1,17001002,0,2,1
150000103,1,1,1,1,0,500,1
150000104,1,3,1,16005003,0,15,1
150000105,1,3,1,17001002,0,3,1
150000106,1,3,1,30010001,0,100,1
150000107,1,3,1,15010002,0,1,1
150000201,1,1,1,1,0,300,223041502
150000202,1,1,1,1,0,300,223041502
150000203,1,1,1,1,0,300,223041502
150000204,1,1,1,1,0,300,223041502
150000205,1,1,1,1,0,300,223041502
150000206,1,1,1,1,0,300,223041502
150000207,1,1,1,1,0,300,223041502
150000208,1,1,1,1,0,400,223041502
150000209,1,1,1,1,0,500,223041502
150000210,1,2,1,30010009,1,1,223041502
150000301,1,1,1,1,0,300,223071501
150000302,1,1,1,1,0,300,223071501
150000303,1,1,1,1,0,300,223071501
150000304,1,1,1,1,0,300,223071501
150000305,1,1,1,1,0,300,223071501
150000306,1,1,1,1,0,300,223071501
150000307,1,1,1,1,0,300,223071501
150000308,1,1,1,1,0,300,223071501
150000309,1,1,1,1,0,300,223071501
150000310,1,1,1,1,0,300,223071501
151000101,1,1,1,1,0,30,223061402
151000102,1,1,1,1,0,30,223061402
151000103,1,1,1,1,0,30,223061402
151000104,1,1,1,1,0,30,223061402
151000105,1,1,1,1,0,30,223061402
151000106,1,1,1,1,0,30,223061402
151000107,1,1,1,1,0,30,223061402
151000108,1,1,1,1,0,30,223061402
151000109,1,1,1,1,0,30,223061402
151000110,1,1,1,1,0,30,223061402
151000201,1,3,1,19100001,0,100,223062401
151000301,1,3,1,19100001,0,100,223062501
151000401,1,3,1,19100001,0,10,223062502
151000501,1,3,1,19100001,0,10,223070201
151000601,1,3,1,19100001,0,10,223070901
151000701,1,3,1,19100001,0,10,223071601
151000801,1,3,1,19100001,0,10,223072301
151000901,1,3,1,19100001,0,10,223073001
151001001,1,3,1,19100001,0,10,223080601
151001101,1,3,1,19100001,0,10,223081301
151001201,1,3,1,19100001,0,10,223082001
151001301,1,3,1,19100001,0,10,223082701
151001401,1,3,1,19100001,0,10,223090301
151001501,1,3,1,19100001,0,10,223091001
151001601,1,3,1,19100001,0,10,223091701
151001701,1,1,1,1,0,100,223062302
151001801,1,1,1,1,0,400,223081001
151001802,1,1,1,1,0,400,223081001
151001803,1,1,1,1,0,500,223081001
151001804,1,1,1,1,0,400,223081001
151001805,1,1,1,1,0,400,223081001
151001806,1,1,1,1,0,400,223081001
151001807,1,1,1,1,0,500,223081001
151001901,1,1,1,1,0,300,223082501
151002001,1,1,1,1,0,300,223082702
151002101,1,3,1,20001006,0,10,223081201
151002102,1,3,1,20001006,0,10,223081201
151002201,1,3,1,19100001,0,100,223081903
151002202,1,3,1,19100001,0,100,223081903
151002301,1,3,1,19100001,0,100,223082602
151002302,1,3,1,19100001,0,100,223082602
151002401,1,3,1,19100001,0,100,223090901
151002402,1,3,1,19100001,0,100,223090901
151002501,1,3,1,20001007,0,30,223091601
151002601,1,2,1,10040017,1,1,223100501
151002602,1,1,1,1,0,300,223100501
151002603,1,1,1,1,0,300,223100501
151002604,1,1,1,1,0,300,223100501
151002605,1,1,1,1,0,400,223100501
151002606,1,1,1,1,0,300,223100501
151002607,1,1,1,1,0,300,223100501
151002608,1,1,1,1,0,300,223100501
151002609,1,1,1,1,0,300,223100501
151002610,1,1,1,1,0,500,223100501
151002701,1,1,1,1,0,100,223100701
151002702,1,1,1,1,0,100,223100701
151002703,1,1,1,1,0,100,223100701
151002801,1,3,1,20001008,0,10,223102501
151002802,1,3,1,20001008,0,10,223102501
151002803,1,3,1,20001008,0,10,223102501
151002804,1,3,1,20001008,0,10,223102501
151002805,1,3,1,20001008,0,10,223102501
151002806,1,3,1,20001008,0,10,223102501
151002807,1,3,1,20001008,0,10,223102501
151002808,1,3,1,20001008,0,10,223102501
151002809,1,3,1,20001008,0,10,223102501
151002810,1,3,1,20001008,0,10,223102501
151002901,1,3,1,19100001,0,100,223102103
151002902,1,3,1,19100001,0,100,223102103
151003001,1,3,1,19100001,0,100,223111801
151003002,1,3,1,19100001,0,100,223111801
151003101,1,3,1,19100001,0,100,223112501
151003102,1,3,1,19100001,0,100,223112501
151003701,1,3,1,20001010,0,10,223111103
151003702,1,3,1,20001010,0,10,223111103
151003703,1,3,1,20001010,0,10,223111103
151003704,1,3,1,20001010,0,10,223111103
151003705,1,3,1,20001010,0,10,223111103
151003706,1,3,1,20001010,0,10,223111103
151003707,1,3,1,20001010,0,10,223111103
151003401,1,3,1,19100001,0,100,223120902
151003402,1,3,1,19100001,0,100,223120902
151003501,1,1,1,1,0,100,223121504
151003502,1,1,1,1,0,100,223121504
151003503,1,1,1,1,0,100,223121504
151003601,1,3,1,19100001,0,100,223122302
151003602,1,3,1,19100001,0,100,223122302
151003801,1,3,1,20001012,0,10,223120105
151003802,1,3,1,20001012,0,10,223120105
151003803,1,3,1,20001012,0,10,223120105
151003804,1,3,1,20001012,0,10,223120105
151003805,1,3,1,20001012,0,10,223120105
151003806,1,3,1,20001012,0,10,223120105
151003807,1,3,1,20001012,0,10,223120105
151003808,1,3,1,20001012,0,10,223120105
151003809,1,3,1,20001012,0,10,223120105
151003810,1,3,1,20001012,0,10,223120105
151003901,1,1,1,1,0,100,223122804
151003902,1,1,1,1,0,100,223122804
151003903,1,1,1,1,0,100,223122804
151003904,1,1,1,1,0,100,223122804
151003905,1,1,1,1,0,100,223122804
151003906,1,1,1,1,0,100,223122804
151003907,1,1,1,1,0,100,223122804
151003908,1,1,1,1,0,100,223122804
151003909,1,1,1,1,0,100,223122804
