_id,_infoText,_detailText,_masterReleaseLabelId
1110001,Release Celebration Scout,"All members in the Release Celebration Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Release Celebration Scout points according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br>Scout points that can be obtained in the Release Celebration Scout can also be obtained at the following Scout:<br>- Guaranteed UR! Release Celebration Scout<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223041501
1110002,Guaranteed UR! Release Celebration Scout,"Guaranteed UR! Release Celebration Scout can be performed by using 3,000 Paid Love Gems and guarantees at least one member of rarity UR.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Release Celebration Scout points according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br>Scout points that can be obtained in the Guaranteed UR! Release Celebration Scout can also be obtained at the following Scout:<br>- Release Celebration Scout<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223041501
1110003,Spotlight Scout: Harajuku Liella! After School ♡,"All members in Spotlight Scout: Harajuku Liella! After School ♡ are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Harajuku Liella! After School ♡ Scout points according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223041901
1110004,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223043001
1110005,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223051501
1110006,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223053101
1110007,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223061501
1110008,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223063001
1110009,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223071502
1110010,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223073101
