_id,_title,_detail,_type,_parentMasterMissionId,_conditionType,_conditionValues,_conditionNumber,_masterMissionRewardId,_priority,_masterReleaseLabelId
1153001,Log in four days.,Log in four days.,1,0,53,,4,131153001,99999,1
1153002,Log in five days.,Log in five days.,1,1153001,53,,5,131153002,99998,1
1153003,Log in ten days.,Log in ten days.,1,1153002,53,,10,131153003,99997,1
1153004,Log in 15 days.,Log in 15 days.,1,1153003,53,,15,131153004,99996,1
1153005,Log in 20 days.,Log in 20 days.,1,1153004,53,,20,131153005,99995,1
1153006,Log in 30 days.,Log in 30 days.,1,1153005,53,,30,131153006,99994,1
1153007,Log in 40 days.,Log in 40 days.,1,1153006,53,,40,131153007,99993,1
1153008,Log in 50 days.,Log in 50 days.,1,1153007,53,,50,131153008,99992,1
1153009,Log in 60 days.,Log in 60 days.,1,1153008,53,,60,131153009,99991,1
1153010,Log in 70 days.,Log in 70 days.,1,1153009,53,,70,131153010,99990,1
1153011,Log in 80 days.,Log in 80 days.,1,1153010,53,,80,131153011,99989,1
1153012,Log in 90 days.,Log in 90 days.,1,1153011,53,,90,131153012,99988,1
1153013,Log in 100 days.,Log in 100 days.,1,1153012,53,,100,131153013,99987,1
1153014,Log in 150 days.,Log in 150 days.,1,1153013,53,,150,131153014,99986,1
1153015,Log in 200 days.,Log in 200 days.,1,1153014,53,,200,131153015,99985,1
1153016,Log in 250 days.,Log in 250 days.,1,1153015,53,,250,131153016,99984,1
1153017,Log in 300 days.,Log in 300 days.,1,1153016,53,,300,131153017,99983,1
1153018,Log in 400 days.,Log in 400 days.,1,1153017,53,,400,131153018,99982,1
1153019,Log in 500 days.,Log in 500 days.,1,1153018,53,,500,131153019,99981,1
1105001,Clear 30 live shows.,Clear 30 live shows.,1,0,5,,30,131105001,99980,1
1105002,Clear 50 live shows.,Clear 50 live shows.,1,1105001,5,,50,131105002,99979,1
1105003,Clear 100 live shows.,Clear 100 live shows.,1,1105002,5,,100,131105003,99978,1
1105004,Clear 200 live shows.,Clear 200 live shows.,1,1105003,5,,200,131105004,99977,1
1105005,Clear 300 live shows.,Clear 300 live shows.,1,1105004,5,,300,131105005,99976,1
