_masterEventId,_targetId,_pointBonusRatioList,_eventBonusAmountList,_masterReleaseLabelId
108,20030013,"1000,2000,0,0,0","5,10,0,0,0",223061504
108,20040013,"1000,2000,0,0,0","5,10,0,0,0",223061504
108,20090013,"1000,2000,0,0,0","5,10,0,0,0",223061504
111,30010010,"1000,2000,0,0,0","10,20,0,0,0",223071505
111,30100009,"1000,2000,0,0,0","10,20,0,0,0",223071505
111,30020009,"1000,2000,0,0,0","10,20,0,0,0",223071505
111,20030013,"0,0,0,0,0","10,20,0,0,0",223071505
111,20040013,"0,0,0,0,0","10,20,0,0,0",223071505
111,20090013,"0,0,0,0,0","10,20,0,0,0",223071505
115,40070010,"1000,2000,0,0,0","10,20,0,0,0",223081504
115,40080010,"1000,2000,0,0,0","10,20,0,0,0",223081504
115,40010011,"1000,2000,0,0,0","10,20,0,0,0",223081504
115,30010010,"0,0,0,0,0","10,20,0,0,0",223081504
115,30100009,"0,0,0,0,0","10,20,0,0,0",223081504
115,30020009,"0,0,0,0,0","10,20,0,0,0",223081504
119,10060015,"1000,2000,0,0,0","10,20,0,0,0",223091504
119,10070017,"1000,2000,0,0,0","10,20,0,0,0",223091504
119,10080016,"1000,2000,0,0,0","10,20,0,0,0",223091504
119,40070010,"0,0,0,0,0","10,20,0,0,0",223091504
119,40080010,"0,0,0,0,0","10,20,0,0,0",223091504
119,40010011,"0,0,0,0,0","10,20,0,0,0",223091504
131,40010014,"1000,2000,0,0,0","10,20,0,0,0",223121507
131,40020012,"1000,2000,0,0,0","10,20,0,0,0",223121507
131,40080011,"1000,2000,0,0,0","10,20,0,0,0",223121507
131,30050013,"0,0,0,0,0","10,20,0,0,0",223121507
131,30070013,"0,0,0,0,0","10,20,0,0,0",223121507
131,30040012,"0,0,0,0,0","10,20,0,0,0",223121507
