_id,_name,_shortName,_kana,_artist,_detailInfo,_dictionaryReference,_dictionaryComment,_bandCategory,_masterGroupId,_jacketImageName,_masterBgmId,_previewMasterBgmId,_locked,_obtainType,_isAcLevelMusic,_releaseDateTime,_masterReleaseLabelId
1001,Bokura no LIVE Kimi to no LIFE,Bokura no LIVE Kimi to no LIFE,Bokura no LIVE Kimi to no LIFE,μ's,Lyrics: Aki Hata<br>Composition: Takahiro Yamada<br>Arrangement: Kyo Takada,,"μ's monumental first single and the first song in the whole Love Live! series. Its simple yet memorable guitar theme creates a striking, invigorating impression of something new on the horizon. To this day, fans fondly look back on it with the pet name ""Borarara.""",1,100,jacket_1001,31001001,32001001,0,0,0,2010/08/25,1
1002,SUNNY DAY SONG,SUNNY DAY SONG,SUNNY DAY SONG,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Tatsuya Kurauchi,Love Live! The School Idol Movie Soundtrack,A song made by μ's for school idols everywhere. It possesses vigor and affection in its message for those everywhere to broaden their horizons. One stunning scene in the Love Live! film shows all school idols performing this song together.,1,100,jacket_1002,31001002,32001002,0,0,0,2015/07/08,1
1003,A song for You! You? You!!,A song for You! You? You!!,A song for You! You? You!!,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Kyo Takada,,"μ's latest single, an optimistic tune that encourages listeners to embrace friends new and old and set off for the future with the enthusiasm to try new things and the courage to embark on fresh adventures.",1,100,jacket_1003,31001003,32001003,0,0,0,2020/03/25,1
1004,?←HEARTBEAT,?←HEARTBEAT,?←HEARTBEAT,"Eli Ayase (C.V: Yoshino Nanjo), Nozomi Tojo (C.V: Aina Kusuda), and Nico Yazawa (C.V: Sora Tokui)",Lyrics: Aki Hata<br>Composition / Arrangement: Koshiro Honda,Love Live! The School Idol Movie Soundtrack,"A song that chronicles the thrill and subsequent sense of disorientation accompanying μ's sudden rise to stardom. It also talks about running away from fans while set to an upbeat tune. In the movie, the three third-year students dance to it in their school idol costumes.",1,199,jacket_1002,31001004,32001004,0,0,0,2015/07/08,1
1005,After School NAVIGATORS,After School NAVIGATORS,After School NAVIGATORS,"Nico Yazawa (C.V: Sora Tokui), Rin Hoshizora (C.V: Riho Iida), and Hanayo Koizumi (C.V: Yurika Kubo)",Lyrics: Aki Hata<br>Composition / Arrangement: Takahiro Kawata,,"The B-side of the Love Live! Radio Kagai Katsudo: Nikorinpana Theme Song CD. This track features a high-speed deliberation between Nico, Rin, and Hanayo over what to eat. Just as much a story of loved ones as tasty treats, the song culminates in the heartwarming ending of the three girls deciding they're happiest simply to spend time together.",1,199,jacket_1024,31001005,32001005,0,0,0,2012/10/17,1
1006,Anemone Heart,Anemone Heart,Anemone Heart,Kotori Minami (C.V: Uchida Aya) and Umi Sonoda (C.V: Suzuko Mimori),Lyrics: Aki Hata<br>Composition / Arrangement: Kyo Takada,,"A duet sung by two old friends about a secret, ephemeral first love told through the metaphors of anemones and acacia flowers. The bass punctuated with silent beats makes for an authentic techno sound, a perfect match for Kotori and Umi's vocals that are powerful or whispered by turns.",1,199,jacket_1006,31001006,32001006,0,0,0,2013/04/24,1
1007,Angelic Angel,Angelic Angel,Angelic Angel,μ's,Lyrics: Aki Hata<br>Composition: Shintaro Mori<br>Arrangement: Tatsuya Kurauchi,Love Live! The School Idol Movie Soundtrack,A background song in Love Live! The School Idol Movie. This song is memorable for its characters dressed in Japanese-style costumes performed on the backdrop of NYC at night. The emotive guitar and mellow drums represent μ's striking off in a new direction with this unprecedented sound.,1,100,jacket_1007,31001007,32001007,0,0,0,2015/07/01,1
1008,Baby Maybe Koi no Button,Baby Maybe Koi no Button,Baby Maybe Koi no Button,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Akihiko Yamaguchi,,"The B-side of μ's second single with lyrics expressing the ambivalence of wondering whether one should push the love button to take their relationship with a friend to the next level. First, the singer narrates her plight before pushing the button before recounting the results, only to wonder at the end if her partner also pushed the love button.",1,100,jacket_1048,31001008,32001008,0,0,0,2010/12/22,1
1009,Beat in Angel,Beat in Angel,Beat in Angel,Maki Nishikino and Rin Hoshizora,Lyrics: Aki Hata<br>Composition / Arrangement: Tatsuya Kurauchi,,"In this wild song, a doctor (well...no one's checking her medical license!) offers to cure someone who's been bit by the love bug. Starting off with a rapid-fire snare drum and moving into an authentic Eurobeat sound, Rin and Maki deliver a nonstop upbeat performance. In live shows, they wear angel wings on their uniforms and deliver high-power dance moves.",1,199,jacket_1009,31001009,32001009,0,0,0,2013/06/21,1
1010,Cheer Day Cheer Girl!,Cheer Day Cheer Girl!,Cheer Day Cheer Girl!,Printemps,Lyrics: Aki Hata<br>Composition / Arrangement: Hiroshi Sasaki,,"With the energy Printemps is known for, this song packs a cute and upbeat cheerleading feel. Pompoms a-shaking, Honoka, Kotori, and Hanayo banish even the worst self-doubts in the ears of listeners.",1,101,jacket_1010,31001010,32001010,0,0,0,2014/12/25,1
