_masterNavigationId,_spriteName,_message,_masterReleaseLabelId
SubTutorial_FreeLive,MainTutorial_MusicSerect_01,"Select a song and difficulty, and start a live show!<br>The required LP is the same across all difficulties, so choose a difficulty that suits you!<br>The higher the song level, the greater the challenge.",1
SubTutorial_FreeLive,MainTutorial_MusicSerect_02,"If you're having trouble selecting a song, use the ""Recommended"" or ""Pick for Me"" features!<br>Choose a theme from the ""Recommended"" feature and you will get a list of songs that match the theme!",1
SubTutorial_FreeLive,MainTutorial_MusicSerect_03,The top 10 global scores are displayed<br>in the ranking of each song!<br>Let's make it to the top 10!,1
SubTutorial_FreeLive,MainTutorial_MusicSerect_04,You can earn rewards by clearing the song goals for each song!<br>Note that there is a reward for a FULL COMBO clear at each difficulty!,1
SubTutorial_FreeLive,MainTutorial_MusicSerect_05,Check the song details to learn more about each song<br>and to view its clear rewards!,1
SubTutorial_Practice,SubTutorial_Practice_01,"You can use Lesson Notebooks and Gold<br>to level up your club members, increasing their attribute points!<br>Participate in live shows and clear daily goals to gather the necessary items to level up!",1
SubTutorial_SkillPractice,SubTutorial_SkillPractice_01,You can use Skill Notebooks to increase your club members' skill levels!<br>Skills are more effective the higher their skill level!<br>Participate in live shows and clear daily goals to gather the necessary items to level up!,1
SubTutorial_Training,SubTutorial_Training_01,"Raise a club member to her max level, then Idolize her using Light Sticks!<br>Idolizing changes a member's illustration and increases her level cap!",1
SubTutorial_Training,MainTutorial_GachaReslt_02,"When you Scout an already recruited club member, you will obtain Light Sticks instead of the duplicate!<br>Light Sticks are essential items for Idolizing your members!<br>The higher the rarity of the duplicate club member, the more Light Sticks you will obtain!",1
SubTutorial_Mission,SubTutorial_Mission_01,"You can obtain all sorts of rewards by accomplishing goals!<br>There are additional limited goals during events, so give them a shot!",1
SubTutorial_Story,SubTutorial_Story_01,You can enjoy the stories and daily life episodes of the school idols!<br>Stories can be unlocked by collecting event points during ongoing events!<br>Daily life episodes can be unlocked by clearing songs from each group!,1
MainTutorial_Live,MainTutorial_Live_01,"Tap when the rhythm icons overlap!<br>The better your timing, the higher your rating will be, which will give you a better score!<br>Let's aim for an ALL PERFECT!",1
MainTutorial_Live,MainTutorial_Live_02,"If you tap too early or too late, you will get<br>a BAD or MISS rating, causing your HP to decrease!<br>Be careful! The live show will end if your HP reaches 0!",1
MainTutorial_Live,MainTutorial_Live_03,"Start a combo by achieving consecutive PERFECT or GREAT ratings!<br>The higher your combo count, the more your score will increase!<br>Let's aim for a FULL COMBO!",1
MainTutorial_Live,MainTutorial_Live_04,Double note icons should be tapped at the same time!,1
MainTutorial_Live,MainTutorial_Live_05,"For hold icons, press and hold until the second icon appears at the end of the line of light.<br>Be careful not to release your fingers midway, as this will result in a MISS!",1
MainTutorial_Live,MainTutorial_Live_06,"Getting a GOOD on a star icon will reduce your HP!<br>Additionally, if you get a BAD or MISS rating<br>your HP will decrease more than usual, so be careful!",1
MainTutorial_Live,MainTutorial_Live_07,"For swing icons, slide your finger across from the first to the last of the icons!",1
MainTutorial_Live,MainTutorial_Live_08,"Each club member has her own skill, which activates if certain conditions are met!<br>These skills have various effects, such as restoring your HP<br>or increasing your score after a certain number of combos!",1
Event_EmotionalRanking,Event_EmotionalRanking_01,"Choose your best girl and participate in the best girl ranking!<br>In the best girl ranking, players with the same best girl<br>compete with one another based on their event points!",1
Event_EmotionalRanking,Event_EmotionalRanking_02,"You can earn rewards, including titles for your best girl,<br>by winning a top spot in the best girl ranking!",1
SubTutorial_Composition,SubTutorial_Composition_01,"Each song and club member has a smile, pure, or cool attribute!<br>To aim for a high score, try building a team with members that match the attribute of the song!",1
SubTutorial_Composition,SubTutorial_Composition_02,You will get a score bonus each time you tap a rhythm icon on a club member whose group matches the song you're playing!<br>You will also get a score bonus for members who match the attribute of the song!,1
SubTutorial_Composition,SubTutorial_Composition_03,"When a club member is selected as the center, her center skill will be activated!<br>These skills affect all members who meet specific conditions!<br>Let's build a team that maximizes the effect of the center skill!",1
SubTutorial_Composition,SubTutorial_Composition_04,"If you're having trouble building a team, try using the ""Recommended"" feature!<br>Select your preferences such as attributes and skills, and the system will automatically build a team for you!",1
SubTutorial_LiveReady,SubTutorial_LiveReady_01,"You can customize live show settings in the options menu,<br>such as the speed of rhythm icons!<br>Try adjusting the settings to optimize your gaming experience!",1
SubTutorial_LiveReady,SubTutorial_LiveReady_02,"Multiplying your LP cost directly increases the amount of rewards you obtain!<br>Try increasing the cost when you have lots of LP!<br>The more LP you consume, the more chances you will also have to obtain random rewards!",1
SubTutorial_LiveReady,SubTutorial_LiveReady_03,"Once you have cleared a song, you can skip it at the difficulty level you've cleared!<br>Skipping requires Skip Tickets and LP,<br>and you can obtain rewards just as in a normal play!",1
MainTutorial_DeckConfirm,SubTutorial_Composition_01,"Each song and club member has a smile, pure, or cool attribute!<br>To aim for a high score, try building a team with members that match the attribute of the song!",1
MainTutorial_DeckConfirm,SubTutorial_Composition_02,You will get a score bonus each time you tap a rhythm icon on a club member whose group matches the song you're playing!<br>You will also get a score bonus for members who match the attribute of the song!,1
MainTutorial_DeckConfirm,SubTutorial_Composition_03,The club member selected as the center will activate her center skill!<br>These skills affect all members who meet specific conditions!<br>Let's build a team that maximizes the effectiveness of each center skill!,1
MainTutorial_DeckConfirm,SubTutorial_Composition_04,"If you're having trouble building a team, try using the ""Recommended"" feature!<br>Select your preferences such as attributes and skills, and the system will automatically build a team for you!",1
MainTutorial_MainGameCycle,MainTutorial_MainGameCycle_01,"When you clear a live show, you can earn items to power up your members!<br>Participating in live shows will also increase your bond with the club members in your team!",1
MainTutorial_MainGameCycle,MainTutorial_MainGameCycle_02,You can level up your members in lessons by using<br>Lesson Notebooks obtained from live shows and daily Scouts!<br>Attempt more difficult live shows with your leveled-up club members!,1
MainTutorial_MainGameCycle,MainTutorial_MainGameCycle_03,Let's attempt difficult live shows and aim for high scores<br>with your leveled-up club members!,1
MainTutorial_MainGameCycle,MainTutorial_MainGameCycle_04,You can deepen your bond with club members<br>and unlock new chats by participating in live shows!,1
MainTutorial_MainGameCycle,MainTutorial_MainGameCycle_05,"You can obtain various items in the Item Scout once per day, such as Lesson Notebooks and Skill Notebooks!<br>Don't forget to claim your items!",1
MainTutorial_LiveReslt,MainTutorial_LiveReslt_01,"You can obtain rewards when you clear a live show!<br>Additionally, your bond with the club members in your team will increase!<br>As your bond increases, you may receive chat messages from your members!",1
MainTutorial_LiveReslt,MainTutorial_LiveReslt_02,"When your bond with club members increases, you may receive chat messages!<br>You can increase your bond by clearing live shows together!<br>Your bond with the member selected as the center will increase the most!",1
MainTutorial_LiveReslt,MainTutorial_LiveReslt_03,"When your bond with multiple club members increases, you may receive group chat messages!<br>Deepen your bond with lots of members to have fun chatting with them!<br>And who knows? On special occasions, something wonderful may happen...",1
SubTutorial_Chat,SubTutorial_Chat_01,"When your bond with club members increases, you may receive chat messages!<br>You can increase your bond by clearing live shows together!<br>Your bond with the member selected as the center will increase the most!",1
SubTutorial_Chat,SubTutorial_Chat_02,"When your bond with multiple club members increases, you may receive group chat messages!<br>Deepen your bond with lots of members to have fun chatting with them!<br>And who knows? On special occasions, like a member's birthday, something wonderful may happen...",1
MainTutorial_Gacha,MainTutorial_Gacha_01,"You can recruit new club members with Love Gems or Scout Tickets!<br>Each Scout has different contents, so make sure to check the Scout details!<br>Some Scouts are only available for a limited time, so be sure to keep your eyes peeled!",1
MainTutorial_Gacha,MainTutorial_Gacha_02,"You can obtain various items in the Item Scout once per day, such as Lesson Notebooks and Skill Notebooks!<br>Don't forget to claim your items!",1
MainTutorial_GachaReslt,MainTutorial_GachaReslt_01,"Newly joined club members will have a ""NEW"" label!",1
MainTutorial_GachaReslt,MainTutorial_GachaReslt_02,"When you Scout an already recruited club member, you will obtain Light Sticks instead of the duplicate!<br>Light Sticks are essential items for Idolizing your members!<br>The higher the rarity of the duplicate club member, the more Light Sticks you will obtain!",1
