_id,_name,_detailText,_trigger,_triggerValue,_probability,_effectiveMilliSecs,_subTarget,_targetGroupId,_targetSchoolGrade,_effectType,_effectiveValues,_masterReleaseLabelId
10010001,Originator,"For every {0} PERFECTs you get, there is a {1}% chance<br>of your rhythm icon score being raised by {3} for {2}s.",3,"25,24,24","39000,39000,39000","2000,2000,2000",0,0,0,4,"124,126,128",1
10010002,Full Speed Ahead!,"For every {0} rhythm icons, there is a {1}% chance<br>the judgment timing for PERFECTs expands by {3} levels for {2}s.",1,"21,20,20","28000,28000,28000","4000,4000,4000",0,0,0,5,"1,1,1",1
10010003,Positive,"For every {0} rhythm icons, there is a {1}% chance<br>of μ's rhythm icon score being raised by {3} for {2}s.",1,"23,22,22","31000,31000,31000","2000,2000,2000",0,100,0,4,"111,113,115",1
10010004,Pep is Paramount,"For every {0} rhythm icons, there is a {1}% chance<br>of restoring {3} stamina.",1,"24,23,22","29000,29000,29000",,0,0,0,6,"1,1,1",1
10010005,Prep for Practice!,"Every time you get a {0} combo, there is a {1}% chance<br>of your rhythm icon score being raised by {3} for {2}s.",2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10010006,Let's Sing Together,"For every {0} rhythm icons, there is a {1}% chance<br>of your rhythm icon score being raised by {3} for {2}s.",1,"20,19,19","28000,28000,28000","2000,2000,2000",0,0,0,4,"106,108,110",1
10010007,Goodnight Smiles,"Every time you get a {0} combo, there is a {1}% chance<br>of your rhythm icon score being raised by {3} for {2}s.",2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10010008,Out and About Smiles,"For every {0} rhythm icons, there is a {1}% chance<br>of the score gained from PERFECTs being raised by {3} for {2}s.",1,"24,23,23","32000,32000,32000","2000,2000,2000",1,0,0,4,"112,114,116",1
10010009,Prepare to Be Smashed,"Every time you get a {0} combo, there is a {1}% chance<br>of your rhythm icon score being raised by {3} for {2}s.",2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10010010,Ear-to-Ear Smiles!,"For every {0} rhythm icons, there is a {1}% chance<br>of your rhythm icon score being raised by {3} for {2}s.",1,"24,23,23,23,22","32000,32000,32000,32000,32000","2500,2500,2500,3000,3000",0,0,0,4,"112,114,116,118,120",1
10010011,Hearts Aflame,"Every time you get a {0} combo, there is a {1}% chance<br>of your rhythm icon score being raised by {3} for {2}s.",2,"20,19,19,19,18","31000,31000,31000,31000,31000","2500,2500,2500,3000,3000",0,0,0,4,"113,115,117,119,121",1
10010012,I'll Eat You Up!,"For every {0} rhythm icons, there is a {1}% chance<br>the judgment timing for PERFECTs expands by {3} levels for {2}s.",1,"20,19,19,19,18","27000,27000,27000,27000,27000","4500,4500,4500,5000,5000",0,0,0,5,"1,1,1,1,2",1
10010013,Blossoms in Bloom,"For every {0} rhythm icons, there is a {1}% chance<br>of your rhythm icon score being raised by {3} for {2}s.",1,"25,24,24,24,23,23,23,22,22","33000,33000,33000,33000,33000,33000,33000,33000,33000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"114,116,118,120,122,124,126,128,130",1
