_id,_name,_type,_filename,_masterReleaseLabelId
1,ライブ会場(仮称),3,b_st_0004,1
2,音ノ木坂学校前,2,b_adv_0001,1
3,浦の星女学院前,2,b_st_0001,1
4,虹ヶ咲学園前,2,b_st_0002,1
5,結ヶ丘女子高等学校前,2,b_st_0003,1
6,[あなたを見つめる] 上原歩夢,4,b_st_0005,223100302
7,[大人デート♡] 中須かすみ,4,b_st_0006,223101002
8,[あざとくキメちゃう] 桜坂しずく,4,b_st_0007,223101702
9,[特別な恋を探して] 朝香果林,4,b_st_0008,223102402
10,[ふたりで楽しく] 宮下 愛,4,b_st_0009,223103102
11,[ずっとあなたのことを] 近江彼方,4,b_st_0010,223110702
12,[みんなに伝えるラブ] 優木せつ菜,4,b_st_0011,223111402
13,[記憶のなかのあなた] エマ・ヴェルデ,4,b_st_0012,223112102
14,[大切なあなたへ] 天王寺璃奈,4,b_st_0013,223112802
15,[私の印] 三船栞子,4,b_st_0014,223120502
16,[高鳴る気持ち] ミア・テイラー,4,b_st_0015,223121202
17,[最高の恋しましょ！] 鐘 嵐珠,4,b_st_0016,223121902
18,Aqoursステージ「WATER BLUE NEW WORLD」,3,b_st_0017,223101510
19,浦の星女学院（通学路）,2,b_st_0018,223101510
20,内浦（バス停）,2,b_st_0019,223101510
21,浦の星女学院（廊下）,3,b_st_0020,223101510
22,浦の星女学院（校門）,2,b_st_0021,223101510
23,冒険の世界へ,4,b_card_0086,223101510
24,ステージ（屋外）,2,b_st_0022,223102505
25,山道（紅葉）,2,b_st_0023,223102505
26,秋の河原（昼）,2,b_st_0024,223102505
27,BG. Nijigasaki High School Club Room,3,b_adv_0040,223111506
28,BG. Street view of Odaiba,2,b_st_0025,223111506
29,BG. Nijigasaki High School Courtyard (sunny day),2,b_adv_0057,223111506
30,BG. Nijigasaki High School Main Hallway,3,b_adv_0048,223111506
31,BG. Nijigasaki High School Gate (night),2,b_card_0092,223111506
32,市街地(降雪),2,b_st_0026,223120106
33,コテージ（冬、昼）,3,b_st_0027,223120106
34,クリスマスの街,2,b_st_0028,223120106
35,Myojin Kanda (New Year's celebration),2,b_st_0029,223123105
36,Ski resort,2,b_st_0030,223123105
37,Awajima Shrine_Sando Entrance,2,b_card_0056,223123105
38,Onokizaka Gakuin_ClubRoom,3,b_adv_0002,224011505
39,Onokizaka Gakuin_Rooftop,2,b_adv_0005,224011505
40,Onokizaka Gakuin School Gate_Winter,2,b_adv_0093,224011505
41,Onokizaka Gakuin_Classroom,3,b_st_0031,224011505
42,µ's stage [From now on,0,2,0
