_id,_description,_releaseStatus,_scope,_openedAt,_closedAt
1,リリース用,1,,,
223041501,23年04月：リリース記念ガチャ【期間】,1,,2024/02/01 8:00:00,2024/02/15 7:59:59
223041502,23年04月：スタートダッシュログボCP【期間】,1,,2024/01/31 21:00:00,2024/04/29 20:59:59
223041503,23年04月：事前登録・放送CP【期間】,1,,2024/02/01 2:00:00,2024/04/30 20:59:59
223041504,23年04月：おすすめリスト4月【期間】,1,,2023/04/15 2:00:00,2023/04/30 14:59:59
223041505,,1,,2023/04/15 2:00:00,2023/09/15 4:59:59
223041701,23年04月：謎解報酬CP【期間】,1,,2023/04/17 3:00:00,2023/07/31 14:59:59
223041901,23年04月：イベントガチャ_Liella!_1回目【期間】,1,,2023/04/19 3:00:00,2023/04/29 4:59:59
223041902,23年04月：イベントカード_ガチャ_Liella!_1回目★解放★,1,,2023/04/19 3:00:00,
223041903,23年04月：イベント_Liella!_1回目【期間】,1,,2023/04/19 5:00:00,2023/04/29 4:59:59
223041904,23年04月：イベントカード_イベント_Liella!_1回目★解放★,1,,2023/04/19 5:00:00,
223041905,23年04月：おすすめリスト4月②【期間】,1,,2023/04/19 3:00:00,2023/04/30 14:59:59
223042801,23年04月：配信CP【期間】,1,,2023/04/28 3:00:00,2023/07/28 2:59:59
223043001,23年05月：定常ガチャ更新_1回目【期間】,1,,2023/04/30 3:00:00,2023/05/15 2:59:59
223043002,23年05月：イベントガチャ_μ's_1回目【期間】,1,,2023/04/30 3:00:00,2023/05/10 4:59:59
223043003,23年05月：イベントカード_ガチャ_μ's_1回目★解放★,1,,2023/04/30 3:00:00,
223043004,23年05月：イベント_μ's_1回目【期間】,1,,2023/04/30 5:00:00,2023/05/10 4:59:59
223043005,23年05月：イベントカード_イベント_μ's_1回目★解放★,1,,2023/04/30 5:00:00,
223050101,23年05月：誕生ガチャ_渋谷かのん【期間】,1,,2023/04/30 15:00:00,2023/05/05 14:59:59
223050103,23年05月：おすすめリスト5月【期間】,1,,2023/04/30 15:00:00,2023/05/31 14:59:59
223050104,23年05月：誕生ガチャ_カード_渋谷かのん★解放★,1,,2023/04/30 15:00:00,
223050105,23年05月：キャンペーン,1,,2023/05/01 5:00:00,2023/05/12 4:59:59
223050801,,1,,2023/05/08 5:00:00,
223051101,,1,,2023/05/11 5:00:00,2023/05/14 4:59:59
223051102,,1,,2023/05/11 5:00:00,
223051501,,1,,2023/05/15 3:00:00,2023/05/31 2:59:59
223051502,,1,,2023/05/15 3:00:00,2023/05/25 4:59:59
223051503,,1,,2023/05/15 3:00:00,
223051504,,1,,2023/05/15 5:00:00,2023/05/25 4:59:59
223051505,,1,,2023/05/15 5:00:00,
223051506,,1,,2023/05/15 5:00:00,
223052601,,1,,2023/05/26 5:00:00,2023/05/30 4:59:59
223052602,,1,,2023/05/26 5:00:00,
223052603,,1,,2023/05/26 5:00:00,
223052604,,1,,2023/05/26 5:00:00,2023/07/09 4:59:59
223053001,,1,,2023/05/29 15:00:00,2023/06/03 14:59:59
223053002,,1,,2023/05/29 15:00:00,
223053101,,1,,2023/05/31 3:00:00,2023/06/19 2:59:59
223053102,,1,,2023/05/31 3:00:00,2023/06/10 4:59:59
223053103,,1,,2023/05/31 3:00:00,
223053104,,1,,2023/05/31 5:00:00,2023/06/10 4:59:59
223053105,,1,,2023/05/31 5:00:00,
223053106,,1,,2023/05/31 5:00:00,
223053107,,1,,2023/05/31 5:00:00,
223060101,,1,,2023/05/31 15:00:00,2023/06/30 14:59:59
223060801,,1,,2023/06/08 5:00:00,
223060802,,1,,2023/06/08 5:00:00,
223060901,,1,,2023/06/08 15:00:00,2023/06/13 14:59:59
223060902,,1,,2023/06/08 15:00:00,
223061101,,1,,2023/06/11 5:00:00,2023/06/18 4:59:59
223061103,,1,,2023/06/11 3:00:00,2023/06/30 2:59:59
223061104,,1,,2023/06/11 3:00:00,
223061105,,1,,2023/06/11 5:00:00,
223061106,,1,,2023/06/11 5:00:00,
223061107,,1,,2023/06/11 5:00:00,
223061301,,1,,2023/06/12 15:00:00,2023/06/17 14:59:59
223061302,,1,,2023/06/12 15:00:00,
223061303,,1,,2023/06/15 5:00:00,
223061402,,1,,2023/06/13 15:00:00,2023/06/28 14:59:59
223061507,,1,,2023/06/15 5:00:00,
223061508,,1,,2023/06/15 5:00:00,
223061509,,1,,2023/06/15 5:00:00,2023/06/21 4:59:59
223061510,,1,,2023/06/15 7:00:00,2023/06/21 4:59:59
223061601,,1,,2023/06/15 15:00:00,2023/07/15 14:59:59
223061701,,1,,2023/06/16 15:00:00,2023/06/21 14:59:59
223061702,,1,,2023/06/16 15:00:00,
223061501,,1,,2023/06/19 3:00:00,2023/06/30 2:59:59
223061502,,1,,2023/06/19 3:00:00,2023/06/28 4:59:59
223061503,,1,,2023/06/19 3:00:00,
223061504,,1,,2023/06/19 5:00:00,2023/06/28 4:59:59
223061505,,1,,2023/06/19 5:00:00,
223061506,,1,,2023/06/19 5:00:00,
223062001,,1,,2023/06/20 5:00:00,
223062002,,1,,2023/06/24 0:00:00,2023/06/25 14:59:59
223062301,,1,,2023/06/23 3:00:00,2023/06/30 2:59:59
223062302,,1,,2023/06/22 15:00:00,2023/06/25 14:59:59
223062303,,1,,2023/06/22 15:00:00,
223062304,,1,,2023/06/22 15:00:00,
223062401,,1,,2023/06/23 15:00:00,2023/06/24 14:59:59
223062402,,1,,2023/06/23 15:00:00,2023/06/25 14:59:59
223062403,,1,,2023/06/23 15:00:00,2023/12/31 14:59:59
223062404,,1,,2023/06/23 15:00:00,
223062501,,1,,2023/06/24 15:00:00,2023/06/25 14:59:59
223062502,,1,,2023/06/24 15:00:00,2023/07/01 14:59:59
223062503,,1,,2023/06/24 15:00:00,2023/09/30 14:59:59
223062601,,1,,2023/06/26 5:00:00,2023/06/29 4:59:59
223062602,,1,,2023/06/26 5:00:00,
223062603,,1,,2023/06/26 5:00:00,2023/09/25 14:59:59
223062701,,1,,2023/06/27 5:00:00,2023/09/27 4:59:59
223062901,,1,,2023/06/28 15:00:00,2023/07/03 14:59:59
223062902,,1,,2023/06/28 15:00:00,
223063001,,1,,2023/06/30 3:00:00,2023/07/15 2:59:59
223063002,,1,,2023/06/30 3:00:00,2023/07/10 4:59:59
223063003,,1,,2023/06/30 3:00:00,
223063004,,1,,2023/06/30 5:00:00,2023/07/10 4:59:59
223063005,,1,,2023/06/30 5:00:00,
223063006,,1,,2023/06/30 5:00:00,
223063007,,1,,2023/06/30 5:00:00,
223063008,,1,,2023/06/29 15:00:00,
223063009,,1,,2023/06/30 2:00:00,2023/09/30 14:59:59
223070101,,1,,2023/06/30 15:00:00,2023/07/31 14:59:59
223070102,,1,,2023/06/30 15:00:00,2023/08/31 14:59:59
223070201,,1,,2023/07/01 15:00:00,2023/07/08 14:59:59
223070301,,1,,2023/07/03 5:00:00,
223070701,,1,,2023/07/06 15:00:00,
223070702,,1,,2023/07/07 15:00:00,2023/09/06 15:00:00
223070703,,1,,2023/07/07 15:00:00,
223070901,,1,,2023/07/08 15:00:00,2023/07/15 14:59:59
223071001,,1,,2023/07/10 5:00:00,
223071101,,1,,2023/07/11 5:00:00,2023/07/14 4:59:59
223071102,,1,,2023/07/11 5:00:00,
223071201,,1,,2023/07/12 1:00:00,
223071202,,1,,2023/07/12 5:00:00,
223071203,,1,,2023/07/13 5:00:00,
223071301,,1,,2023/07/12 15:00:00,2023/07/17 14:59:59
223071302,,1,,2023/07/12 15:00:00,
223071401,,1,,2023/07/13 15:00:00,
223071501,,1,,2099/07/31 15:00:00,
223071502,,1,,2023/07/15 3:00:00,2023/07/31 2:59:59
223071503,,1,,2023/07/15 3:00:00,2023/07/25 4:59:59
223071504,,1,,2023/07/15 3:00:00,
223071505,,1,,2023/07/15 5:00:00,2023/07/25 4:59:59
223071506,,1,,2023/07/15 5:00:00,
223071507,,1,,2023/07/15 5:00:00,
223071601,,1,,2023/07/15 15:00:00,2023/07/22 14:59:59
223071701,,1,,2023/07/17 5:00:00,
223071702,,1,,2023/07/16 15:00:00,2023/07/21 14:59:59
223071703,,1,,2023/07/16 15:00:00,
223072201,,1,,2023/07/21 15:00:00,2023/07/26 14:59:59
223072202,,1,,2023/07/21 15:00:00,
223072301,,1,,2023/07/22 15:00:00,2023/07/29 14:59:59
223072401,,2,,2023/07/24 5:00:00,
223072601,,1,,2023/07/26 5:00:00,2023/07/30 4:59:59
223072602,,1,,2023/07/26 5:00:00,2023/08/09 4:59:59
223072701,,1,,2023/07/27 8:00:00,2023/07/27 14:59:59
223073001,,1,,2023/07/29 15:00:00,2023/08/05 14:59:59
223073101,,1,,2023/07/31 3:00:00,2023/08/15 2:59:59
223073102,,1,,2023/07/31 3:00:00,2023/08/10 4:59:59
223073103,,1,,2023/07/31 3:00:00,
223073104,,1,,2023/07/31 5:00:00,2023/08/10 4:59:59
223073105,,1,,2023/07/31 5:00:00,
223073106,,1,,2023/07/31 5:00:00,
223073107,,1,,2023/07/31 5:00:00,
223080102,,1,,2023/07/31 15:00:00,2023/08/05 14:59:59
223080103,,1,,2023/07/31 15:00:00,
223080104,,1,,2023/07/31 15:00:00,2023/08/14 4:59:59
223080105,,1,,2023/08/01 5:00:00,2023/08/31 14:59:59
223080301,,1,,2023/08/03 1:00:00,2023/08/06 14:59:59
223080302,,1,,2023/08/03 1:00:00,
223080303,,1,,2023/08/02 15:00:00,2023/08/07 14:59:59
223080304,,1,,2023/08/02 15:00:00,
223080601,,1,,2023/08/05 15:00:00,2023/08/12 14:59:59
223080701,,1,,2023/08/06 15:00:00,2023/08/11 14:59:59
223080702,,1,,2023/08/06 15:00:00,
223080703,,1,,2023/08/07 5:00:00,
223080801,,1,,2023/08/07 15:00:00,2023/08/12 14:59:59
223080802,,1,,2023/08/07 15:00:00,
223081001,,1,,2023/08/09 15:00:00,2023/08/20 14:59:59
223081101,,1,,2023/08/11 5:00:00,2023/08/14 4:59:59
223081102,,1,,2023/08/11 5:00:00,
223081103,,1,,2023/08/11 5:00:00,
223081201,,1,,2023/08/11 15:00:00,2023/08/13 14:59:59
223081202,,1,,2023/08/12 0:30:00,2023/08/13 14:59:59
223081301,,1,,2023/08/12 15:00:00,2023/08/19 14:59:59
223081401,,1,,2023/08/14 1:00:00,
223081402,,1,,2023/08/14 5:00:00,
223081403,,1,,2023/08/14 5:00:00,2023/10/31 14:59:59
223081404,,1,,2023/08/14 5:00:00,2023/08/31 14:59:59
223081501,,1,,2023/08/15 3:00:00,2023/08/31 2:59:59
223081502,,1,,2023/08/15 3:00:00,2023/08/25 4:59:59
223081503,,1,,2023/08/15 3:00:00,
223081504,,1,,2023/08/15 5:00:00,2023/08/25 4:59:59
223081505,,1,,2023/08/15 5:00:00,
223081506,,1,,2023/08/15 5:00:00,
223081901,,1,,2023/08/18 15:00:00,2023/08/20 14:59:59
223081902,,1,,2023/08/18 15:00:00,
223081903,,1,,2023/08/18 15:00:00,2023/08/20 14:59:59
223082001,,1,,2023/08/19 15:00:00,2023/08/26 14:59:59
223082501,,1,,2023/08/24 15:00:00,2023/08/25 14:59:59
223082502,,1,,2023/08/25 2:00:00,2023/08/27 14:59:59
223082601,,1,,2023/08/26 5:00:00,2023/08/30 4:59:59
223082602,,1,,2023/08/25 15:00:00,2023/08/27 14:59:59
223082603,,1,,2023/08/25 15:00:00,2023/08/27 14:59:59
223082604,,1,,2023/08/25 15:00:00,
223082701,,1,,2023/08/26 15:00:00,2023/09/02 14:59:59
223082702,,1,,2023/08/26 15:00:00,2023/08/27 14:59:59
223083101,,1,,2023/08/31 5:00:00,
