_resultCode,_masterDialogId,_resetFlag,_silentFlag,_masterReleaseLabelId
4,ErrorStay,0,0,1
10,Error_ResultCodeMaintenance,1,0,1
12,Error_Game_Version_Updated,0,0,1
24,Error_Friend_Max_Self,0,1,1
25,Error_Friend_Max_Other,0,1,1
26,Error_Friend_Request_Max_Self,0,1,1
27,Error_Friend_Request_Max_Other,0,1,1
28,Error_Friend_Pending_Max_Self,0,1,1
29,Error_Friend_Pending_Max_Other,0,1,1
30,Error_Friend_Already_Request,0,1,1
31,Error_Friend_Already_Pending,0,1,1
32,Error_Friend_Already_Friend,0,1,1
33,Error_Friend_Request_Reject,0,1,1
34,ErrorStay,0,1,1
7,Error_Forbidden,0,1,1
35,Event_ErrorEnded,0,1,1
37,Error_Gift_Expired,0,0,1
36,Error_Mission_Expired,0,0,1
13,NetworkError_ResourceUpdated,1,0,1
22,Error_Item_Expired,0,0,1
42,MultiPenaltyWarning,0,0,223071507
