_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
340012702,1,3,1,30010001,0,10,223111504
340012703,1,3,1,19100001,0,300,223111504
340012704,1,3,1,30010001,0,10,223111504
340012705,1,3,1,16005003,0,200,223111504
340012706,1,1,1,0,0,100,223111504
340012707,1,3,1,17001002,0,100,223111504
340012708,1,3,1,30010001,0,10,223111504
340012709,1,4,1,1,0,1000000,223111504
340012710,1,3,1,15010026,0,1,223111504
340012711,1,3,1,19100001,0,500,223111504
340012712,1,3,1,15010025,0,1,223111504
340012713,1,3,1,17001002,0,200,223111504
340012714,1,3,1,15010025,0,1,223111504
340012715,1,3,1,19100001,0,1000,223111504
340012716,1,3,1,15010025,0,1,223111504
340012717,1,3,1,16005003,0,400,223111504
340012718,1,3,1,15010025,0,1,223111504
340012719,1,4,1,1,0,5000000,223111504
340012720,1,3,1,15010025,0,1,223111504
340012721,1,3,1,19100001,0,1500,223111504
340012722,1,3,1,15010025,0,1,223111504
340012723,1,3,1,17001002,0,400,223111504
340012724,1,3,1,15010025,0,1,223111504
340012725,1,3,1,19100001,0,1800,223111504
340012726,1,3,1,15010025,0,1,223111504
340012727,1,3,1,16005003,0,600,223111504
340012728,1,3,1,15010025,0,1,223111504
340012729,1,4,1,1,0,7000000,223111504
340012730,1,3,1,15010026,0,1,223111504
340012731,1,3,1,30010001,0,100,223111504
340012732,1,3,1,15010025,0,1,223111504
340012733,1,3,1,30010001,0,100,223111504
340012734,1,3,1,15010025,0,1,223111504
340012735,1,3,1,30010001,0,1000,223111504
340012736,1,3,1,15010025,0,1,223111504
340012737,1,3,1,30010001,0,100,223111504
340012738,1,3,1,15010025,0,1,223111504
340012739,1,3,1,30010001,0,100,223111504
340012740,1,3,1,15010025,0,1,223111504
340012741,1,3,1,30010001,0,100,223111504
340012742,1,3,1,15010025,0,1,223111504
340012743,1,3,1,30010001,0,100,223111504
340012744,1,3,1,15010025,0,1,223111504
340012745,1,3,1,30010001,0,100,223111504
340012746,1,3,1,15010025,0,1,223111504
340012747,1,3,1,30010001,0,100,223111504
340012748,1,3,1,15010025,0,1,223111504
340012749,1,3,1,30010001,0,100,223111504
340012750,1,3,1,15010025,0,1,223111504
340012751,1,3,1,19100001,0,100,223111504
340013502,1,3,1,30010001,0,10,224011507
340013502,2,8,1,41000001,0,1,224011507
340013503,1,3,1,19100001,0,300,224011507
340013503,2,8,1,41000002,0,1,224011507
340013504,1,3,1,30010001,0,10,224011507
340013504,2,8,1,41000003,0,1,224011507
340013505,1,3,1,16005003,0,200,224011507
340013505,2,8,1,41000004,0,1,224011507
340013506,1,1,1,0,0,100,224011507
340013506,2,8,1,41000005,0,1,224011507
340013507,1,3,1,17001002,0,100,224011507
340013507,2,8,1,41000006,0,1,224011507
340013508,1,3,1,30010001,0,10,224011507
340013508,2,8,1,41000007,0,1,224011507
340013509,1,4,1,1,0,1000000,224011507
340013509,2,8,1,41000008,0,1,224011507
340013510,1,3,1,15010037,0,1,224011507
340013510,2,8,1,41000009,0,1,224011507
340013511,1,3,1,19100001,0,500,224011507
340013511,2,8,1,41000010,0,1,224011507
340013512,1,3,1,15010036,0,1,224011507
340013512,2,8,1,41000011,0,1,224011507
340013513,1,3,1,17001002,0,200,224011507
340013513,2,8,1,41000012,0,1,224011507
340013514,1,3,1,15010036,0,1,224011507
340013514,2,8,1,41000013,0,1,224011507
340013515,1,3,1,19100001,0,1000,224011507
340013515,2,8,1,41000014,0,1,224011507
340013516,1,3,1,15010036,0,1,224011507
340013516,2,8,1,41000015,0,1,224011507
340013517,1,3,1,16005003,0,400,224011507
340013517,2,8,1,41000016,0,1,224011507
340013518,1,3,1,15010036,0,1,224011507
340013518,2,8,1,41000017,0,1,224011507
340013519,1,4,1,1,0,5000000,224011507
340013519,2,8,1,41000018,0,1,224011507
340013520,1,3,1,15010036,0,1,224011507
340013520,2,8,1,41000019,0,1,224011507
340013521,1,3,1,19100001,0,1500,224011507
340013521,2,8,1,41000020,0,1,224011507
340013522,1,3,1,15010036,0,1,224011507
340013522,2,8,1,41000021,0,1,224011507
340013523,1,3,1,17001002,0,400,224011507
340013523,2,8,1,41000022,0,1,224011507
340013524,1,3,1,15010036,0,1,224011507
340013524,2,8,1,41000023,0,1,224011507
340013525,1,3,1,19100001,0,1800,224011507
340013525,2,8,1,41000024,0,1,224011507
340013526,1,3,1,15010036,0,1,224011507
340013526,2,8,1,41000025,0,1,224011507
340013527,1,3,1,16005003,0,600,224011507
340013527,2,8,1,41000026,0,1,224011507
340013528,1,3,1,15010036,0,1,224011507
340013528,2,8,1,41000027,0,1,224011507
340013529,1,4,1,1,0,7000000,224011507
340013529,2,8,1,41000028,0,1,224011507
340013530,1,3,1,15010037,0,1,224011507
340013530,2,8,1,41000029,0,1,224011507
340013531,1,3,1,30010001,0,100,224011507
340013531,2,8,1,41000030,0,1,224011507
340013532,1,3,1,15010036,0,1,224011507
340013532,2,8,1,41000031,0,1,224011507
340013533,1,3,1,30010001,0,100,224011507
340013533,2,8,1,41000032,0,1,224011507
340013534,1,3,1,15010036,0,1,224011507
340013534,2,8,1,41000033,0,1,224011507
340013535,1,3,1,30010001,0,1000,224011507
340013535,2,8,1,41000034,0,1,224011507
340013536,1,3,1,15010036,0,1,224011507
340013536,2,8,1,41000035,0,1,224011507
340013537,1,3,1,30010001,0,100,224011507
340013537,2,8,1,41000036,0,1,224011507
340013538,1,3,1,15010036,0,1,224011507
340013538,2,8,1,41000037,0,1,224011507
340013539,1,3,1,30010001,0,100,224011507
340013539,2,8,1,41000038,0,1,224011507
340013540,1,3,1,15010036,0,1,224011507
340013540,2,8,1,41000039,0,1,224011507
340013541,1,3,1,30010001,0,100,224011507
340013541,2,8,1,41000040,0,1,224011507
340013542,1,3,1,15010036,0,1,224011507
340013542,2,8,1,41000041,0,1,224011507
340013543,1,3,1,30010001,0,100,224011507
340013543,2,8,1,41000042,0,1,224011507
340013544,1,3,1,15010036,0,1,224011507
340013544,2,8,1,41000043,0,1,224011507
340013545,1,3,1,30010001,0,100,224011507
340013545,2,8,1,41000044,0,1,224011507
340013546,1,3,1,15010036,0,1,224011507
340013546,2,8,1,41000045,0,1,224011507
340013547,1,3,1,30010001,0,100,224011507
340013547,2,8,1,41000046,0,1,224011507
340013548,1,3,1,15010036,0,1,224011507
340013548,2,8,1,41000047,0,1,224011507
340013549,1,3,1,30010001,0,100,224011507
340013549,2,8,1,41000048,0,1,224011507
340013550,1,3,1,15010036,0,1,224011507
340013550,2,8,1,41000049,0,1,224011507
340013551,1,3,1,30010001,0,200,224011507
340013551,2,8,1,41000050,0,1,224011507
340013552,1,3,1,15010036,0,2,224011507
340013552,2,8,1,41000051,0,1,224011507
340013553,1,3,1,30010001,0,200,224011507
340013553,2,8,1,41000052,0,1,224011507
340013554,1,3,1,15010036,0,2,224011507
340013554,2,8,1,41000053,0,1,224011507
340013555,1,3,1,19100001,0,1500,224011507
340013555,2,8,1,41000054,0,1,224011507
340013556,1,3,1,15010036,0,2,224011507
340013556,2,8,1,41000055,0,1,224011507
340013557,1,3,1,30010001,0,200,224011507
340013557,2,8,1,41000056,0,1,224011507
340013558,1,3,1,15010036,0,2,224011507
340013558,2,8,1,41000057,0,1,224011507
340013559,1,3,1,30010001,0,200,224011507
340013559,2,8,1,41000058,0,1,224011507
340013560,1,3,1,15010037,0,1,224011507
340013560,2,8,1,41000059,0,1,224011507
340013561,1,3,1,30010001,0,300,224011507
340013561,2,8,1,41000060,0,1,224011507
340013562,1,3,1,15010036,0,3,224011507
340013562,2,8,1,41000061,0,1,224011507
340013563,1,3,1,30010001,0,300,224011507
340013563,2,8,1,41000062,0,1,224011507
340013564,1,3,1,15010036,0,3,224011507
340013564,2,8,1,41000063,0,1,224011507
340013565,1,3,1,19100001,0,2500,224011507
340013565,2,8,1,41000064,0,1,224011507
340013566,1,3,1,15010036,0,3,224011507
340013566,2,8,1,41000065,0,1,224011507
340013567,1,3,1,30010001,0,300,224011507
340013567,2,8,1,41000066,0,1,224011507
340013568,1,3,1,15010036,0,3,224011507
340013568,2,8,1,41000067,0,1,224011507
340013569,1,3,1,30010001,0,300,224011507
340013569,2,8,1,41000068,0,1,224011507
340013570,1,3,1,15010037,0,1,224011507
340013570,2,8,1,41000069,0,1,224011507
340013571,1,3,1,19100001,0,300,224011507
340013902,1,3,1,30010001,0,10,224021411
340013902,2,8,1,41000001,0,1,224021411
340013903,1,3,1,19100001,0,300,224021411
340013903,2,8,1,41000002,0,1,224021411
340013904,1,3,1,30010001,0,10,224021411
340013904,2,8,1,41000003,0,1,224021411
340013905,1,3,1,16005003,0,200,224021411
340013905,2,8,1,41000004,0,1,224021411
340013906,1,1,1,0,0,100,224021411
340013906,2,8,1,41000005,0,1,224021411
340013907,1,3,1,17001002,0,100,224021411
340013907,2,8,1,41000006,0,1,224021411
340013908,1,3,1,30010001,0,10,224021411
340013908,2,8,1,41000007,0,1,224021411
340013909,1,4,1,1,0,1000000,224021411
340013909,2,8,1,41000008,0,1,224021411
340013910,1,3,1,15010041,0,1,224021411
340013910,2,8,1,41000009,0,1,224021411
340013911,1,3,1,19100001,0,500,224021411
340013911,2,8,1,41000010,0,1,224021411
340013912,1,3,1,15010040,0,1,224021411
340013912,2,8,1,41000011,0,1,224021411
340013913,1,3,1,17001002,0,200,224021411
340013913,2,8,1,41000012,0,1,224021411
340013914,1,3,1,15010040,0,1,224021411
340013914,2,8,1,41000013,0,1,224021411
340013915,1,3,1,19100001,0,1000,224021411
340013915,2,8,1,41000014,0,1,224021411
340013916,1,3,1,15010040,0,1,224021411
340013916,2,8,1,41000015,0,1,224021411
340013917,1,3,1,16005003,0,400,224021411
340013917,2,8,1,41000016,0,1,224021411
340013918,1,3,1,15010040,0,1,224021411
340013918,2,8,1,41000017,0,1,224021411
340013919,1,4,1,1,0,5000000,224021411
340013919,2,8,1,41000018,0,1,224021411
340013920,1,3,1,15010040,0,1,224021411
340013920,2,8,1,41000019,0,1,224021411
340013921,1,3,1,19100001,0,1500,224021411
340013921,2,8,1,41000020,0,1,224021411
340013922,1,3,1,15010040,0,1,224021411
340013922,2,8,1,41000021,0,1,224021411
340013923,1,3,1,17001002,0,400,224021411
340013923,2,8,1,41000022,0,1,224021411
340013924,1,3,1,15010040,0,1,224021411
340013924,2,8,1,41000023,0,1,224021411
340013925,1,3,1,19100001,0,1800,224021411
340013925,2,8,1,41000024,0,1,224021411
340013926,1,3,1,15010040,0,1,224021411
340013926,2,8,1,41000025,0,1,224021411
340013927,1,3,1,16005003,0,600,224021411
340013927,2,8,1,41000026,0,1,224021411
340013928,1,3,1,15010040,0,1,224021411
340013928,2,8,1,41000027,0,1,224021411
340013929,1,4,1,1,0,7000000,224021411
340013929,2,8,1,41000028,0,1,224021411
340013930,1,3,1,15010041,0,1,224021411
340013930,2,8,1,41000029,0,1,224021411
340013931,1,3,1,30010001,0,100,224021411
340013931,2,8,1,41000030,0,1,224021411
340013932,1,3,1,15010040,0,1,224021411
340013932,2,8,1,41000031,0,1,224021411
340013933,1,3,1,30010001,0,100,224021411
340013933,2,8,1,41000032,0,1,224021411
340013934,1,3,1,15010040,0,1,224021411
340013934,2,8,1,41000033,0,1,224021411
340013935,1,3,1,30010001,0,1000,224021411
340013935,2,8,1,41000034,0,1,224021411
340013936,1,3,1,15010040,0,1,224021411
340013936,2,8,1,41000035,0,1,224021411
340013937,1,3,1,30010001,0,100,224021411
340013937,2,8,1,41000036,0,1,224021411
340013938,1,3,1,15010040,0,1,224021411
340013938,2,8,1,41000037,0,1,224021411
340013939,1,3,1,30010001,0,100,224021411
340013939,2,8,1,41000038,0,1,224021411
340013940,1,3,1,15010040,0,1,224021411
340013940,2,8,1,41000039,0,1,224021411
340013941,1,3,1,30010001,0,100,224021411
340013941,2,8,1,41000040,0,1,224021411
340013942,1,3,1,15010040,0,1,224021411
340013942,2,8,1,41000041,0,1,224021411
340013943,1,3,1,30010001,0,100,224021411
340013943,2,8,1,41000042,0,1,224021411
340013944,1,3,1,15010040,0,1,224021411
340013944,2,8,1,41000043,0,1,224021411
340013945,1,3,1,30010001,0,100,224021411
340013945,2,8,1,41000044,0,1,224021411
340013946,1,3,1,15010040,0,1,224021411
340013946,2,8,1,41000045,0,1,224021411
340013947,1,3,1,30010001,0,100,224021411
340013947,2,8,1,41000046,0,1,224021411
340013948,1,3,1,15010040,0,1,224021411
340013948,2,8,1,41000047,0,1,224021411
340013949,1,3,1,30010001,0,100,224021411
340013949,2,8,1,41000048,0,1,224021411
340013950,1,3,1,15010040,0,1,224021411
340013950,2,8,1,41000049,0,1,224021411
340013951,1,3,1,30010001,0,200,224021411
340013951,2,8,1,41000050,0,1,224021411
340013952,1,3,1,15010040,0,2,224021411
340013952,2,8,1,41000051,0,1,224021411
340013953,1,3,1,30010001,0,200,224021411
340013953,2,8,1,41000052,0,1,224021411
340013954,1,3,1,15010040,0,2,224021411
340013954,2,8,1,41000053,0,1,224021411
340013955,1,3,1,19100001,0,1500,224021411
340013955,2,8,1,41000054,0,1,224021411
340013956,1,3,1,15010040,0,2,224021411
340013956,2,8,1,41000055,0,1,224021411
340013957,1,3,1,30010001,0,200,224021411
340013957,2,8,1,41000056,0,1,224021411
340013958,1,3,1,15010040,0,2,224021411
340013958,2,8,1,41000057,0,1,224021411
340013959,1,3,1,30010001,0,200,224021411
340013959,2,8,1,41000058,0,1,224021411
340013960,1,3,1,15010041,0,1,224021411
340013960,2,8,1,41000059,0,1,224021411
340013961,1,3,1,30010001,0,300,224021411
340013961,2,8,1,41000060,0,1,224021411
340013962,1,3,1,15010040,0,3,224021411
340013962,2,8,1,41000061,0,1,224021411
340013963,1,3,1,30010001,0,300,224021411
340013963,2,8,1,41000062,0,1,224021411
340013964,1,3,1,15010040,0,3,224021411
340013964,2,8,1,41000063,0,1,224021411
340013965,1,3,1,19100001,0,2500,224021411
340013965,2,8,1,41000064,0,1,224021411
340013966,1,3,1,15010040,0,3,224021411
340013966,2,8,1,41000065,0,1,224021411
340013967,1,3,1,30010001,0,300,224021411
340013967,2,8,1,41000066,0,1,224021411
340013968,1,3,1,15010040,0,3,224021411
340013968,2,8,1,41000067,0,1,224021411
340013969,1,3,1,30010001,0,300,224021411
340013969,2,8,1,41000068,0,1,224021411
