_albumSeriesId,_albumGroupId,_albumTabId,_orderNum,_name,_nameEn,_layoutType,_thumbnailPath,_masterReleaseLabelId
1,1,1,4,アキバ編,Akihabara,9,series_thumbnail_1_1,1
2,1,1,8,ソロステージ編,Solo Performance,9,series_thumbnail_2_1,1
3,1,1,6,職業編,Vocational,9,series_thumbnail_3_1,1
4,1,1,9,動物編,Animal,3,series_thumbnail_4_1,1
5,1,1,13,8月編(水着)　前半,Summer Uniform (1/2),13,series_thumbnail_5_1,1
6,1,1,14,8月編(水着)　後半,Summer Uniform (2/2),12,series_thumbnail_6_1,1
7,1,1,16,9月編(浴衣)　前半,Yukata (1/2),13,series_thumbnail_7_1,1
8,1,1,17,9月編(浴衣)　後半,Yukata (2/2),12,series_thumbnail_8_1,1
9,1,1,18,10月編(チア)　前半,Sports (1/2),13,series_thumbnail_9_1,1
10,1,1,19,10月編(チア)　後半,Sports (2/2),12,series_thumbnail_10_1,1
11,1,1,20,11月編(エプロン)　前半,Cooking (1/2),13,series_thumbnail_11_1,1
12,1,1,21,11月編(エプロン)　後半,Cooking (2/2),12,series_thumbnail_12_1,1
13,1,1,23,12月編(サンタ)　前半,Winter Holiday (1/2),13,series_thumbnail_13_1,1
14,1,1,24,12月編(サンタ)　後半,Winter Holiday (2/2),12,series_thumbnail_14_1,1
15,1,1,27,1月編(晴れ着)　前半,Kimono (1/2),13,series_thumbnail_15_1,1
16,1,1,28,1月編(晴れ着)　後半,Kimono (2/2),12,series_thumbnail_16_1,1
17,1,1,32,2月編(バレンタイン)前半,Chocolate (1/2),13,series_thumbnail_17_1,1
18,1,1,33,2月編(バレンタイン)後半,Chocolate (2/2),12,series_thumbnail_18_1,1
19,1,1,35,3月編(花)　前半,Blooming (1/2),13,series_thumbnail_19_1,1
20,1,1,36,3月編(花)　後半,Blooming (2/2),12,series_thumbnail_20_1,1
21,1,1,38,4月編(フルーツ)　前半,Fruit Stand (1/2),13,series_thumbnail_21_1,1
22,1,1,39,4月編(フルーツ)　後半,Fruit Stand (2/2),12,series_thumbnail_22_1,1
23,1,1,42,5月編(童話)　前半,Fairy Tale (1/2),13,series_thumbnail_23_1,1
24,1,1,43,5月編(童話)　後半,Fairy Tale (2/2),12,series_thumbnail_24_1,1
25,1,1,44,6月編(ドレス)　前半,Party Dress (1/2),13,series_thumbnail_25_1,1
26,1,1,45,6月編(ドレス)　後半,Party Dress (2/2),12,series_thumbnail_26_1,1
27,1,1,49,7月編(人魚)　前半,Summer Casual (1/2),13,series_thumbnail_27_1,1
28,1,1,50,7月編(人魚)　後半,Summer Casual (2/2),12,series_thumbnail_28_1,1
29,1,1,55,チャイナドレス編　前半,Kung Fu Star (1/2),13,series_thumbnail_29_1,1
30,1,1,56,チャイナドレス編　後半,Kung Fu Star (2/2),12,series_thumbnail_30_1,1
31,1,1,58,カフェメイド編　前半,Cafe Maid (1/2),13,series_thumbnail_31_1,1
32,1,1,59,カフェメイド編　後半,Cafe Maid (2/2),12,series_thumbnail_32_1,1
33,1,1,60,ハロウィン編　前半,Halloween (1/2),13,series_thumbnail_33_1,1
34,1,1,61,ハロウィン編　後半,Halloween (2/2),12,series_thumbnail_34_1,1
35,1,1,64,星座編　前半,Zodiac (1/2),13,series_thumbnail_35_1,1
36,1,1,65,星座編　後半,Zodiac (2/2),12,series_thumbnail_36_1,1
37,1,1,67,雪山編　前半,Winter Sports (1/2),13,series_thumbnail_37_1,1
38,1,1,68,雪山編　後半,Winter Sports (2/2),12,series_thumbnail_38_1,1
39,1,1,73,七福神編　前半,Goddesses of Fortune (1/2),13,series_thumbnail_39_1,1
40,1,1,74,七福神編　後半,Goddesses of Fortune (2/2),12,series_thumbnail_40_1,1
41,1,1,76,バレンタイン編　前半,Valentines (1/2),13,series_thumbnail_41_1,1
42,1,1,77,バレンタイン編　後半,Valentines (2/2),12,series_thumbnail_42_1,1
43,1,1,78,ホワイトデー編　前半,White Day (1/2),13,series_thumbnail_43_1,1
44,1,1,79,ホワイトデー編　後半,White Day (2/2),12,series_thumbnail_44_1,1
45,1,1,82,職業体験編　前半,Vocational Part 2 (1/2),13,series_thumbnail_45_1,1
46,1,1,83,職業体験編　後半,Vocational Part 2 (2/2),12,series_thumbnail_46_1,1
47,1,1,86,サイバー編　前半,Cyber (1/2),13,series_thumbnail_47_1,1
48,1,1,87,サイバー編　後半,Cyber (2/2),12,series_thumbnail_48_1,1
49,1,1,89,手品師編　前半,Magician (1/2),13,series_thumbnail_49_1,1
50,1,1,90,手品師編　後半,Magician (2/2),12,series_thumbnail_50_1,1
51,1,1,94,マリン編　前半,Sailors (1/2),13,series_thumbnail_51_1,1
52,1,1,95,マリン編　後半,Sailors (2/2),12,series_thumbnail_52_1,1
53,1,1,96,プール編　前半,Swimming Pool (1/2),13,series_thumbnail_53_1,1
54,1,1,97,プール編　後半,Swimming Pool (2/2),12,series_thumbnail_54_1,1
55,1,1,98,くのいち編　前半,Kunoichi (1/2),13,series_thumbnail_55_1,1
56,1,1,99,くのいち編　後半,Kunoichi (2/2),12,series_thumbnail_56_1,1
57,1,1,103,動物ふれあい編　前半,Animal Part 2 (1/2),13,series_thumbnail_57_1,1
58,1,1,104,動物ふれあい編　後半,Animal Part 2 (2/2),12,series_thumbnail_58_1,1
59,1,1,107,舞踏会編　前半,Dance Party (1/2),13,series_thumbnail_59_1,1
60,1,1,108,舞踏会編　後半,Dance Party (2/2),12,series_thumbnail_60_1,1
61,1,1,110,クリスマス編　前半,Christmas (1/2),13,series_thumbnail_61_1,1
62,1,1,111,クリスマス編　後半,Christmas (2/2),12,series_thumbnail_62_1,1
63,1,1,115,サーカス編　前半,Circus (1/2),13,series_thumbnail_63_1,1
64,1,1,116,サーカス編　後半,Circus (2/2),12,series_thumbnail_64_1,1
65,1,1,119,妖精の国編　前半,Fairyland (1/2),13,series_thumbnail_65_1,1
66,1,1,120,妖精の国編　後半,Fairyland (2/2),12,series_thumbnail_66_1,1
67,1,1,124,和装クラシック編　前半,Taisho Roman (1/2),13,series_thumbnail_67_1,1
68,1,1,125,和装クラシック編　後半,Taisho Roman (2/2),12,series_thumbnail_68_1,1
69,1,1,127,ベースボール編　前半,Baseball (1/2),13,series_thumbnail_69_1,1
70,1,1,128,ベースボール編　後半,Baseball (2/2),12,series_thumbnail_70_1,1
71,1,1,130,踊り子編　前半,Dancer (1/2),13,series_thumbnail_71_1,1
