_albumUnitSeriesId,_albumSeriesId,_unitId,_position,_masterReleaseLabelId
1,1,58,1,1
2,1,59,2,1
3,1,60,3,1
4,1,61,4,1
5,1,62,5,1
6,1,63,6,1
7,1,64,7,1
8,1,65,8,1
9,1,66,9,1
10,2,67,1,1
11,2,68,2,1
12,2,96,3,1
13,2,71,4,1
14,2,113,5,1
15,2,81,6,1
16,2,108,7,1
17,2,69,8,1
18,2,72,9,1
19,3,78,1,1
20,3,112,2,1
21,3,100,3,1
22,3,93,4,1
23,3,94,5,1
24,3,88,6,1
25,3,80,7,1
26,3,85,8,1
27,3,107,9,1
28,4,103,2,1
29,4,106,1,1
30,4,101,3,1
31,5,128,1,1
32,5,129,2,1
33,5,130,3,1
34,5,131,4,1
35,5,132,5,1
36,6,135,1,1
37,6,136,2,1
38,6,137,3,1
39,6,138,4,1
40,7,145,1,1
41,7,146,2,1
42,7,147,3,1
43,7,148,4,1
44,7,149,5,1
45,8,153,1,1
46,8,154,2,1
47,8,155,3,1
48,8,156,4,1
49,9,161,1,1
50,9,162,2,1
51,9,163,3,1
52,9,164,4,1
53,9,165,5,1
54,10,169,1,1
55,10,170,2,1
56,10,171,3,1
57,10,172,4,1
58,11,176,1,1
59,11,177,2,1
60,11,178,3,1
61,11,179,4,1
62,11,180,5,1
63,12,185,1,1
64,12,186,2,1
65,12,187,3,1
66,12,188,4,1
67,13,192,1,1
68,13,193,2,1
69,13,194,3,1
70,13,195,4,1
71,13,196,5,1
72,14,200,1,1
73,14,201,2,1
74,14,202,3,1
75,14,203,4,1
76,15,209,1,1
77,15,210,2,1
78,15,211,3,1
79,15,212,4,1
80,15,213,5,1
81,16,219,1,1
82,16,220,2,1
83,16,221,3,1
84,16,222,4,1
85,17,245,1,1
86,17,246,2,1
87,17,247,3,1
88,17,248,4,1
89,17,249,5,1
90,18,254,1,1
91,18,255,2,1
92,18,256,3,1
93,18,257,4,1
94,19,261,1,1
95,19,262,2,1
96,19,263,3,1
97,19,264,4,1
98,19,265,5,1
99,20,269,1,1
100,20,270,2,1
101,20,271,3,1
102,20,272,4,1
103,21,278,1,1
104,21,279,2,1
105,21,280,3,1
106,21,281,4,1
107,21,282,5,1
108,22,295,1,1
109,22,296,2,1
110,22,297,3,1
111,22,298,4,1
112,23,311,1,1
113,23,312,2,1
114,23,313,3,1
115,23,314,4,1
116,23,315,5,1
117,24,319,1,1
118,24,320,2,1
119,24,321,3,1
120,24,322,4,1
121,25,326,1,1
122,25,327,2,1
123,25,328,3,1
124,25,329,4,1
125,25,330,5,1
126,26,335,1,1
127,26,336,2,1
128,26,337,3,1
129,26,338,4,1
130,27,354,1,1
131,27,355,2,1
132,27,356,3,1
133,27,357,4,1
134,27,358,5,1
135,28,364,1,1
136,28,365,2,1
137,28,366,3,1
138,28,367,4,1
139,29,374,1,1
140,29,375,2,1
141,29,376,3,1
142,29,377,4,1
143,29,378,5,1
144,30,394,1,1
145,30,395,2,1
146,30,396,3,1
147,30,397,4,1
148,31,404,1,1
149,31,405,2,1
150,31,406,3,1
151,31,407,4,1
152,31,408,5,1
153,32,412,1,1
154,32,413,2,1
155,32,414,3,1
156,32,415,4,1
157,33,421,1,1
158,33,422,2,1
159,33,423,3,1
160,33,424,4,1
161,33,425,5,1
162,34,439,1,1
163,34,440,2,1
164,34,441,3,1
165,34,442,4,1
166,35,452,1,1
167,35,453,2,1
168,35,454,3,1
169,35,455,4,1
170,35,456,5,1
171,36,460,1,1
172,36,461,2,1
173,36,462,3,1
174,36,463,4,1
175,37,472,1,1
176,37,473,2,1
177,37,474,3,1
178,37,475,4,1
179,37,476,5,1
180,38,480,1,1
181,38,481,2,1
182,38,482,3,1
183,38,483,4,1
184,39,503,1,1
185,39,504,2,1
186,39,505,3,1
187,39,506,4,1
188,39,507,5,1
189,40,511,1,1
190,40,512,2,1
191,40,513,3,1
192,40,514,4,1
193,41,527,1,1
194,41,528,2,1
195,41,529,3,1
196,41,530,4,1
197,41,531,5,1
198,42,535,1,1
199,42,536,2,1
200,42,537,3,1
201,42,538,4,1
202,43,545,1,1
203,43,546,2,1
204,43,547,3,1
205,43,548,4,1
206,43,549,5,1
207,44,553,1,1
208,44,554,2,1
209,44,555,3,1
210,44,556,4,1
211,45,570,1,1
212,45,571,2,1
213,45,572,3,1
214,45,573,4,1
215,45,574,5,1
216,46,578,1,1
217,46,579,2,1
218,46,580,3,1
219,46,581,4,1
220,47,588,1,1
221,47,589,2,1
222,47,590,3,1
223,47,591,4,1
224,47,592,5,1
225,48,599,1,1
226,48,600,2,1
227,48,601,3,1
228,48,602,4,1
229,49,607,1,1
230,49,608,2,1
231,49,609,3,1
232,49,610,4,1
233,49,611,5,1
234,50,634,1,1
235,50,635,2,1
236,50,636,3,1
237,50,637,4,1
238,51,641,1,1
239,51,642,2,1
240,51,643,3,1
241,51,644,4,1
242,51,645,5,1
243,52,649,1,1
244,52,650,2,1
245,52,651,3,1
246,52,652,4,1
247,53,657,1,1
248,53,658,2,1
249,53,659,3,1
250,53,660,4,1
251,53,661,5,1
252,54,665,1,1
253,54,666,2,1
254,54,667,3,1
255,54,668,4,1
256,55,673,1,1
257,55,674,2,1
258,55,675,3,1
259,55,676,4,1
260,55,677,5,1
261,56,690,1,1
262,56,691,2,1
263,56,692,3,1
264,56,693,4,1
265,57,699,1,1
266,57,700,2,1
267,57,701,3,1
268,57,702,4,1
269,57,703,5,1
270,58,707,1,1
271,58,708,2,1
272,58,709,3,1
273,58,710,4,1
274,59,724,1,1
275,59,725,2,1
276,59,726,3,1
277,59,727,4,1
278,59,728,5,1
279,60,732,1,1
280,60,733,2,1
281,60,734,3,1
282,60,735,4,1
283,61,742,1,1
284,61,743,2,1
285,61,744,3,1
286,61,745,4,1
287,61,746,5,1
288,62,760,1,1
289,62,761,2,1
290,62,762,3,1
291,62,763,4,1
292,63,770,1,1
293,63,771,2,1
294,63,772,3,1
295,63,773,4,1
296,63,774,5,1
297,64,778,1,1
298,64,779,2,1
299,64,780,3,1
300,64,781,4,1
301,65,797,1,1
302,65,798,2,1
303,65,799,3,1
304,65,800,4,1
305,65,801,5,1
306,66,814,1,1
307,66,815,2,1
308,66,816,3,1
309,66,817,4,1
310,67,822,1,1
311,67,823,2,1
312,67,824,3,1
313,67,825,4,1
314,67,826,5,1
315,68,839,1,1
316,68,840,2,1
317,68,841,3,1
318,68,842,4,1
319,69,850,1,1
320,69,851,2,1
321,69,852,3,1
322,69,853,4,1
323,69,854,5,1
324,70,861,1,1
325,70,862,2,1
326,70,863,3,1
327,70,864,4,1
328,71,869,1,1
329,71,870,2,1
330,71,871,3,1
331,71,872,4,1
332,71,873,5,1
333,72,880,1,1
334,72,881,2,1
335,72,882,3,1
336,72,883,4,1
337,73,887,1,1
338,73,888,2,1
339,73,889,3,1
340,73,890,4,1
341,73,891,5,1
342,74,899,1,1
343,74,900,2,1
344,74,901,3,1
345,74,902,4,1
346,75,907,1,1
347,75,908,2,1
348,75,909,3,1
349,75,910,4,1
350,75,911,5,1
351,76,964,1,1
352,76,965,2,1
353,76,966,3,1
354,76,967,4,1
355,77,980,1,1
356,77,991,2,1
357,77,981,3,1
358,77,992,4,1
359,77,982,5,1
360,78,1003,1,1
361,78,1013,2,1
362,78,1014,3,1
363,78,1004,4,1
364,79,1025,1,1
365,79,1036,2,1
366,79,1026,3,1
367,79,1037,4,1
368,79,1027,5,1
369,80,1047,1,1
370,80,1061,2,1
371,80,1062,3,1
372,80,1048,4,1
373,81,1073,1,1
374,81,1074,2,1
375,81,1088,3,1
376,81,1089,4,1
377,81,1075,5,1
378,82,1118,1,1
379,82,1108,2,1
380,82,1119,3,1
381,82,1109,4,1
382,83,1129,1,1
383,83,1140,2,1
384,83,1130,3,1
385,83,1141,4,1
386,83,1131,5,1
387,84,1152,1,1
388,84,1162,2,1
389,84,1163,3,1
390,84,1153,4,1
391,85,1175,1,1
392,85,1176,2,1
393,85,1186,3,1
394,85,1187,4,1
395,85,1177,5,1
396,86,1207,1,1
397,86,1197,2,1
398,86,1208,3,1
399,86,1198,4,1
400,87,1218,1,1
401,87,1229,2,1
402,87,1219,3,1
403,87,1230,4,1
404,87,1220,5,1
405,88,1241,1,1
406,88,1269,2,1
407,88,1270,3,1
408,88,1242,4,1
409,89,1280,1,1
410,89,1281,2,1
411,89,1291,3,1
412,89,1292,4,1
413,89,1282,5,1
414,90,1312,1,1
415,90,1302,2,1
416,90,1313,3,1
417,90,1303,4,1
418,91,1332,1,1
419,91,1346,2,1
420,91,1333,3,1
421,91,1347,4,1
422,91,1334,5,1
423,92,1366,1,1
424,92,1376,2,1
425,92,1377,3,1
426,92,1367,4,1
427,93,1392,1,1
428,93,1418,2,1
429,93,1393,3,1
430,93,1419,4,1
431,93,1394,5,1
432,94,1432,1,1
433,94,1443,2,1
434,94,1444,3,1
435,94,1433,4,1
436,95,1466,1,1
437,95,1467,2,1
438,95,1477,3,1
439,95,1478,4,1
440,95,1468,5,1
441,96,1519,1,1
442,96,1495,2,1
443,96,1520,3,1
444,96,1496,4,1
445,97,1554,1,1
446,97,1569,2,1
447,97,1555,3,1
448,97,1570,4,1
449,97,1556,5,1
450,98,1591,1,1
451,98,1607,2,1
452,98,1608,3,1
453,98,1592,4,1
454,99,1623,1,1
455,99,1624,2,1
456,99,1643,3,1
457,99,1644,4,1
458,99,1625,5,1
459,100,1655,1,1
460,100,1667,2,1
461,100,1668,3,1
462,100,1656,4,1
463,101,1701,1,1
464,101,1689,2,1
465,101,1690,3,1
466,101,1702,4,1
467,101,1691,5,1
468,102,1737,1,1
469,102,1723,2,1
470,102,1738,3,1
471,102,1724,4,1
472,103,1759,1,1
473,103,1760,2,1
474,103,1775,3,1
475,103,1776,4,1
476,103,1761,5,1
477,104,1807,1,1
478,104,1788,2,1
479,104,1808,3,1
480,104,1789,4,1
481,105,1844,1,1
482,105,1830,2,1
483,105,1831,3,1
484,105,1845,4,1
485,105,1832,5,1
486,106,1898,1,1
487,106,1877,2,1
488,106,1899,3,1
489,106,1878,4,1
490,107,1910,1,1
491,107,1911,2,1
492,107,1930,3,1
493,107,1931,4,1
494,107,1912,5,1
495,108,1942,1,1
496,108,1960,2,1
497,108,1961,3,1
498,108,1943,4,1
499,109,2013,1,1
500,109,1995,2,1
501,109,1996,3,1
502,109,2014,4,1
503,109,1997,5,1
504,110,2045,1,1
505,110,2029,2,1
506,110,2046,3,1
507,110,2030,4,1
508,111,2074,1,1
509,111,2061,2,1
510,111,2062,3,1
511,111,2075,4,1
512,111,2063,5,1
513,112,2107,1,1
514,112,2084,2,1
515,112,2108,3,1
516,112,2085,4,1
517,113,2131,1,1
518,113,2132,2,1
519,113,2151,3,1
520,113,2152,4,1
521,113,2133,5,1
522,114,2182,1,1
523,114,2162,2,1
524,114,2183,3,1
525,114,2163,4,1
526,115,2193,1,1
527,115,2194,2,1
528,115,2205,3,1
529,115,2206,4,1
530,115,2195,5,1
531,116,2229,1,1
532,116,2217,2,1
533,116,2230,3,1
534,116,2218,4,1
535,117,2240,1,1
536,117,2255,2,1
537,117,2241,3,1
538,117,2256,4,1
539,117,2242,5,1
540,118,2267,1,1
541,118,2279,2,1
542,118,2280,3,1
543,118,2268,4,1
