_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
270000001,1,1,2,1,0,500,1
270000002,1,1,2,1,0,50,1
270000003,1,1,2,1,0,50,1
270000004,1,1,2,1,0,50,1
270000005,1,1,2,1,0,50,1
270000006,1,1,2,1,0,50,1
270000007,1,1,2,1,0,50,1
270000008,1,1,2,1,0,100,1
270000009,1,1,2,1,0,100,1
270000010,1,1,2,1,0,500,1
270000011,1,1,2,1,0,50,1
270000012,1,1,2,1,0,50,1
270000013,1,1,2,1,0,50,1
270000014,1,1,2,1,0,50,1
270000015,1,1,2,1,0,50,1
270000016,1,1,2,1,0,50,1
270000017,1,1,2,1,0,100,1
270000018,1,1,2,1,0,100,1
270000019,1,1,2,1,0,500,1
270000020,1,1,2,1,0,50,1
270000021,1,1,2,1,0,50,1
270000022,1,1,2,1,0,50,1
270000023,1,1,2,1,0,50,1
270000024,1,1,2,1,0,50,1
270000025,1,1,2,1,0,50,1
270000026,1,1,2,1,0,100,1
270000027,1,1,2,1,0,100,1
270000999,1,3,1,15010004,0,1,1
