_id,_masterCharacterId,_name,_type,_masterSkillCenterId,_masterSkillId,_rarity,_hp,_smile,_cool,_pure,_illustId,_evolveIllustId,_masterCardLevelId,_uniqueBackgroundFileName,_evolveUniqueBackgroundFileName,_getCategory,_masterCardSysVoiceId,_albumUnitMId,_priority,_nameEn,_masterReleaseLabelId
10010001,1001,発起人,1,100001,10010001,1,2,3767,2968,3265,01001_0001_00,01001_0001_01,1,,,1,0,0,0,Originator,1
10010002,1001,猪突猛進！,2,200001,10010002,1,2,3102,2899,3999,01001_0002_00,01001_0002_01,1,,,1,0,0,0,Full Speed Ahead!,1
10010003,1001,ポジティブ,3,300001,10010003,1,2,3235,3774,2991,01001_0003_00,01001_0003_01,1,,,1,0,0,0,Positive,1
10010004,1001,元気が取り柄,2,200001,10010004,1,2,3005,3085,3910,01001_0004_00,01001_0004_01,1,,,1,0,0,0,Energy Is My Forte,1
10010005,1001,練習準備！,3,300001,10010005,1,2,3130,3634,3236,01001_0005_00,01001_0005_01,1,,,1,0,0,0,Prep for Practice!,1
10010006,1001,一緒に歌おう,1,100001,10010006,1,2,3600,3113,3287,01001_0006_00,01001_0006_01,1,,,1,0,0,0,Let's Sing Together,1
10010007,1001,おやすみ笑顔,2,200001,10010007,1,2,3224,3035,3741,01001_0007_00,01001_0007_01,1,,,1,0,0,0,Good Night Smiles,1
10010008,1001,おでかけ笑顔,1,100001,10010008,1,2,3720,3337,2943,01001_0008_00,01001_0008_01,1,,,1,0,0,0,Out and About Smiles,1
10010009,1001,スマッシュするよ,3,300001,10010009,1,2,2992,4077,2931,01001_0009_00,01001_0009_01,1,,,1,0,0,0,Get Ready to SMASH!,1
10010010,1001,笑顔全開！,1,100002,10010010,2,3,4599,3417,3484,01001_0010_00,01001_0010_01,2,b_card_0001,b_card_0074,1,0,0,0,Ear-to-Ear Smile!,1
10010011,1001,炎の心,2,200002,10010011,2,3,3344,3471,4685,01001_0011_00,01001_0011_01,2,b_adv_0022,b_card_0031,1,0,0,0,Hearts Aflame,1
10010012,1001,たべちゃうぞ？,3,300002,10010012,2,3,3665,4185,3650,01001_0012_00,01001_0012_01,2,b_card_0002,b_card_0039,1,0,0,0,I'm Gonna Eat You Up!,1
10010013,1001,満開の桜,1,100005,10010013,3,4,4769,3962,4269,01001_0013_00,01001_0013_01,3,,,1,10010013,0,0,Cherry Blossoms in Full Bloom,1
10010014,1001,ライスフルーツ！？,3,300003,10010014,3,4,4263,4693,4044,01001_0014_00,01001_0014_01,3,,,4,0,2051,0,Rice Fruit?!,1
10020001,1002,クォーター,1,100001,10020001,1,2,3867,3108,3025,01002_0001_00,01002_0001_01,1,,,1,0,0,0,Quarter,1
10020002,1002,頭脳明晰,2,200001,10020002,1,2,3196,2943,3861,01002_0002_00,01002_0002_01,1,,,1,0,0,0,Clearheaded,1
10020003,1002,みんなの人気者,3,300001,10020003,1,2,2962,3805,3233,01002_0003_00,01002_0003_01,1,,,1,0,0,0,A Fan Favorite,1
10020004,1002,運動神経抜群,2,200001,10020004,1,2,3166,2807,4027,01002_0004_00,01002_0004_01,1,,,1,0,0,0,Exceptional Athlete,1
10020005,1002,責任感,3,300001,10020005,1,2,3063,3608,3329,01002_0005_00,01002_0005_01,1,,,1,0,0,0,Sense of Duty,1
10020006,1002,生徒会長,1,100001,10020006,1,2,3926,2840,3234,01002_0006_00,01002_0006_01,1,,,1,0,0,0,Student Council President,1
10020007,1002,眠りにつく前,2,200001,10020007,1,2,3083,3008,3909,01002_0007_00,01002_0007_01,1,,,1,0,0,0,Before Sleeping,1
10020008,1002,おでかけするわ！,1,100001,10020008,1,2,4015,2866,3119,01002_0008_00,01002_0008_01,1,,,1,0,0,0,I'm Heading Out!,1
10020009,1002,応援しましょ♪,3,300001,10020009,1,2,3195,4009,2796,01002_0009_00,01002_0009_01,1,,,1,0,0,0,Let's Cheer Them On!,1
10020010,1002,ハラショー♪,1,100002,10020010,2,3,4487,3621,3392,01002_0010_00,01002_0010_01,2,b_card_0001,b_card_0074,1,0,0,0,Harasho!,1
10020011,1002,エリーの懺悔室,2,200002,10020011,2,3,3783,3385,4332,01002_0011_00,01002_0011_01,2,b_card_0008,b_card_0033,1,0,0,0,Eli's Confessional,1
10020012,1002,狐の嫁入り,3,300002,10020012,2,3,3656,4281,3563,01002_0012_00,01002_0012_01,2,b_card_0011,b_card_0039,1,0,0,0,Sun Shower,1
10020013,1002,夕暮れの生徒会室,3,300004,10020013,3,4,3954,5270,3776,01002_0013_00,01002_0013_01,3,,,1,10020013,0,0,Evening Student Council Room,1
10020014,1002,亜里沙のイタズラ？,2,200003,10020014,3,4,3958,4091,4951,01002_0014_00,01002_0014_01,3,,,4,0,1987,0,Arisa's Mischief?,1
10030001,1003,おっとり柔らか,1,100001,10030001,1,2,3940,2872,3188,01003_0001_00,01003_0001_01,1,,,1,0,0,0,Soft and Gentle,1
10030002,1003,実はメイドさん,2,200001,10030002,1,2,2938,3073,3989,01003_0002_00,01003_0002_01,1,,,1,0,0,0,Actually a Maid,1
10030003,1003,ことりと遊ぼう♪,3,300001,10030003,1,2,3202,3717,3081,01003_0003_00,01003_0003_01,1,,,1,0,0,0,Come Play with Kotori!,1
10030004,1003,準備はできてる！,2,200001,10030004,1,2,3200,3042,3758,01003_0004_00,01003_0004_01,1,,,1,0,0,0,I'm Ready to Go!,1
10030005,1003,いっくよー！,3,300001,10030005,1,2,3209,3635,3156,01003_0005_00,01003_0005_01,1,,,1,0,0,0,Here We Go!,1
10030006,1003,♡のサイン,1,100001,10030006,1,2,3764,2937,3299,01003_0006_00,01003_0006_01,1,,,1,0,0,0,Heart Sign,1
10030007,1003,おねむな時間,2,200001,10030007,1,2,2987,2914,4099,01003_0007_00,01003_0007_01,1,,,1,0,0,0,Sleepy Time,1
10030008,1003,おでかけおめかし,1,100001,10030008,1,2,4028,2893,3079,01003_0008_00,01003_0008_01,1,,,1,0,0,0,Dressing Up for an Outing,1
10030009,1003,コートを駆け抜けて,3,300001,10030009,1,2,3323,3624,3053,01003_0009_00,01003_0009_01,1,,,1,0,0,0,Flying Down the Court,1
10030010,1003,癒しの女神,1,100002,10030010,2,3,4500,3609,3391,01003_0010_00,01003_0010_01,2,b_card_0001,b_card_0075,1,0,0,0,Goddess of Healing,1
10030011,1003,素敵なお菓子,2,200002,10030011,2,3,3668,3662,4170,01003_0011_00,01003_0011_01,2,b_adv_0022,b_card_0018,1,0,0,0,Wonderful Treats,1
10030012,1003,ひつじのきもち,3,300002,10030012,2,3,3667,4383,3450,01003_0012_00,01003_0012_01,2,b_card_0002,b_card_0039,1,0,0,0,Feeling Like a Sheep,1
10030013,1003,いらっしゃいませ♪,2,200004,10030013,3,4,3725,3960,5315,01003_0013_00,01003_0013_01,3,,,1,10030013,0,0,Welcome!,1
10030014,1003,間違えないで〜！,3,300003,10030014,3,4,4030,5285,3685,01003_0014_00,01003_0014_01,3,,,4,0,2052,0,Don't Mess Up!,1
10040001,1004,大和撫子,1,100001,10040001,1,2,3815,3193,2992,01004_0001_00,01004_0001_01,1,,,1,0,0,0,The Yamato Nadeshiko,1
10040002,1004,日舞の家元,2,200001,10040002,1,2,3061,3124,3815,01004_0002_00,01004_0002_01,1,,,1,0,0,0,Master of Japanese Dance,1
10040003,1004,凛として,3,300001,10040003,1,2,3081,3934,2985,01004_0003_00,01004_0003_01,1,,,1,0,0,0,Dignified,1
10040004,1004,厳しい練習,2,200001,10040004,1,2,3114,2955,3931,01004_0004_00,01004_0004_01,1,,,1,0,0,0,Harsh Training,1
10040005,1004,身体をほぐす,3,300001,10040005,1,2,2861,4081,3058,01004_0005_00,01004_0005_01,1,,,1,0,0,0,Loosen Up,1
10040006,1004,撫子の微笑,1,100001,10040006,1,2,3732,3209,3059,01004_0006_00,01004_0006_01,1,,,1,0,0,0,The Ideal Smile,1
10040007,1004,おやすみの挨拶,2,200001,10040007,1,2,3055,3273,3672,01004_0007_00,01004_0007_01,1,,,1,0,0,0,Good Night Greeting,1
10040008,1004,ハイカーのやまびこ,1,100001,10040008,1,2,3796,2919,3285,01004_0008_00,01004_0008_01,1,,,1,0,0,0,Hiker's Echo,1
10040009,1004,白衣でキリッと,3,300001,10040009,1,2,3022,3641,3337,01004_0009_00,01004_0009_01,1,,,1,0,0,0,Sharp in a White Coat,1
10040010,1004,精神統一,1,100002,10040010,2,3,4452,3673,3375,01004_0010_00,01004_0010_01,2,b_card_0001,b_card_0013,1,0,0,0,A Focused Spirit,1
10040011,1004,ラブバインド,2,200002,10040011,2,3,3471,3618,4411,01004_0011_00,01004_0011_01,2,b_adv_0022,b_card_0028,1,0,0,0,Love Bind,1
10040012,1004,幸運の白うさぎ,3,300002,10040012,2,3,3522,4678,3300,01004_0012_00,01004_0012_01,2,b_card_0004,b_card_0039,1,0,0,0,Lucky White Rabbit,1
10040013,1004,無心へと,1,100004,10040013,3,4,4773,4158,4069,01004_0013_00,01004_0013_01,3,,,1,10040013,0,0,Toward Enlightenment,1
10040014,1004,気持ちは一つ,2,200003,10040014,3,4,4251,4013,4736,01004_0014_00,01004_0014_01,3,,,4,0,2053,0,As One,1
10050001,1005,体育会系,1,100001,10050001,1,2,3821,3019,3160,01005_0001_00,01005_0001_01,1,,,1,0,0,0,Athletic,1
10050002,1005,いつでも明るく,2,200001,10050002,1,2,3180,2892,3928,01005_0002_00,01005_0002_01,1,,,1,0,0,0,Always Be Cheerful,1
