_id,_masterChatId,_roomId,_chapterId,_scriptKey,_title,_firstLineValue,_noticeValue,_appearStampIdList,_masterReleaseLabelId
100100101,1001,1,100100101,1001_1_1,穂乃果 DM,穂乃果: こんばんはー！,穂乃果: こんばんはー！,"stamp_00_00000_0005,stamp_00_00000_0007,stamp_00_00000_0095",1
100100102,1001,1,100100102,1001_1_2,穂乃果 DM,穂乃果さんがスタンプを送信しました,穂乃果さんがスタンプを送信しました,"stamp_00_00000_0001,stamp_00_00000_0026,stamp_00_00000_0049,stamp_00_00000_0050,stamp_00_00000_0059,stamp_00_00000_0083,stamp_00_00000_0085",1
100100103,1001,1,100100103,1001_1_3,穂乃果 DM,穂乃果さんがログインしました,穂乃果さんがログインしました,"stamp_00_00000_0017,stamp_00_00000_0039,stamp_00_00000_0053,stamp_00_00000_0060",1
100100104,1001,1,100100104,1001_1_4,穂乃果 DM,穂乃果さんがスタンプを送信しました,穂乃果さんがスタンプを送信しました,"stamp_00_00000_0001,stamp_00_00000_0009,stamp_00_00000_0011,stamp_00_00000_0019,stamp_00_00000_0021,stamp_00_00000_0029,stamp_00_00000_0036,stamp_00_00000_0038,stamp_00_00000_0078",1
100100105,1001,1,100100105,1001_1_5,穂乃果 DM,穂乃果: A-RISEの新曲のPV、もう見た？,穂乃果: A-RISEの新曲のPV、もう見た？,"stamp_00_00000_0006,stamp_00_00000_0009,stamp_00_00000_0019,stamp_00_00000_0035,stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0061,stamp_00_00000_0085,stamp_01_01001_0003",1
100100106,1001,1,100100106,1001_1_6,穂乃果 DM,穂乃果: ねー！　聞いて聞いて、大ニュース！,穂乃果: ねー！　聞いて聞いて、大ニュース！,"stamp_00_00000_0004,stamp_00_00000_0036,stamp_00_00000_0048,stamp_00_00000_0054,stamp_00_00000_0061,stamp_00_00000_0091",1
100100107,1001,1,100100107,1001_1_7,穂乃果 DM,穂乃果さんがログインしました,穂乃果さんがログインしました,"stamp_00_00000_0009,stamp_00_00000_0052,stamp_00_00000_0079",1
100100108,1001,1,100100108,1001_1_8,穂乃果 DM,穂乃果: ただいま～！,穂乃果: ただいま～！,"stamp_00_00000_0036,stamp_00_00000_0038,stamp_00_00000_0046,stamp_00_00000_0049,stamp_00_00000_0078",1
100100109,1001,1,100100109,1001_1_9,穂乃果 DM,穂乃果さんがログインしました,穂乃果さんがログインしました,"stamp_00_00000_0016,stamp_00_00000_0021,stamp_00_00000_0037,stamp_00_00000_0039,stamp_00_00000_0077",1
100100110,1001,1,100100110,1001_1_10,穂乃果 DM,穂乃果: 予定確認してきたよー！,穂乃果: 予定確認してきたよー！,"stamp_00_00000_0019,stamp_00_00000_0020,stamp_00_00000_0021,stamp_00_00000_0037,stamp_00_00000_0050,stamp_00_00000_0060",1
100100111,1001,1,100100111,1001_1_11,穂乃果 DM,穂乃果さんがスタンプを送信しました,穂乃果さんがスタンプを送信しました,"stamp_00_00000_0039,stamp_00_00000_0041,stamp_00_00000_0059,stamp_00_00000_0081,stamp_00_00000_0091",1
100100112,1001,1,100100112,1001_1_12,穂乃果 DM,穂乃果さんがログインしました,穂乃果さんがログインしました,"stamp_00_00000_0009,stamp_00_00000_0054,stamp_00_00000_0059,stamp_00_00000_0085",1
100100113,1001,1,100100113,1001_1_13,穂乃果 DM,穂乃果さんがログインしました,穂乃果さんがログインしました,"stamp_00_00000_0004,stamp_00_00000_0040,stamp_00_00000_0048,stamp_00_00000_0049,stamp_00_00000_0059,stamp_00_00000_0078,stamp_00_00000_0085,stamp_00_00000_0089,stamp_00_00000_0091,stamp_00_00000_0095",1
100100114,1001,1,100100114,1001_1_14,穂乃果 DM,穂乃果: もうライブ会場に着いた？,穂乃果: もうライブ会場に着いた？,"stamp_00_00000_0035,stamp_00_00000_0077,stamp_00_00000_0084,stamp_00_00000_0090",1
100100115,1001,1,100100115,1001_1_15,穂乃果 DM,穂乃果: 今日はライブに来てくれて、本当にありがとう！,穂乃果: 今日はライブに来てくれて、本当にありがとう！,"stamp_00_00000_0007,stamp_00_00000_0009,stamp_00_00000_0029,stamp_00_00000_0059,stamp_00_00000_0066,stamp_00_00000_0077",1
100100201,1001,2,100100201,1001_2_1,穂乃果 お誕生日2023,穂乃果さんがログインしました,穂乃果さんがログインしました,"stamp_00_00000_0009,stamp_00_00000_0048,stamp_00_00000_0053,stamp_00_00000_0060,stamp_00_00000_0061,stamp_00_00000_0066,stamp_00_00000_0077,stamp_00_00000_0079,stamp_00_00000_0088",123080302
100100301,1001,3,100100301,1001_3_1,穂乃果 お祝い2023,穂乃果: お誕生日おめでとーーー！,穂乃果: お誕生日おめでとーーー！,"stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0012,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0066,stamp_00_00000_0084,stamp_00_00000_0089",1
100100401,1001,16,100100401,1001_16_1,穂乃果 新年2024,穂乃果: あけましておめでとー！,穂乃果: あけましておめでとー！,"stamp_00_00000_0004,stamp_00_00000_0060,stamp_00_00000_0076,stamp_01_01001_0003",324010140
100100501,1001,17,100100501,1001_17_1,穂乃果 バレンタイン2024,穂乃果: 聞いて聞いてー！,穂乃果: 聞いて聞いてー！,"stamp_00_00000_0006,stamp_00_00000_0007,stamp_00_00000_0017,stamp_00_00000_0054",324021434
100101801,1001,18,100101801,1001_18_1,穂乃果 ホワイトデー2024,穂乃果: 今日はホワイトデーだね！,穂乃果: 今日はホワイトデーだね！,"stamp_00_00000_0020,stamp_00_00000_0076",324031435
100100701,1001,7,100100701,1001_7_1,穂乃果 4月2023,穂乃果: もうすっかり春だね～,穂乃果: もうすっかり春だね～,stamp_00_00000_0056,1
100100801,1001,8,100100801,1001_8_1,穂乃果 5月2023,穂乃果: ねえねえ,穂乃果: ねえねえ,stamp_00_00000_0076,1
100100901,1001,9,100100901,1001_9_1,穂乃果 6月2023,穂乃果: ふいー,穂乃果: ふいー,"stamp_00_00000_0002,stamp_00_00000_0009,stamp_00_00000_0087,stamp_01_01001_0003",323061304
100101001,1001,10,100101001,1001_10_1,穂乃果 7月2023,穂乃果: いよいよ夏休みが始まったね！,穂乃果: いよいよ夏休みが始まったね！,"stamp_00_00000_0046,stamp_00_00000_0076,stamp_00_00000_0090",323072107
100101101,1001,11,100101101,1001_11_1,穂乃果 夏休み2023,穂乃果: やっほー,穂乃果: やっほー,"stamp_00_00000_0011,stamp_00_00000_0039,stamp_00_00000_0081",323082003
100101201,1001,12,100101201,1001_12_1,穂乃果 9月2023,穂乃果: 今ちょっといい？,穂乃果: 今ちょっといい？,stamp_00_00000_0060,323092104
100101301,1001,13,100101301,1001_13_1,穂乃果 2023ハロウィン,穂乃果: トリック・オア・トリート！,穂乃果: トリック・オア・トリート！,stamp_00_00000_0007,323103132
100101401,1001,14,100101401,1001_14_1,穂乃果 11月2023,穂乃果: こんばんは,穂乃果: こんばんは,"stamp_00_00000_0038,stamp_00_00000_0039",323111603
100101501,1001,15,100101501,1001_15_1,穂乃果 Xmas2023,穂乃果: メリークリスマス！,穂乃果: メリークリスマス！,"stamp_00_00000_0007,stamp_00_00000_0017,stamp_00_00000_0046,stamp_00_00000_0077,stamp_00_00000_0092",323122413
100200101,1002,1,100200101,1002_1_1,絵里 DM,絵里さんがログインしました,絵里さんがログインしました,"stamp_00_00000_0001,stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0090",1
100200102,1002,1,100200102,1002_1_2,絵里 DM,絵里: 今大丈夫かしら？,絵里: 今大丈夫かしら？,"stamp_00_00000_0008,stamp_00_00000_0048,stamp_00_00000_0060,stamp_00_00000_0077,stamp_00_00000_0091",1
100200103,1002,1,100200103,1002_1_3,絵里 DM,絵里さんがログインしました,絵里さんがログインしました,"stamp_00_00000_0001,stamp_00_00000_0003,stamp_00_00000_0005,stamp_00_00000_0061,stamp_00_00000_0092",1
100200104,1002,1,100200104,1002_1_4,絵里 DM,絵里: ねえねえ、ちょっといい～？,絵里: ねえねえ、ちょっといい～？,"stamp_00_00000_0016,stamp_00_00000_0029,stamp_00_00000_0059,stamp_00_00000_0080,stamp_00_00000_0081,stamp_00_00000_0085,stamp_00_00000_0088,stamp_00_00000_0091,stamp_00_00000_0092",1
100200105,1002,1,100200105,1002_1_5,絵里 DM,絵里: 今ちょっといいかしら？,絵里: 今ちょっといいかしら？,"stamp_00_00000_0004,stamp_00_00000_0005,stamp_00_00000_0029,stamp_00_00000_0080,stamp_00_00000_0088,stamp_00_00000_0091,stamp_00_00000_0095",1
100200106,1002,1,100200106,1002_1_6,絵里 DM,絵里さんがログインしました,絵里さんがログインしました,"stamp_00_00000_0005,stamp_00_00000_0008,stamp_00_00000_0014,stamp_00_00000_0029,stamp_00_00000_0037,stamp_00_00000_0046,stamp_00_00000_0048,stamp_00_00000_0057,stamp_00_00000_0088,stamp_00_00000_0093,stamp_00_00000_0095",1
