_id,_characterId,_group,_name,_masterReleaseLabelId
1001,1001,100,穂乃果,1
1002,1002,100,絵里,1
1003,1003,100,ことり,1
1004,1004,100,海未,1
1005,1005,100,凛,1
1006,1006,100,真姫,1
1007,1007,100,希,1
1008,1008,100,花陽,1
1009,1009,100,にこ,1
2001,2001,200,千歌,1
2002,2002,200,梨子,1
2003,2003,200,果南,1
2004,2004,200,ダイヤ,1
2005,2005,200,曜,1
2006,2006,200,善子,1
2007,2007,200,花丸,1
2008,2008,200,鞠莉,1
2009,2009,200,ルビィ,1
3001,3001,300,歩夢,1
3002,3002,300,かすみ,1
3003,3003,300,しずく,1
3004,3004,300,果林,1
3005,3005,300,愛,1
3006,3006,300,彼方,1
3007,3007,300,せつ菜,1
3008,3008,300,エマ,1
3009,3009,300,璃奈,1
3010,3010,300,栞子,1
3011,3011,300,ミア,1
3012,3012,300,嵐珠,1
3099,0,300,侑,1
4001,4001,400,かのん,1
4002,4002,400,可可,1
4003,4003,400,千砂都,1
4004,4004,400,すみれ,1
4005,4005,400,恋,1
4006,4006,400,きな子,1
4007,4007,400,メイ,1
4008,4008,400,四季,1
4009,4009,400,夏美,1
4010,0,400,マルガレーテ,223121502
4011,0,400,冬毬,223121502
