_id,_masterChatId,_roomId,_hashTag,_firstLineValue,_iconPath,_appearCharaIdList,_masterReleaseLabelId
1001001,1001,1,穂乃果 DM,穂乃果: こんばんはー！,profile_01001_0000,1001,1
1001002,1001,2,穂乃果 お誕生日2023,穂乃果さんがログインしました,profile_01001_0000,1001,123080302
1001003,1001,3,穂乃果 お祝い2023,穂乃果: お誕生日おめでとーーー！,profile_01001_0000,1001,1
1001004,1001,16,穂乃果 新年2024,穂乃果: あけましておめでとー！,profile_01001_0000,1001,324010140
1001005,1001,17,穂乃果 バレンタイン2024,穂乃果: 聞いて聞いてー！,profile_01001_0000,1001,324021434
1001018,1001,18,穂乃果 ホワイトデー2024,穂乃果: 今日はホワイトデーだね！,profile_01001_0000,1001,324031435
1001007,1001,7,穂乃果 4月2023,穂乃果: もうすっかり春だね～,profile_01001_0000,1001,1
1001008,1001,8,穂乃果 5月2023,穂乃果: ねえねえ,profile_01001_0000,1001,1
1001009,1001,9,穂乃果 6月2023,穂乃果: ふいー,profile_01001_0000,1001,323061304
1001010,1001,10,穂乃果 7月2023,穂乃果: いよいよ夏休みが始まったね！,profile_01001_0000,1001,323072107
1001011,1001,11,穂乃果 夏休み2023,穂乃果: やっほー,profile_01001_0000,1001,323082003
1001012,1001,12,穂乃果 9月2023,穂乃果: 今ちょっといい？,profile_01001_0000,1001,323092104
1001013,1001,13,穂乃果 2023ハロウィン,穂乃果: トリック・オア・トリート！,profile_01001_0000,1001,323103132
1001014,1001,14,穂乃果 11月2023,穂乃果: こんばんは,profile_01001_0000,1001,323111603
1001015,1001,15,穂乃果 Xmas2023,穂乃果: メリークリスマス！,profile_01001_0000,1001,323122413
1002001,1002,1,絵里 DM,絵里さんがログインしました,profile_01002_0000,1002,1
1002002,1002,2,絵里 お誕生日2023,絵里さんがログインしました,profile_01002_0000,1002,123102102
1002003,1002,3,絵里 お祝い2023,絵里: お誕生日おめでとう,profile_01002_0000,1002,1
1002004,1002,16,絵里 新年2024,絵里: あけましておめでとう,profile_01002_0000,1002,324010141
1002005,1002,17,絵里 バレンタイン2024,絵里: 今日はバレンタインデーのチョコレートをありがとう,profile_01002_0000,1002,324021435
1002018,1002,18,絵里 ホワイトデー2024,絵里: 今日はバレンタインデーのお返しをありがとう,profile_01002_0000,1002,324031436
