_id,_name,_group,_isUsableChat,_isUsableMulti,_filename,_order,_initialStamp,_masterReleaseLabelId
1,汗,0,1,1,stamp_00_00000_0001,10068,1,1
2,100点,0,1,1,stamp_00_00000_0002,10069,1,1
3,土下座する女性,0,1,1,stamp_00_00000_0003,10045,1,1
4,OKのポーズをする女性,0,1,1,stamp_00_00000_0004,10060,1,1
5,にこやかな笑顔,0,1,1,stamp_00_00000_0005,10001,1,1
6,目もにこやかな笑顔,0,1,1,stamp_00_00000_0006,10047,1,1
7,大笑いの顔,0,1,1,stamp_00_00000_0007,10011,1,1
8,控えめな笑顔,0,1,1,stamp_00_00000_0008,10000,1,1
9,微笑む目の笑顔	,0,1,1,stamp_00_00000_0009,10002,1,1
10,ハートの笑顔,0,1,1,stamp_00_00000_0010,10048,1,1
11,にやり,0,1,1,stamp_00_00000_0011,10003,1,1
12,ウィンクの顔,0,1,1,stamp_00_00000_0012,10012,1,1
13,笑顔の悪魔の顔,0,1,1,stamp_00_00000_0013,10010,1,1
14,嬉し泣きの顔,0,1,1,stamp_00_00000_0014,10008,1,1
15,涙の笑顔,0,1,1,stamp_00_00000_0015,10025,1,1
16,泣き顔,0,1,1,stamp_00_00000_0016,10026,1,1
17,大声で泣いている顔,0,1,1,stamp_00_00000_0017,10027,1,1
19,紅潮した顔,0,1,1,stamp_00_00000_0019,10018,1,1
20,投げキスの顔,0,1,1,stamp_00_00000_0020,10019,1,1
21,パーティの顔,0,1,1,stamp_00_00000_0021,10084,1,1
22,恐怖で叫ぶ顔,0,1,0,stamp_00_00000_0022,10030,1,1
23,ふくれっ面,0,1,0,stamp_00_00000_0023,10052,1,1
24,鼻息の荒い顔,0,1,1,stamp_00_00000_0024,10031,1,1
25,我慢する顔	,0,1,1,stamp_00_00000_0025,10029,1,1
26,心配そうな顔,0,1,0,stamp_00_00000_0026,10004,1,1
27,悲しいけど安心した顔,0,1,1,stamp_00_00000_0027,10024,1,1
28,眉があがった顔,0,1,0,stamp_00_00000_0028,10005,1,1
29,思考中の顔,0,1,0,stamp_00_00000_0029,10028,1,1
30,手を口に添えた顔,0,1,1,stamp_00_00000_0030,10021,1,1
31,静かにの顔,0,1,0,stamp_00_00000_0031,10022,1,1
32,口チャックの顔,0,1,0,stamp_00_00000_0032,10006,1,1
33,キスの顔,0,1,1,stamp_00_00000_0033,10007,1,1
34,舌を出した顔	,0,1,1,stamp_00_00000_0034,10020,1,1
35,目を細めて舌を出した顔,0,1,1,stamp_00_00000_0035,10013,1,1
36,サングラスの笑顔,0,1,1,stamp_00_00000_0036,10014,1,1
37,驚いた顔,0,1,1,stamp_00_00000_0037,10051,1,1
38,美味しい顔,0,1,1,stamp_00_00000_0038,10015,1,1
39,よだれ顔,0,1,1,stamp_00_00000_0039,10023,1,1
40,寝てる顔,0,1,1,stamp_00_00000_0040,10016,1,1
41,あくびの顔,0,1,1,stamp_00_00000_0041,10032,1,1
43,くしゃみ顔,0,1,1,stamp_00_00000_0043,10083,1,1
44,暑い顔,0,1,1,stamp_00_00000_0044,10058,1,1
45,寒い顔,0,1,1,stamp_00_00000_0045,10059,1,1
46,親指を上げた手,0,1,1,stamp_00_00000_0046,10062,1,1
48,拍手,0,1,1,stamp_00_00000_0048,10066,1,1
49,手を振る,0,1,1,stamp_00_00000_0049,10067,1,1
50,OKの手,0,1,1,stamp_00_00000_0050,10061,1,1
51,右を指差す手の甲,0,1,1,stamp_00_00000_0051,10063,1,1
52,腕の筋肉,0,1,1,stamp_00_00000_0052,10064,1,1
53,あわせた手,0,1,1,stamp_00_00000_0053,10065,1,1
54,アルパカ,0,1,1,stamp_00_00000_0054,10070,1,1
55,アルパカ２,0,1,1,stamp_00_00000_0055,10071,1,1
56,アルパカ３,0,1,1,stamp_00_00000_0056,10072,1,1
57,犬,0,1,1,stamp_00_00000_0057,10073,1,1
58,犬２,0,1,1,stamp_00_00000_0058,10074,1,1
59,犬３,0,1,1,stamp_00_00000_0059,10075,1,1
60,猫,0,1,1,stamp_00_00000_0060,10076,1,1
61,猫２,0,1,1,stamp_00_00000_0061,10077,1,1
62,猫３,0,1,1,stamp_00_00000_0062,10078,1,1
63,ふくろう,0,1,1,stamp_00_00000_0063,10079,1,1
64,ふくろう２,0,1,1,stamp_00_00000_0064,10080,1,1
65,ふくろう３,0,1,1,stamp_00_00000_0065,10081,1,1
66,クラッカー,0,1,1,stamp_00_00000_0066,10085,1,1
67,富士山,0,1,1,stamp_00_00000_0067,10090,1,1
68,電球,0,1,1,stamp_00_00000_0068,10087,1,1
69,太陽,0,1,1,stamp_00_00000_0069,10088,1,1
70,波,0,1,1,stamp_00_00000_0070,10089,1,1
71,サイリウム,0,1,1,stamp_00_00000_0071,10095,1,1
72,ピアノ,0,1,1,stamp_00_00000_0072,10093,1,1
73,海,0,1,1,stamp_00_00000_0073,10091,1,1
74,ドレス,0,1,1,stamp_00_00000_0074,10094,1,1
75,星空,0,1,1,stamp_00_00000_0075,10092,1,1
76,走る,0,1,1,stamp_00_00000_0076,10082,1,1
77,ありがとう！,0,1,1,stamp_00_00000_0077,10034,1,1
78,ありがとう＞＜,0,1,1,stamp_00_00000_0078,10035,1,1
79,かわいいウインク,0,1,1,stamp_00_00000_0079,10037,1,1
80,ごめん,0,1,1,stamp_00_00000_0080,10044,1,1
81,爆笑,0,1,1,stamp_00_00000_0081,10039,1,1
82,ひええ,0,1,1,stamp_00_00000_0082,10042,1,1
83,しくしく,0,1,1,stamp_00_00000_0083,10043,1,1
84,紅潮,0,1,1,stamp_00_00000_0084,10040,1,1
85,頑張って！,0,1,1,stamp_00_00000_0085,10036,1,1
86,了解,0,1,1,stamp_00_00000_0086,10009,1,1
87,えっへん,0,1,1,stamp_00_00000_0087,10033,1,1
88,うふふ,0,1,1,stamp_00_00000_0088,10038,1,1
89,まかせて,0,1,1,stamp_00_00000_0089,10049,1,1
90,苦笑,0,1,0,stamp_00_00000_0090,10050,1,1
91,どうしたの？,0,1,0,stamp_00_00000_0091,10053,1,1
92,どうかな？,0,1,1,stamp_00_00000_0092,10054,1,1
93,やっほー！,0,1,1,stamp_00_00000_0093,10055,1,1
94,手を挙げる,0,1,1,stamp_00_00000_0094,10056,1,1
95,よろしく,0,1,1,stamp_00_00000_0095,10057,1,1
96,プレゼント,0,1,1,stamp_00_00000_0096,10086,1,1
11001003,穂乃果ファイト・頑張ろう,0,1,1,stamp_01_01001_0003,3,1,1
11002005,絵里NO,0,1,1,stamp_01_01002_0005,14,0,1
11003001,ことりおはよう,0,1,1,stamp_01_01003_0001,19,0,1
11003010,ことり ヨキニハカラエミナノシュー,0,1,1,stamp_01_01003_0010,27,0,224011505
11004002,海未おやすみ,0,1,1,stamp_01_01004_0002,29,0,1
11005007,凛よろしく,0,1,1,stamp_01_01005_0007,43,0,1
11006004,真姫OK,0,1,1,stamp_01_01006_0004,49,0,1
11007006,希お願いします,0,1,1,stamp_01_01007_0006,60,0,1
11007010,希なかなかやん,0,1,1,stamp_01_01007_0010,64,0,223091506
11008009,花陽あわわ,0,1,1,stamp_01_01008_0009,72,0,1
11009008,にこわ～い,0,1,1,stamp_01_01009_0008,80,0,1
22001001,千歌おはよう,0,1,1,stamp_02_02001_0001,82,1,1
22002002,梨子おやすみ,0,1,1,stamp_02_02002_0002,92,0,1
22003006,果南お願いします,0,1,1,stamp_02_02003_0006,105,0,1
22004003,黒澤ダイヤ 素晴らしいですわ,0,1,1,stamp_02_02004_0003,111,0,223061506
22004005,ダイヤNO,0,1,1,stamp_02_02004_0005,113,0,1
22005004,曜OK,0,1,1,stamp_02_02005_0004,121,0,1
22006007,善子よろしく,0,1,1,stamp_02_02006_0007,133,0,1
22007009,花丸あわわ,0,1,1,stamp_02_02007_0009,144,0,1
22007010,花丸 次は頑張るずら,0,1,1,stamp_02_02007_0010,144,0,223101510
22008008,鞠莉わ～い,0,1,1,stamp_02_02008_0008,152,0,1
22009003,ルビィファイト・頑張ろう,0,1,1,stamp_02_02009_0003,156,0,1
33001001,歩夢おはよう,0,1,1,stamp_03_03001_0001,163,1,1
33001003,上原歩夢 がんばろうね！,0,1,1,stamp_03_03001_0003,165,0,223071507
33002008,かすみわ～い,0,1,1,stamp_03_03002_0008,179,0,1
33003003,しずくファイト・頑張ろう,0,1,1,stamp_03_03003_0003,183,0,1
33004007,果林よろしく,0,1,1,stamp_03_03004_0007,196,0,1
33005006,愛お願いします,0,1,1,stamp_03_03005_0006,204,0,1
33006002,彼方おやすみ,0,1,1,stamp_03_03006_0002,209,0,1
33007005,せつ菜NO,0,1,1,stamp_03_03007_0005,221,0,1
33007010,せつ菜 また世界を救ってしまいました,0,1,1,stamp_03_03007_0010,225,0,223111506
33008004,エマOK,0,1,1,stamp_03_03008_0004,229,0,1
33009009,璃奈あわわ,0,1,1,stamp_03_03009_0009,243,0,1
33010004,栞子OK,0,1,1,stamp_03_03010_0004,247,0,1
33011007,ミアよろしく,0,1,1,stamp_03_03011_0007,259,0,1
33012009,嵐珠あわわ,0,1,1,stamp_03_03012_0009,270,0,1
44001002,かのんおやすみ,0,1,1,stamp_04_04001_0002,272,1,1
44002003,可可ファイト・頑張ろう,0,1,1,stamp_04_04002_0003,282,0,1
44002010,可可 ワタルシミ…,0,1,1,stamp_04_04002_0010,288,0,223121508
44003004,千砂都OK,0,1,1,stamp_04_04003_0004,292,0,1
44004008,すみれわ～い,0,1,1,stamp_04_04004_0008,305,0,1
44005005,恋NO,0,1,1,stamp_04_04005_0005,311,0,1
44006009,きな子あわわ,0,1,1,stamp_04_04006_0009,324,0,1
44007006,メイお願いします,0,1,1,stamp_04_04007_0006,330,0,1
44007010,米女メイ おつかれ,0,1,1,stamp_04_04007_0010,334,0,223081506
44008007,四季よろしく,0,1,1,stamp_04_04008_0007,341,0,1
44009001,夏美おはよう,0,1,1,stamp_04_04009_0001,344,0,1
66001001,ヨハネ 行くわよ！,0,1,1,stamp_06_06001_0001,601,0,223120803
66002001,ハナマル よろしくずら～,0,1,1,stamp_06_06002_0001,602,0,223120803
66003001,ダイヤ すみません…,0,1,1,stamp_06_06003_0001,603,0,223120803
66004001,ルビィ ぷるぷる…,0,1,1,stamp_06_06004_0001,604,0,223120803
66005001,チカ 次もがんばろ！,0,1,1,stamp_06_06005_0001,605,0,223120803
66006001,ヨウ すごい！,0,1,1,stamp_06_06006_0001,606,0,223120803
66007001,カナン 大丈夫,0,1,1,stamp_06_06007_0001,607,0,223120803
66008001,リコ あわわ…,0,1,1,stamp_06_06008_0001,608,0,223120803
66009001,マリ 期待してるわ,0,1,1,stamp_06_06009_0001,609,0,223120803
66099001,ライラプス 修行だね,0,1,1,stamp_06_06099_0001,610,0,223120803
