_id,_masterGroupId,_number,_name,_imageName,_masterReleaseLabelId
100001,100,1,ほ,comic_01_0001,1
100002,100,2,最強装備,comic_01_0002,1
100003,100,3,勝負靴下,comic_01_0003,1
100004,100,4,緊張対策,comic_01_0004,1
100005,100,5,健康に気をつけて,comic_01_0005,1
100006,100,6,まきまき,comic_01_0006,1
100007,100,7,隠しコマンド,comic_01_0007,1
100008,100,8,米比べ検定有段者,comic_01_0008,1
100009,100,9,新設：国民の祝日,comic_01_0009,1
200001,200,1,輝いてるかい？,comic_02_0001,1
200002,200,2,梨子の秘密,comic_02_0002,1
200003,200,3,果南式トレーニング法,comic_02_0003,1
200004,200,4,つい集めてしまいましたわ……！,comic_02_0004,1
200005,200,5,冬でも半袖ヨーソロー！,comic_02_0005,1
200006,200,6,ある日の堕天使ランチ,comic_02_0006,1
200007,200,7,配膳するにゃん,comic_02_0007,1
200008,200,8,原価〇〇万円,comic_02_0008,1
200009,200,9,安眠グッズ…？,comic_02_0009,1
300001,300,1,なんでも褒める,comic_03_0001,1
300002,300,2,マーケティングかすみん,comic_03_0002,1
300003,300,3,形から入るタイプ,comic_03_0003,1
300004,300,4,お迎え待ち,comic_03_0004,1
300005,300,5,愛さんの知恵袋,comic_03_0005,1
300006,300,6,どんなときも,comic_03_0006,1
300007,300,7,焼包林檎菓子～暗黒物質を添えて～,comic_03_0007,1
300008,300,8,癒しの証明,comic_03_0008,1
300009,300,9,予算増額申請,comic_03_0009,1
300010,300,10,むしろ嬉しい,comic_03_0010,1
300011,300,11,お世話する側、される側,comic_03_0011,1
300012,300,12,ランジュの休日,comic_03_0012,1
300013,300,13,ヒトリダケナンテエラベナイ,comic_03_0013,1
400001,400,1,二面性,comic_04_0001,1
400002,400,2,縁起物,comic_04_0002,1
400003,400,3,まんまるは盲目,comic_04_0003,1
400004,400,4,泉からすみれ,comic_04_0004,1
400005,400,5,こたつむり,comic_04_0005,1
400006,400,6,羽生える,comic_04_0006,1
400007,400,7,クラウドにも同期済,comic_04_0007,1
400008,400,8,科学部の七不思議,comic_04_0008,1
400009,400,9,今日も頑張りましたの…,comic_04_0009,1
100010,100,10,穂乃果の早弁,comic_01_0010,223101512
100011,100,11,もぐもぐえりち,comic_01_0011,223101512
100012,100,12,ダブルミナリンスキー,comic_01_0012,223101512
100013,100,13,作詞合宿にて,comic_01_0013,223101512
100014,100,14,または鉄火丼お魚抜き,comic_01_0014,223101512
100015,100,15,結局使いました,comic_01_0015,223101512
100016,100,16,A賞・でかでかぬいぐるみ！,comic_01_0016,223101512
100017,100,17,９人分持ってきたよ♡,comic_01_0017,223101512
100018,100,18,矢澤にこ流美容術,comic_01_0018,223101512
200010,200,10,おふとんあったか～い♡,comic_02_0010,223101512
200011,200,11,くノ一梨子ちゃん,comic_02_0011,223101512
200012,200,12,天気がいいと見れるかも！？,comic_02_0012,223101512
200013,200,13,着物大好きダイヤさん,comic_02_0013,223101512
200014,200,14,七不思議,comic_02_0014,223101512
200015,200,15,堕天使のおつかい,comic_02_0015,223101512
200016,200,16,マルの宅配便,comic_02_0016,223101512
200017,200,17,馬で来た,comic_02_0017,223101512
200018,200,18,まずはバタ足の練習から,comic_02_0018,223101512
300014,300,14,歩夢コレクション,comic_03_0014,223101512
300015,300,15,バズかすかす,comic_03_0015,223101512
300016,300,16,お二人にもメイクしますか？,comic_03_0016,223101512
300017,300,17,果林の四次元バッグ,comic_03_0017,223101512
300018,300,18,ある日の登校風景,comic_03_0018,223101512
300019,300,19,初めてのお弁当記念日,comic_03_0019,223101512
300020,300,20,せつ菜スカーレットメイクアップ！！,comic_03_0020,223101512
300021,300,21,目指すは全制覇,comic_03_0021,223101512
300022,300,22,ピコピコエモーション,comic_03_0022,223101512
300023,300,23,通訳の適性,comic_03_0023,223101512
300024,300,24,ひとめぼれ,comic_03_0024,223101512
300025,300,25,イメチェン？,comic_03_0025,223101512
300026,300,26,トキメキの反動,comic_03_0026,223101512
400010,400,10,秘密の特訓,comic_04_0010,223101512
400011,400,11,火力が命デス！！,comic_04_0011,223101512
400012,400,12,千砂都プロデュース,comic_04_0012,223101512
400013,400,13,取られないうちに食べたかったの！,comic_04_0013,223101512
400014,400,14,恋コイン,comic_04_0014,223101512
400015,400,15,クワトロベンティヘーゼル(略)きな子フラペチーノ,comic_04_0015,223101512
400016,400,16,メイの休日,comic_04_0016,223101512
400017,400,17,応援隊長,comic_04_0017,223101512
400018,400,18,コラボした覚えは無いですの～！！,comic_04_0018,223101512
100019,100,19,穂乃果からのクリスマスカード,comic_01_0019,223122504
100020,100,20,絵里からのクリスマスカード,comic_01_0020,223122504
100021,100,21,ことりからのクリスマスカード,comic_01_0021,223122504
100022,100,22,海未からのクリスマスカード,comic_01_0022,223122504
100023,100,23,凛からのクリスマスカード,comic_01_0023,223122504
100024,100,24,真姫からのクリスマスカード,comic_01_0024,223122504
100025,100,25,希からのクリスマスカード,comic_01_0025,223122504
100026,100,26,花陽からのクリスマスカード,comic_01_0026,223122504
100027,100,27,にこからのクリスマスカード,comic_01_0027,223122504
200019,200,19,千歌からのクリスマスカード,comic_02_0019,223122504
200020,200,20,梨子からのクリスマスカード,comic_02_0020,223122504
200021,200,21,果南からのクリスマスカード,comic_02_0021,223122504
200022,200,22,ダイヤからのクリスマスカード,comic_02_0022,223122504
200023,200,23,曜からのクリスマスカード,comic_02_0023,223122504
200024,200,24,善子からのクリスマスカード,comic_02_0024,223122504
200025,200,25,花丸からのクリスマスカード,comic_02_0025,223122504
200026,200,26,鞠莉からのクリスマスカード,comic_02_0026,223122504
200027,200,27,ルビィからのクリスマスカード,comic_02_0027,223122504
300027,300,27,歩夢からのクリスマスカード,comic_03_0027,223122504
300028,300,28,かすみからのクリスマスカード,comic_03_0028,223122504
300029,300,29,しずくからのクリスマスカード,comic_03_0029,223122504
300030,300,30,果林からのクリスマスカード,comic_03_0030,223122504
300031,300,31,愛からのクリスマスカード,comic_03_0031,223122504
300032,300,32,彼方からのクリスマスカード,comic_03_0032,223122504
300033,300,33,せつ菜からのクリスマスカード,comic_03_0033,223122504
300034,300,34,エマからのクリスマスカード,comic_03_0034,223122504
300035,300,35,璃奈からのクリスマスカード,comic_03_0035,223122504
300036,300,36,栞子からのクリスマスカード,comic_03_0036,223122504
300037,300,37,ミアからのクリスマスカード,comic_03_0037,223122504
300038,300,38,嵐珠からのクリスマスカード,comic_03_0038,223122504
300039,300,39,侑からのクリスマスカード,comic_03_0039,223122504
400019,400,19,かのんからのクリスマスカード,comic_04_0019,223122504
400020,400,20,可可からのクリスマスカード,comic_04_0020,223122504
400021,400,21,千砂都からのクリスマスカード,comic_04_0021,223122504
400022,400,22,すみれからのクリスマスカード,comic_04_0022,223122504
400023,400,23,恋からのクリスマスカード,comic_04_0023,223122504
400024,400,24,きな子からのクリスマスカード,comic_04_0024,223122504
400025,400,25,メイからのクリスマスカード,comic_04_0025,223122504
400026,400,26,四季からのクリスマスカード,comic_04_0026,223122504
400027,400,27,夏美からのクリスマスカード,comic_04_0027,223122504
400028,400,28,マルガレーテからのクリスマスカード,comic_04_0028,223122504
400029,400,29,冬毬からのクリスマスカード,comic_04_0029,223122504
