_id,_title,_message,_buttonId,_masterReleaseLabelId
ErrorStay,エラー,エラーが発生しました<br><br>{0},CloseButton,1
ErrorTitle,エラー,エラーが発生しました<br>タイトルに戻ります<br><br>{0},CloseButton,1
Free,{0},{0},CloseButton,1
NetworkError_Retry,通信エラー,通信ができません<br>電波状況が良いところで再度お試し下さい,"CloseButton,RetryButton",1
NetworkError_Title,通信エラー,通信中にエラーが発生しました<br>タイトルに戻ります<br><br>{0},CloseButton,1
NetworkError_ResourceUpdated,通信エラー,データ更新が必要です<br>タイトルに戻ります,CloseButton,1
NetworkError_NotReachable_Retry,通信エラー,通信ができません<br>通信状況を確認して再度お試しください,RetryButton,1
ApplicationQuitConfirm,確認,ゲームを終了します<br>本当によろしいですか？,"CancelButton,OkButton",1
AreaUnlock,エリア解放,{0}<br>新しいエリアが解放されました！,CloseOkButton,1
AreaUnlockDetail_StoryRead,解放条件,ストーリー<br>{0}<br>の閲覧で解放されます,CloseButton,1
AreaUnlockDetail_UserRank,解放条件,プレイヤーランク{0}以上<br>で解放されます,CloseButton,1
ChatTalkSkip,スキップ,この会話をスキップして終了しますか？,"CancelButton,OkButton",1
Chat_EncountStoryPlayback,出会いのストーリー再生,{0}の出会いのストーリーを再生します,CloseOkButton,1
OrnamentLevelRelease,備品レベル上限解放,{0}<br>レベル{1}までレベルアップ可能になりました！,CloseButton,1
DeckNameChangeSuccess,ユニット名変更,ユニット名の変更が完了しました,CloseButton,1
DeckNameChangeEmpty,入力エラー,一文字以上入力して下さい,CloseButton,1
DeckNameChangeNg,エラー,適切ではない言葉が含まれています<br>再度入力してください,CloseButton,1
MainDeckChangeSuccess,メインユニット変更,メインユニットを変更しました,CloseButton,1
PracticeConfirm,確認,選択したレッスンノートと<br>{0}Gを使用して強化します<br>よろしいですか？,"CancelButton,OkButton",1
SkillPracticeConfirmByItem,確認,選択したスキルブックと<br>{0}Gを使用して強化します<br>よろしいですか？,"CancelButton,OkButton",1
SkillPracticeConfirmCanAlsoTraining,確認,この部員は覚醒でも使えます<br>素材として選択するのをやめて<br>覚醒に行きますか？,"CancelButton,OkButton",1
SkillPracticeConfirmByPhoto,確認,選択した部員が控え室から<br>なくなります<br>スキル強化してもよろしいですか？<br>※部員一覧からはなくなりません,"CancelButton,OkButton",1
TrainingConfirm,確認,選択中のペンライトで覚醒を実施します<br>よろしいですか？,"CancelButton,OkButton",1
StaminaChargeConfirm,LP回復,LPを回復します<br><br>よろしいですか？,"CancelButton,OkButton",1
StaminaChargeSuccess,LP回復,LPを{0}回復しました！,CloseButton,1
StaminaChargeOver,LP回復上限,LPが最大LPを超えているため、<br><br>回復を行えません,CloseButton,1
ShopBuySuccess,アイテム購入,{0}を購入しました！,CloseButton,1
GachaExec,確認,{0}を{1}消費して、【{2}】を引きます<br>よろしいですか？,"CancelButton,OkButton",1
GachaLackMedal,{0}不足,{0}が不足しています。ラブカを購入しますか？,"CancelButton,BuyGemButton",1
GachaLackItem,{0}不足,{0}が不足しています,CloseButton,1
GachaResultGetBonus,おまけ獲得,勧誘のおまけを獲得しました！,CloseButton,1
GachaResultGetMovie,部員獲得,{0}<br>{1},CloseButton,1
GachaErrorExpired,エラー,有効期間外です,CloseOkButton,1
GachaTicketExpired,エラー,使用しようとしたチケットの有効期限が切れました,CloseOkButton,1
