_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
200001001,1,1,1,0,0,30,223041903
200001002,1,4,1,1,0,50000,223041903
200001003,1,3,1,19100001,0,10,223041903
200001004,1,3,1,16005001,0,180,223041903
200001005,1,3,1,17001001,0,10,223041903
200001006,1,3,1,30010001,0,30,223041903
200001007,1,1,1,0,0,30,223041903
200001008,1,4,1,1,0,100000,223041903
200001009,1,3,1,19100001,0,10,223041903
200001010,1,3,1,16005001,0,180,223041903
200001011,1,3,1,17001001,0,10,223041903
200001012,1,3,1,30010001,0,40,223041903
200001013,1,1,1,0,0,30,223041903
200001014,1,4,1,1,0,100000,223041903
200001015,1,3,1,19100001,0,10,223041903
200001016,1,3,1,16005001,0,180,223041903
200001017,1,3,1,17001001,0,10,223041903
200001018,1,3,1,30010001,0,50,223041903
200001019,1,1,1,0,0,30,223041903
200001020,1,4,1,1,0,100000,223041903
200001021,1,3,1,19100001,0,10,223041903
200001022,1,3,1,16005001,0,180,223041903
200001023,1,3,1,17001001,0,10,223041903
200001024,1,3,1,30010001,0,50,223041903
200001025,1,1,1,0,0,30,223041903
200001026,1,4,1,1,0,100000,223041903
200001027,1,3,1,19100001,0,10,223041903
200001028,1,3,1,16005002,0,72,223041903
200001029,1,3,1,17001001,0,10,223041903
200001030,1,3,1,30010001,0,70,223041903
200001031,1,1,1,0,0,50,223041903
200001032,1,4,1,1,0,100000,223041903
200001033,1,3,1,19100001,0,10,223041903
200001034,1,3,1,16005002,0,72,223041903
200001035,1,3,1,17001001,0,10,223041903
200001036,1,3,1,30010001,0,80,223041903
200001037,1,1,1,0,0,50,223041903
200001038,1,4,1,1,0,100000,223041903
200001039,1,3,1,19100001,0,10,223041903
200001040,1,3,1,16005002,0,72,223041903
200001041,1,3,1,17001001,0,10,223041903
200001042,1,3,1,30010001,0,80,223041903
200001043,1,1,1,0,0,50,223041903
200001044,1,4,1,1,0,100000,223041903
200001045,1,3,1,19100001,0,10,223041903
200001046,1,3,1,16005002,0,72,223041903
200001047,1,3,1,17001001,0,10,223041903
200001048,1,3,1,30010001,0,100,223041903
200001049,1,1,1,0,0,50,223041903
200001050,1,4,1,1,0,150000,223041903
200001051,1,3,1,19100001,0,10,223041903
200001052,1,1,1,0,0,50,223041903
200001053,1,3,1,16005002,0,72,223041903
200001054,1,3,1,17001001,0,10,223041903
200001055,1,3,1,30010001,0,100,223041903
200001056,1,1,1,0,0,50,223041903
200001057,1,4,1,1,0,200000,223041903
200001058,1,3,1,19100001,0,10,223041903
200001059,1,1,1,0,0,50,223041903
200001060,1,3,1,16005003,0,54,223041903
200001061,1,3,1,17001002,0,5,223041903
200001062,1,3,1,30010001,0,100,223041903
200001063,1,2,1,40030009,1,1,223041903
200001064,1,1,1,0,0,50,223041903
200001065,1,4,1,1,0,300000,223041903
200001066,1,3,1,19100001,0,30,223041903
200001067,1,1,1,0,0,100,223041903
200001068,1,3,1,16005003,0,86,223041903
200001069,1,3,1,17001002,0,5,223041903
200001070,1,3,1,20001001,0,30,223041903
200001071,1,1,1,0,0,50,223041903
200001072,1,4,1,1,0,500000,223041903
200001073,1,3,1,19100001,0,100,223041903
200001074,1,1,1,0,0,50,223041903
200001075,1,3,1,16005002,0,96,223041903
200001076,1,3,1,17001002,0,5,223041903
200001077,1,3,1,20001001,0,30,223041903
200001078,1,1,1,0,0,50,223041903
200001079,1,3,1,19100001,0,100,223041903
200001080,1,1,1,0,0,50,223041903
200001081,1,3,1,16005003,0,43,223041903
200001082,1,3,1,17001003,0,3,223041903
200001083,1,3,1,20001001,0,30,223041903
200001084,1,1,1,0,0,100,223041903
200001085,1,3,1,19100001,0,20,223041903
200001086,1,3,1,17001003,0,3,223041903
200001087,1,1,1,0,0,50,223041903
200001088,1,3,1,19100001,0,100,223041903
200001089,1,1,1,0,0,100,223041903
200001090,1,3,1,20001001,0,30,223041903
200001091,1,1,1,0,0,100,223041903
200001092,1,3,1,19100001,0,30,223041903
200001093,1,3,1,20001001,0,30,223041903
200001094,1,3,1,19100001,0,30,223041903
200001095,1,1,1,0,0,300,223041903
200001096,1,3,1,19100001,0,30,223041903
200001097,1,3,1,30010001,0,30,223041903
200001098,1,4,1,1,0,100000,223041903
200001099,1,3,1,30010001,0,30,223041903
200001100,1,4,1,1,0,100000,223041903
200001101,1,3,1,30010001,0,30,223041903
200001102,1,4,1,1,0,100000,223041903
200001103,1,3,1,30010001,0,30,223041903
200001104,1,4,1,1,0,100000,223041903
200001105,1,3,1,30010001,0,30,223041903
200001106,1,4,1,1,0,100000,223041903
200001107,1,3,1,30010001,0,30,223041903
200001108,1,4,1,1,0,100000,223041903
200001109,1,3,1,30010001,0,30,223041903
200001110,1,4,1,1,0,100000,223041903
200001111,1,3,1,30010001,0,30,223041903
200001112,1,4,1,1,0,100000,223041903
200001113,1,3,1,30010001,0,30,223041903
200001114,1,4,1,1,0,100000,223041903
200001115,1,3,1,30010001,0,30,223041903
200002001,1,1,1,0,0,30,223043004
200002002,1,4,1,1,0,50000,223043004
200002003,1,3,1,19100001,0,10,223043004
200002004,1,3,1,16005001,0,180,223043004
200002005,1,3,1,17001001,0,10,223043004
200002006,1,3,1,30010001,0,30,223043004
200002007,1,1,1,0,0,30,223043004
200002008,1,4,1,1,0,100000,223043004
200002009,1,3,1,19100001,0,10,223043004
200002010,1,3,1,16005001,0,180,223043004
200002011,1,3,1,17001001,0,10,223043004
200002012,1,3,1,30010001,0,40,223043004
200002013,1,1,1,0,0,30,223043004
200002014,1,4,1,1,0,100000,223043004
200002015,1,3,1,19100001,0,10,223043004
200002016,1,3,1,16005001,0,180,223043004
200002017,1,3,1,17001001,0,10,223043004
200002018,1,3,1,30010001,0,50,223043004
200002019,1,1,1,0,0,30,223043004
200002020,1,4,1,1,0,100000,223043004
200002021,1,3,1,19100001,0,10,223043004
200002022,1,3,1,16005001,0,180,223043004
200002023,1,3,1,17001001,0,10,223043004
200002024,1,3,1,30010001,0,50,223043004
200002025,1,1,1,0,0,30,223043004
200002026,1,4,1,1,0,100000,223043004
