_masterEventId,_spriteName,_message,_category,_masterReleaseLabelId
101,SubTutorial_miraclecollection_01,ミラクルコレクションでは、イベントptを集めると様々な報酬をゲットできるよ！<br>またイベント内のランキングにランクインすると<br>さらに豪華報酬をゲット！,,223041903
101,SubTutorial_miraclecollection_02,通常曲をプレイして、ミラクルスターを集めよう！<br>集めたミラクルスターを使って、イベント曲に挑戦！<br>イベント楽曲では通常曲と比べてイベントptを大量にゲットできるよ！,,223041903
101,SubTutorial_miraclecollection_03,イベントごとに選ばれる選抜メンバーを加入・編成して<br>イベントを有利に進めよう！,,223041903
101,SubTutorial_miraclecollection_04,ボーナス効果「イベントptボーナス」の選抜メンバーを<br>編成してライブをプレイするとイベントpt獲得量がアップ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223041903
101,SubTutorial_miraclecollection_05,選抜メンバーの「ミラクルスター獲得ボーナス」は<br>イベントログインボーナスのミラクルスター獲得量がアップするよ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223041903
101,SubTutorial_miraclecollection_06,イベント課題をクリアすると様々な報酬をゲットできるよ！<br>また獲得したイベントptに応じて、イベントストーリーが解放！,,223041903
102,SubTutorial_miraclecollection_01,ミラクルコレクションでは、イベントptを集めると様々な報酬をゲットできるよ！<br>またイベント内のランキングにランクインすると<br>さらに豪華報酬をゲット！,,223043004
102,SubTutorial_miraclecollection_02,通常曲をプレイして、ミラクルスターを集めよう！<br>集めたミラクルスターを使って、イベント曲に挑戦！<br>イベント楽曲では通常曲と比べてイベントptを大量にゲットできるよ！,,223043004
102,SubTutorial_miraclecollection_03,イベントごとに選ばれる選抜メンバーを加入・編成して<br>イベントを有利に進めよう！,,223043004
102,SubTutorial_miraclecollection_04,ボーナス効果「イベントptボーナス」の選抜メンバーを<br>編成してライブをプレイするとイベントpt獲得量がアップ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223043004
102,SubTutorial_miraclecollection_05,選抜メンバーの「ミラクルスター獲得ボーナス」は<br>イベントログインボーナスのミラクルスター獲得量がアップするよ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223043004
102,SubTutorial_miraclecollection_06,イベント課題をクリアすると様々な報酬をゲットできるよ！<br>また獲得したイベントptに応じて、イベントストーリーが解放！,,223043004
103,SubTutorial_freetour_01,イベントptを集めることで、累計イベントpt報酬が入手できます。<br>イベントptはライブをクリアすることで入手できます。,,223051101
103,SubTutorial_freetour_02,イベント課題をクリアすると豪華アイテムをゲットできます。,,223051101
104,SubTutorial_miraclecollection_01,ミラクルコレクションでは、イベントptを集めると様々な報酬をゲットできるよ！<br>またイベント内のランキングにランクインすると<br>さらに豪華報酬をゲット！,,223051504
104,SubTutorial_miraclecollection_02,通常曲をプレイして、ミラクルスターを集めよう！<br>集めたミラクルスターを使って、イベント曲に挑戦！<br>イベント楽曲では通常曲と比べてイベントptを大量にゲットできるよ！,,223051504
104,SubTutorial_miraclecollection_03,イベントごとに選ばれる選抜メンバーを加入・編成して<br>イベントを有利に進めよう！,,223051504
104,SubTutorial_miraclecollection_04,ボーナス効果「イベントptボーナス」の選抜メンバーを<br>編成してライブをプレイするとイベントpt獲得量がアップ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223051504
104,SubTutorial_miraclecollection_05,選抜メンバーの「ミラクルスター獲得ボーナス」は<br>イベントログインボーナスのミラクルスター獲得量がアップするよ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223051504
104,SubTutorial_miraclecollection_06,イベント課題をクリアすると様々な報酬をゲットできるよ！<br>また獲得したイベントptに応じて、イベントストーリーが解放！,,223051504
105,SubTutorial_freetour_01,イベントptを集めることで、累計イベントpt報酬が入手できます。<br>イベントptはライブをクリアすることで入手できます。,,223052601
105,SubTutorial_freetour_02,イベント課題をクリアすると豪華アイテムをゲットできます。,,223052601
106,SubTutorial_miraclecollection_01,ミラクルコレクションでは、イベントptを集めると様々な報酬をゲットできるよ！<br>またイベント内のランキングにランクインすると<br>さらに豪華報酬をゲット！,,223053104
106,SubTutorial_miraclecollection_02,通常曲をプレイして、ミラクルスターを集めよう！<br>集めたミラクルスターを使って、イベント曲に挑戦！<br>イベント楽曲では通常曲と比べてイベントptを大量にゲットできるよ！,,223053104
106,SubTutorial_miraclecollection_03,イベントごとに選ばれる選抜メンバーを加入・編成して<br>イベントを有利に進めよう！,,223053104
106,SubTutorial_miraclecollection_04,ボーナス効果「イベントptボーナス」の選抜メンバーを<br>編成してライブをプレイするとイベントpt獲得量がアップ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223053104
106,SubTutorial_miraclecollection_05,選抜メンバーの「ミラクルスター獲得ボーナス」は<br>イベントログインボーナスのミラクルスター獲得量がアップするよ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223053104
106,SubTutorial_miraclecollection_06,イベント課題をクリアすると様々な報酬をゲットできるよ！<br>また獲得したイベントptに応じて、イベントストーリーが解放！,,223053104
107,SubTutorial_freetour_01,イベントptを集めることで、累計イベントpt報酬が入手できます。<br>イベントptはライブをクリアすることで入手できます。,,223061101
107,SubTutorial_freetour_02,イベント課題をクリアすると豪華アイテムをゲットできます。,,223061101
108,SubTutorial_multievent_01,きょうりょくライブでは最大4人まで協力して同時にライブをプレイ！<br>合計スコアが高いほど、獲得できるイベントptが多くなるよ！,,223061504
108,SubTutorial_multievent_02,きょうりょくライブでは、イベントptを集めると様々な報酬をゲットできるよ！<br>またイベント内のランキングにランクインすると<br>さらに豪華報酬をゲット！,,223061504
108,SubTutorial_multievent_03,選抜メンバーを編成に加えてライブをプレイするとスコアがアップ！<br>覚醒すると、ボーナス効果がさらに上昇するよ！,,223061504
108,SubTutorial_multievent_04,イベント毎に選ばれる選抜メンバーを編成に加えて<br>イベントを有利に進めよう！,,223061504
108,SubTutorial_multievent_05,きょうりょくライブでは、一定の条件を満たすと<br>おたすけメンバーとして他のプレイヤーのライブを手助けできるよ！<br>おたすけメンバーで参加したライブ回数に応じて、課題から報酬を獲得できるよ！,,223061504
109,SubTutorial_miraclecollection_01,ミラクルコレクションでは、イベントptを集めると様々な報酬をゲットできるよ！<br>またイベント内のランキングにランクインすると<br>さらに豪華報酬をゲット！,,223063004
109,SubTutorial_miraclecollection_02,通常曲をプレイして、ミラクルスターを集めよう！<br>集めたミラクルスターを使って、イベント曲に挑戦！<br>イベント楽曲では通常曲と比べてイベントptを大量にゲットできるよ！,,223063004
109,SubTutorial_miraclecollection_03,イベントごとに選ばれる選抜メンバーを加入・編成して<br>イベントを有利に進めよう！,,223063004
109,SubTutorial_miraclecollection_04,ボーナス効果「イベントptボーナス」の選抜メンバーを<br>編成してライブをプレイするとイベントpt獲得量がアップ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223063004
109,SubTutorial_miraclecollection_05,選抜メンバーの「ミラクルスター獲得ボーナス」は<br>イベントログインボーナスのミラクルスター獲得量がアップするよ！<br>選抜メンバーを覚醒させると、ボーナス効果がさらに上昇するよ！,,223063004
109,SubTutorial_miraclecollection_06,イベント課題をクリアすると様々な報酬をゲットできるよ！<br>また獲得したイベントptに応じて、イベントストーリーが解放！,,223063004
110,SubTutorial_freetour_01,イベントptを集めることで、累計イベントpt報酬が入手できます。<br>イベントptはライブをクリアすることで入手できます。,,223071101
110,SubTutorial_freetour_02,イベント課題をクリアすると豪華アイテムをゲットできます。,,223071101
111,SubTutorial_multievent_01,きょうりょくライブでは最大4人まで協力して同時にライブをプレイ！<br>合計スコアが高いほど、獲得できるイベントptが多くなるよ！,,223071505
111,SubTutorial_multievent_02,きょうりょくライブでは、イベントptを集めると様々な報酬をゲットできるよ！<br>またイベント内のランキングにランクインすると<br>さらに豪華報酬をゲット！,,223071505
111,SubTutorial_multievent_03,選抜メンバーを編成に加えてライブをプレイするとスコアがアップ！<br>覚醒すると、ボーナス効果がさらに上昇するよ！,,223071505
111,SubTutorial_multievent_04,イベント毎に選ばれる選抜メンバーを編成に加えて<br>イベントを有利に進めよう！,,223071505
111,SubTutorial_multievent_05,きょうりょくライブでは、一定の条件を満たすと<br>おたすけメンバーとして他のプレイヤーのライブを手助けできるよ！<br>おたすけメンバーで参加したライブ回数に応じて、課題から報酬を獲得できるよ！,,223071505
112,SubTutorial_freetour_01,イベントptを集めることで、累計イベントpt報酬が入手できます。<br>イベントptはライブをクリアすることで入手できます。,,223072601
112,SubTutorial_freetour_02,イベント課題をクリアすると豪華アイテムをゲットできます。,,223072601
