_masterEventId,_masterGachaId,_spriteName,_priority,_masterReleaseLabelId
101,1110003,,0,223041903
102,2110001,,0,223043004
104,2110002,,0,223051504
106,2110003,,0,223053104
108,2110004,,1,223061504
108,2110005,,2,223061504
109,2110006,,1,223063004
109,2110007,,2,223063004
111,2110008,,1,223071505
111,2110009,,2,223071505
113,2110010,,1,223073104
113,2110011,,2,223073104
115,2110012,,1,223081504
115,2110013,,2,223081504
117,2110014,,1,223083104
117,2110015,,2,223083104
119,2110016,,1,223091504
119,2110017,,2,223091504
121,2110018,,1,223093004
121,2110019,,2,223093004
123,2110020,,1,223101508
123,2110021,,2,223101508
125,2110022,,1,223103104
125,2110023,,2,223103104
127,2110024,,1,223111504
127,2110025,,2,223111504
129,2110026,,1,223113004
129,2110027,,2,223113004
131,2110028,,1,223121507
131,2110029,,2,223121507
133,2110030,,1,223123104
133,2110031,,2,223123104
135,2110032,,1,224011504
135,2110033,,2,224011504
137,2110034,,1,224013104
137,2110035,,2,224013104
139,2110036,,1,224021404
139,2110037,,2,224021404
141,2110038,,1,224030104
141,2110039,,2,224030104
