_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
111000101,1,3,2,19100001,1,500,223041501
111000102,1,3,2,21000001,1,1,223041501
111000103,1,2,2,10010013,1,1,223041501
111000104,1,2,2,10020013,1,1,223041501
111000105,1,2,2,10030013,1,1,223041501
111000106,1,2,2,10040013,1,1,223041501
111000107,1,2,2,10050013,1,1,223041501
111000108,1,2,2,10060013,1,1,223041501
111000109,1,2,2,10070013,1,1,223041501
111000110,1,2,2,10080013,1,1,223041501
111000111,1,2,2,10090013,1,1,223041501
111000112,1,2,2,20010011,1,1,223041501
111000113,1,2,2,20020011,1,1,223041501
111000114,1,2,2,20030011,1,1,223041501
111000115,1,2,2,20040011,1,1,223041501
111000116,1,2,2,20050011,1,1,223041501
111000117,1,2,2,20060011,1,1,223041501
111000118,1,2,2,20070011,1,1,223041501
111000119,1,2,2,20080011,1,1,223041501
111000120,1,2,2,20090011,1,1,223041501
111000121,1,2,2,30010007,1,1,223041501
111000122,1,2,2,30020007,1,1,223041501
111000123,1,2,2,30030007,1,1,223041501
111000124,1,2,2,30040007,1,1,223041501
111000125,1,2,2,30050007,1,1,223041501
111000126,1,2,2,30060007,1,1,223041501
111000127,1,2,2,30070007,1,1,223041501
111000128,1,2,2,30080007,1,1,223041501
111000129,1,2,2,30090007,1,1,223041501
111000130,1,2,2,30100007,1,1,223041501
111000131,1,2,2,30110007,1,1,223041501
111000132,1,2,2,30120007,1,1,223041501
111000133,1,2,2,40010007,1,1,223041501
111000134,1,2,2,40020007,1,1,223041501
111000135,1,2,2,40030007,1,1,223041501
111000136,1,2,2,40040007,1,1,223041501
111000137,1,2,2,40050007,1,1,223041501
111000138,1,2,2,40060007,1,1,223041501
111000139,1,2,2,40070007,1,1,223041501
111000140,1,2,2,40080007,1,1,223041501
111000141,1,2,2,40090007,1,1,223041501
111000301,1,2,2,40020009,1,1,223041901
111000302,1,2,2,40090009,1,1,223041901
111000303,1,3,2,19100001,1,500,223041901
111000304,1,3,2,21000001,1,1,223041901
111000305,1,2,2,10010013,1,1,223041901
111000306,1,2,2,10020013,1,1,223041901
111000307,1,2,2,10030013,1,1,223041901
111000308,1,2,2,10040013,1,1,223041901
111000309,1,2,2,10050013,1,1,223041901
111000310,1,2,2,10060013,1,1,223041901
111000311,1,2,2,10070013,1,1,223041901
111000312,1,2,2,10080013,1,1,223041901
111000313,1,2,2,10090013,1,1,223041901
111000314,1,2,2,20010011,1,1,223041901
111000315,1,2,2,20020011,1,1,223041901
111000316,1,2,2,20030011,1,1,223041901
111000317,1,2,2,20040011,1,1,223041901
111000318,1,2,2,20050011,1,1,223041901
111000319,1,2,2,20060011,1,1,223041901
111000320,1,2,2,20070011,1,1,223041901
111000321,1,2,2,20080011,1,1,223041901
111000322,1,2,2,20090011,1,1,223041901
111000323,1,2,2,30010007,1,1,223041901
111000324,1,2,2,30020007,1,1,223041901
111000325,1,2,2,30030007,1,1,223041901
111000326,1,2,2,30040007,1,1,223041901
111000327,1,2,2,30050007,1,1,223041901
111000328,1,2,2,30060007,1,1,223041901
111000329,1,2,2,30070007,1,1,223041901
111000330,1,2,2,30080007,1,1,223041901
111000331,1,2,2,30090007,1,1,223041901
111000332,1,2,2,30100007,1,1,223041901
111000333,1,2,2,30110007,1,1,223041901
111000334,1,2,2,30120007,1,1,223041901
111000335,1,2,2,40010007,1,1,223041901
111000336,1,2,2,40020007,1,1,223041901
111000337,1,2,2,40030007,1,1,223041901
111000338,1,2,2,40040007,1,1,223041901
111000339,1,2,2,40050007,1,1,223041901
111000340,1,2,2,40060007,1,1,223041901
111000341,1,2,2,40070007,1,1,223041901
111000342,1,2,2,40080007,1,1,223041901
111000343,1,2,2,40090007,1,1,223041901
211000101,1,2,2,10010016,1,1,223043002
211000102,1,2,2,10020015,1,1,223043002
211000103,1,3,2,19100001,1,500,223043002
211000104,1,3,2,21000001,1,1,223043002
211000105,1,2,2,10010013,1,1,223043002
211000106,1,2,2,10020013,1,1,223043002
211000107,1,2,2,10030013,1,1,223043002
211000108,1,2,2,10040013,1,1,223043002
211000109,1,2,2,10050013,1,1,223043002
211000110,1,2,2,10060013,1,1,223043002
211000111,1,2,2,10070013,1,1,223043002
211000112,1,2,2,10080013,1,1,223043002
211000113,1,2,2,10090013,1,1,223043002
211000114,1,2,2,20010011,1,1,223043002
211000115,1,2,2,20020011,1,1,223043002
211000116,1,2,2,20030011,1,1,223043002
211000117,1,2,2,20040011,1,1,223043002
211000118,1,2,2,20050011,1,1,223043002
211000119,1,2,2,20060011,1,1,223043002
211000120,1,2,2,20070011,1,1,223043002
211000121,1,2,2,20080011,1,1,223043002
211000122,1,2,2,20090011,1,1,223043002
211000123,1,2,2,30010007,1,1,223043002
211000124,1,2,2,30020007,1,1,223043002
211000125,1,2,2,30030007,1,1,223043002
211000126,1,2,2,30040007,1,1,223043002
211000127,1,2,2,30050007,1,1,223043002
211000128,1,2,2,30060007,1,1,223043002
211000129,1,2,2,30070007,1,1,223043002
211000130,1,2,2,30080007,1,1,223043002
211000131,1,2,2,30090007,1,1,223043002
211000132,1,2,2,30100007,1,1,223043002
211000133,1,2,2,30110007,1,1,223043002
211000134,1,2,2,30120007,1,1,223043002
211000135,1,2,2,40010007,1,1,223043002
211000136,1,2,2,40020007,1,1,223043002
211000137,1,2,2,40030007,1,1,223043002
211000138,1,2,2,40040007,1,1,223043002
211000139,1,2,2,40050007,1,1,223043002
211000140,1,2,2,40060007,1,1,223043002
211000141,1,2,2,40070007,1,1,223043002
211000142,1,2,2,40080007,1,1,223043002
211000143,1,2,2,40090007,1,1,223043002
211000144,1,2,2,40020009,1,1,223043002
211000145,1,2,2,40090009,1,1,223043002
211000201,1,2,2,20010014,1,1,223051502
211000202,1,2,2,20020013,1,1,223051502
211000203,1,3,2,19100001,1,500,223051502
211000204,1,3,2,21000001,1,1,223051502
211000205,1,2,2,10010013,1,1,223051502
211000206,1,2,2,10020013,1,1,223051502
211000207,1,2,2,10030013,1,1,223051502
211000208,1,2,2,10040013,1,1,223051502
211000209,1,2,2,10050013,1,1,223051502
211000210,1,2,2,10060013,1,1,223051502
211000211,1,2,2,10070013,1,1,223051502
211000212,1,2,2,10080013,1,1,223051502
211000213,1,2,2,10090013,1,1,223051502
211000214,1,2,2,20010011,1,1,223051502
211000215,1,2,2,20020011,1,1,223051502
211000216,1,2,2,20030011,1,1,223051502
211000217,1,2,2,20040011,1,1,223051502
211000218,1,2,2,20050011,1,1,223051502
211000219,1,2,2,20060011,1,1,223051502
211000220,1,2,2,20070011,1,1,223051502
211000221,1,2,2,20080011,1,1,223051502
211000222,1,2,2,20090011,1,1,223051502
211000223,1,2,2,30010007,1,1,223051502
211000224,1,2,2,30020007,1,1,223051502
211000225,1,2,2,30030007,1,1,223051502
211000226,1,2,2,30040007,1,1,223051502
211000227,1,2,2,30050007,1,1,223051502
211000228,1,2,2,30060007,1,1,223051502
211000229,1,2,2,30070007,1,1,223051502
211000230,1,2,2,30080007,1,1,223051502
211000231,1,2,2,30090007,1,1,223051502
211000232,1,2,2,30100007,1,1,223051502
211000233,1,2,2,30110007,1,1,223051502
211000234,1,2,2,30120007,1,1,223051502
211000235,1,2,2,40010007,1,1,223051502
211000236,1,2,2,40020007,1,1,223051502
211000237,1,2,2,40030007,1,1,223051502
211000238,1,2,2,40040007,1,1,223051502
211000239,1,2,2,40050007,1,1,223051502
211000240,1,2,2,40060007,1,1,223051502
211000241,1,2,2,40070007,1,1,223051502
211000242,1,2,2,40080007,1,1,223051502
211000243,1,2,2,40090007,1,1,223051502
211000244,1,2,2,40020009,1,1,223051502
211000245,1,2,2,40090009,1,1,223051502
211000246,1,2,2,10010016,1,1,223051502
211000247,1,2,2,10020015,1,1,223051502
211000301,1,2,2,30060009,1,1,223053102
211000302,1,2,2,30080009,1,1,223053102
211000303,1,3,2,19100001,1,500,223053102
211000304,1,3,2,21000001,1,1,223053102
211000305,1,2,2,10010013,1,1,223053102
211000306,1,2,2,10020013,1,1,223053102
211000307,1,2,2,10030013,1,1,223053102
211000308,1,2,2,10040013,1,1,223053102
211000309,1,2,2,10050013,1,1,223053102
211000310,1,2,2,10060013,1,1,223053102
211000311,1,2,2,10070013,1,1,223053102
211000312,1,2,2,10080013,1,1,223053102
211000313,1,2,2,10090013,1,1,223053102
211000314,1,2,2,20010011,1,1,223053102
211000315,1,2,2,20020011,1,1,223053102
211000316,1,2,2,20030011,1,1,223053102
211000317,1,2,2,20040011,1,1,223053102
211000318,1,2,2,20050011,1,1,223053102
211000319,1,2,2,20060011,1,1,223053102
211000320,1,2,2,20070011,1,1,223053102
211000321,1,2,2,20080011,1,1,223053102
211000322,1,2,2,20090011,1,1,223053102
211000323,1,2,2,30010007,1,1,223053102
211000324,1,2,2,30020007,1,1,223053102
211000325,1,2,2,30030007,1,1,223053102
