_id,_name,_priority,_masterReleaseLabelId
10001,TVアニメ主題歌,5000,1
10002,誕生日セレクション＜4月編＞,4990,223041504
10003,【TVアニメ10周年記念】「ラブライブ！」TVアニメ1期・2期＆劇場版挿入歌,4880,1
10004,『虹ヶ咲学園スクールアイドル同好会 5th Live! 虹が咲く場所＜Next TOKIMEKI公演＞Day.2』セットリスト,4850,1
10005,誕生日セレクション＜5月編＞,4990,223050103
10006,誕生日セレクション＜6月編＞,5010,223060101
10007,誕生日セレクション＜7月編＞,5060,223070101
10008,誕生日セレクション＜8月編＞,5080,223080104
10009,誕生日セレクション＜8月編＞,5080,223081404
10010,誕生日セレクション＜9月編＞,5100,223090101
10011,誕生日セレクション＜10月編＞,5120,223100101
10013,『Aqours EXTRA LoveLive! 2023 ～It’s a 無限大☆WORLD～＜Valentine's Day Concert＞Day.2』セットリスト,4870,1
10015,『Liella! 3rd LoveLive! Tour ～WE WILL!!～＜埼玉公演＞Day.2』セットリスト,4840,223041505
10020,Songs signaling the coming of SPRING,4995,223041905
10021,『ラブライブ！蓮ノ空女学院スクールアイドルクラブ OPENING LIVE EVENT～Bloom the Dream～＜夜公演＞』セットリスト,5020,223060802
10022,【開催10周年記念】『μ's 3rd Anniversary LoveLive!』セットリスト,5030,223061601
10023,「ラブライブ！虹ヶ咲学園スクールアイドル同好会」TVアニメ1期・2期挿入歌,5040,223062304
10024,「ラブライブ！サンシャイン!!」TVアニメ1期・2期＆劇場版挿入歌,5050,223062503
10025,夏に聴きたい曲,5070,223070102
10026,ロックフェスで聴きたい曲,5090,223081403
10027,『Liella! 4th LoveLive! Tour ～brand new Sparkle～ 東京公演＜5yncri5e! edition＞ Day2』セットリスト,5110,223091507
10028,「おすすめリスト選手権」最優秀賞＜10年の歴史を駆け抜けたい時に聴く曲＞,5300,223102404
10029,誕生日セレクション＜11月編＞,5130,223110104
10030,誕生日セレクション＜12月編＞,5140,223120101
10031,クリスマスに聞きたい曲,5150,223120109
10032,ラブライブ！初心者に向けてこれだけは聞いておけ！,5290,223120604
10033,誕生日セレクション＜1月編＞,5160,224010102
10034,誕生日セレクション＜2月編＞,5170,224020103
10035,誕生日セレクション＜3月編＞,5180,224030110
