_id,_cautionText,_masterReleaseLabelId
1110001,・登場する部員については「登場割合」をご確認ください。<br>・「リリース記念勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「リリース記念勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「リリース記念勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223041501
1110002,・登場する部員については「登場割合」をご確認ください。<br>・「UR確定 リリース記念勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「UR確定 リリース記念勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「UR確定 リリース記念勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223041501
1110003,・登場する部員については「登場割合」をご確認ください。<br>・「ピックアップ勧誘～放課後の原宿Liella!♡～」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「ピックアップ勧誘～放課後の原宿Liella!♡～」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「ピックアップ勧誘～放課後の原宿Liella!♡～」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223041901
1110004,・登場する部員については「登場割合」をご確認ください。<br>・「通常勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「通常勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「通常勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223043001
1110005,・登場する部員については「登場割合」をご確認ください。<br>・「通常勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「通常勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「通常勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223051501
1110006,・登場する部員については「登場割合」をご確認ください。<br>・「通常勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「通常勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「通常勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223053101
1110007,・登場する部員については「登場割合」をご確認ください。<br>・「通常勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「通常勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「通常勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223061501
1110008,・登場する部員については「登場割合」をご確認ください。<br>・「通常勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「通常勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「通常勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223063001
1110009,・登場する部員については「登場割合」をご確認ください。<br>・「通常勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「通常勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「通常勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223071502
1110010,・登場する部員については「登場割合」をご確認ください。<br>・「通常勧誘」で登場する部員は重複する場合があります。<br>・登場割合は小数第五位を四捨五入して記載しています。<br>そのため、それぞれの登場割合を足した値と全体の登場割合の表示に差が生じる場合があります。<br>・登場割合は表示の関係上、合計が100％にならないことがあります。<br>・「通常勧誘」は登場割合に基づき1回ごとに抽選を行います。<br>例えば提供割合1％のメンバーが100回中1回かならず加入する仕組みではございません。<br>・登場割合につきましては登場割合タブにてご確認ください。<br>・「通常勧誘」実行後に強制終了、もしくは回線が切断され正常に勧誘リザルト画面が表示されなかった場合でも、勧誘は正しく実施されております。部員一覧やペンライトの個数をご確認下さい。<br>・本勧誘で登場する部員は、今後再登場する場合がございます。<br>・本勧誘は再販される場合がございます。<br>・開催期間及び内容は予告なく変更される場合がございます。<br>・勧誘チケットは画面右下の「チケットで勧誘」からご利用いただけます。<br>　「チケットで勧誘」内に表示されないチケットは、本勧誘ではご利用いただけません。<br>・すでに加入済の部員は2回目以降に加入する代わりに、レアリティに応じてペンライトが貰えます。<br>　R部員：20個<br>　SR部員：50個<br>　UR部員：500個<br>・獲得した勧誘ポイントは、勧誘終了時に自動で「スキルブック（中）」1個に変換されます。,223073101
