_id,_infoText,_detailText,_infoTextEn,_detailTextEn,_masterReleaseLabelId
1110001,リリース記念勧誘,「リリース記念勧誘」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [リリース記念] 」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br>リリース記念勧誘で入手できる「勧誘ポイント」は、以下の勧誘でも入手できます。<br>・UR確定 リリース記念勧誘<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Release Celebration Scout,"Release Celebration Scout always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Release Celebration] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br>Scout Points obtainable in the Release Celebration Scout can also be earned in the following Scout:<br>- Guaranteed UR! Release Celebration Scout<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223041501
1110002,UR確定 リリース記念勧誘,「UR確定 リリース記念勧誘」は、有償ラブカ3000個で実施でき、UR部員が1人必ず加入します。<br><br>すでに加入している部員が登場した場合、自動的に「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [リリース記念] 」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br>UR確定 リリース記念勧誘で入手できる「勧誘ポイント」は、以下の勧誘でも入手できます。<br>・リリース記念勧誘<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Guaranteed UR Release Celebration Scout,"The Guaranteed UR! Release Celebration Scout costs 3,000 Paid Loveca and guarantees one UR Member.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Release Celebration] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br>Scout Points obtainable in the Guaranteed UR! Release Celebration Scout can also be earned in the following Scout:<br>- Release Celebration Scout<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223041501
1110003,ピックアップ勧誘～放課後の原宿Liella!♡～,「ピックアップ勧誘～放課後の原宿Liella!♡～」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [放課後の原宿Liella!♡] 」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Spotlight Scout: After-School Harajuku Liella! ♡,"Spotlight Scout: After-School Harajuku Liella!♡ always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [After-School Harajuku Liella!♡] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223041901
1110004,通常勧誘,「通常勧誘」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [通常]」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Normal Scout,"Normal Scout always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Normal] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223043001
1110005,通常勧誘,「通常勧誘」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [通常]」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Normal Scout,"Normal Scout always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Normal] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223051501
1110006,通常勧誘,「通常勧誘」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [通常]」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Normal Scout,"Normal Scout always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Normal] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223053101
1110007,通常勧誘,「通常勧誘」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [通常]」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Normal Scout,"Normal Scout always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Normal] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223061501
1110008,通常勧誘,「通常勧誘」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [通常]」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Normal Scout,"Normal Scout always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Normal] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223063001
1110009,通常勧誘,「通常勧誘」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [通常]」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Normal Scout,"Normal Scout always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Normal] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223071502
1110010,通常勧誘,「通常勧誘」は、R以上の部員が必ず登場します。<br>「1回勧誘」は、ラブカ300個で実施できます。<br>「10回勧誘」は、ラブカ3000個で実施でき、SR以上の部員が1人以上必ず加入します。<br>「有償1回勧誘」は、有償ラブカ150個で毎日1回だけ実施できます。<br><br>すでに加入している部員が登場した場合、自動で「ペンライト」に変換されます。<br>※変換されたペンライトは、プレゼントを経由せず直接加算されます<br>※ペンライトの所持上限に達している場合は、プレゼントに贈られます<br>※ペンライトの獲得量は、部員のレアリティに応じて異なります<br>・UR：500個<br>・SR：50個<br>・R ：20個<br><br>また、登場した部員の人数に応じて「勧誘ポイント [通常]」を入手します。<br>獲得した「勧誘ポイント」は交換所にて部員やアイテム等と交換できます。<br><br>交換されなかった「勧誘ポイント」は、本勧誘の終了時に自動的に「スキルブック（中）」に変換されます。<br>※変換されたスキルブック（中）は、プレゼントを経由せず直接加算されます<br>※スキルブック（中）の所持上限に達している場合は、プレゼントに贈られます,Normal Scout,"Normal Scout always features Members of rarity R or higher.<br>A 1x Scout costs 300 Loveca.<br>A 10x Scout costs 3,000 Loveca and guarantees at least one Member of rarity SR or higher.<br>A 1x Paid Scout costs 150 Paid Loveca and can be performed once per day.<br><br>If you Scout a Member you already have, they will automatically be converted into Penlights.<br>*Converted Penlights are added directly to your inventory, bypassing the present box.<br>*If your Penlight inventory is full, they will be sent to the present box.<br>*The number of Penlights received depends on the Member's rarity:<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>You'll also earn Scout Points [Normal] based on the number of Members you Scout.<br>Earned Scout Points can be exchanged for Members, items, and more at the Exchange.<br><br>Any unused Scout Points will automatically be converted into Skill Books (M) when this Scout ends.<br>*Converted Skill Books (M) are added directly to your inventory, bypassing the present box.<br>*If your Skill Book (M) inventory is full, they will be sent to the present box.",223073101
